Feature,Importance
0.01_y,29.28779887657375
5,26.827620597643406
0.01_x,19.433213143691436
cm3_g_x,2.814571970116176
AV_cm3_g_y,2.165955191487016
Has_OMS_x,1.9294400168112134
Has_OMS_y,1.9164192887812093
cm3_g_y,1.7995014273598537
AV_cm3_g_x,1.449912509878317
ASA_m2_g_y,1.3890543715209946
ASA_m2_g_x,1.3484083027526528
NASA_m2_g_y,1.1558341711583346
LFPD_y,1.1138556048951789
LCD_x,0.9719896987914999
PLD_x,0.965454458013513
LFPD_x,0.9428116832987228
ASA_m2_cm3_y,0.9373163313532031
ASA_m2_cm3_x,0.7506570306367517
PLD_y,0.7375524744604051
AV_VF_y,0.5211155005627608
LCD_y,0.49593020667237275
AV_VF_x,0.411097682419865
NASA_m2_cm3_y,0.2538971415293877
NASA_m2_g_x,0.23642743068777938
NAV_cm3_g_y,0.07228725697297413
NASA_m2_cm3_x,0.04448497697503697
NAV_cm3_g_x,0.027392654956181133
