Feature,Importance
5,34.98515172292654
0.01,7.285957707660368
cm3_g_y,4.187791970384601
PLD_y,4.097585193785833
ASA_m2_g_y,4.026493484480884
LFPD_y,3.514026290976673
cm3_g_x,3.3812094283758927
ASA_m2_cm3_x,3.1158589394345766
PLD_x,3.1021102770173257
Has_OMS_y,3.0719038319416256
AV_VF_x,2.975626274449619
ASA_m2_g_x,2.848107086857424
AV_VF_y,2.785508685696423
AV_cm3_g_y,2.7130761995363186
ASA_m2_cm3_y,2.6628324291578376
AV_cm3_g_x,2.570564139091675
LFPD_x,2.5436436306439734
LCD_y,2.5319714182152713
Has_OMS_x,2.2624128877904464
LCD_x,2.179774681076932
NASA_m2_g_x,0.7655849842830331
NASA_m2_cm3_y,0.6749212239655409
NASA_m2_g_y,0.6490474674253593
NASA_m2_cm3_x,0.5476163953835289
NAV_cm3_g_y,0.26509558641537184
NAV_cm3_g_x,0.25612806302692087
