Feature,Importance
5,34.48008951001614
0.01,8.406557713934772
cm3_g_x,4.839314672544436
cm3_g_y,4.670055796299791
LCD_y,4.005652912983163
AV_VF_y,3.695017357883442
ASA_m2_g_x,3.5532652418772765
AV_VF_x,3.363377842431713
ASA_m2_cm3_x,3.199515989763976
PLD_y,3.1635359738723636
ASA_m2_g_y,3.1532488810430253
LFPD_x,3.081123877376969
PLD_x,2.9415257257960246
AV_cm3_g_y,2.7995923750890306
Has_OMS_x,2.372803449451053
ASA_m2_cm3_y,2.2911425504384066
LFPD_y,2.2010089365010606
LCD_x,2.032315671808005
Has_OMS_y,2.0065587524469586
AV_cm3_g_x,1.536755396936999
NASA_m2_g_x,0.6299711290628047
NASA_m2_cm3_y,0.5362565034148399
NASA_m2_g_y,0.5111265216122792
NASA_m2_cm3_x,0.34494776461406995
NAV_cm3_g_x,0.10620184923906469
NAV_cm3_g_y,0.07903760356232802
