Feature,Importance
5,62.686728132666
0.01_y,15.50376429652814
0.01_x,11.499793077192363
AV_cm3_g_x,0.8459554250305279
cm3_g_x,0.7286486282132753
AV_cm3_g_y,0.716552768077547
LFPD_x,0.7099145190224264
ASA_m2_g_x,0.6983723690863377
ASA_m2_cm3_y,0.6907097560907636
ASA_m2_cm3_x,0.6803209021629194
Has_OMS_x,0.5390555587182485
LCD_y,0.5277806749156456
cm3_g_y,0.5059585779677794
LFPD_y,0.4475849507539267
PLD_x,0.4124850186230485
PLD_y,0.40636996504725464
AV_VF_x,0.3611530660224006
NASA_m2_g_y,0.346535622671652
ASA_m2_g_y,0.32815044992682657
Has_OMS_y,0.312920058921652
LCD_x,0.2524479737261775
AV_VF_y,0.23742250473151807
NASA_m2_cm3_x,0.16183129687570133
NASA_m2_cm3_y,0.15666296213157715
NASA_m2_g_x,0.11837966556156646
NAV_cm3_g_x,0.09509152049193188
NAV_cm3_g_y,0.02941025884281339
