Feature,Importance
5,74.00749547260205
0.01_x,11.214124213086064
0.01_y,7.594321924997909
cm3_g_x,0.6345920061359908
AV_cm3_g_y,0.5771619773250303
AV_cm3_g_x,0.5751395958009796
ASA_m2_g_y,0.5625523450216411
ASA_m2_g_x,0.5588926990900497
ASA_m2_cm3_y,0.5027561415678887
LCD_y,0.37036371275047075
cm3_g_y,0.3644546278274083
NASA_m2_g_x,0.332433039109548
LCD_x,0.32072514568023286
PLD_x,0.2758259128600785
LFPD_y,0.27173624634751137
ASA_m2_cm3_x,0.24580731250805088
PLD_y,0.24413333461945652
AV_VF_y,0.2385856280698445
LFPD_x,0.23835915459798493
AV_VF_x,0.21498689663602294
Has_OMS_x,0.1993466441017203
Has_OMS_y,0.10758458961841708
NAV_cm3_g_y,0.08673779291937223
NASA_m2_g_y,0.08307732008357359
NASA_m2_cm3_x,0.06933667289882078
NASA_m2_cm3_y,0.06667764494096505
NAV_cm3_g_x,0.04279194880290807
