MOF,. time (s)
HITXUE_clean_argon_273.0K_5.0bar_14.,237.6
MOBBIO_clean_argon_273.0K_5.0bar_14.,140.0
FILYAC_clean_argon_273.0K_5.0bar_14.,232.9
UMODEH02_clean_argon_273.0K_5.0bar_14.,325.7
SEYNAM_clean_argon_273.0K_5.0bar_14.,278.9
HAPVAX_clean_argon_273.0K_5.0bar_14.,160.1
EBUQEX_clean_argon_273.0K_5.0bar_14.,308.1
JUKNUA_clean_argon_273.0K_5.0bar_14.,702.7
XUZFUU_clean_argon_273.0K_5.0bar_14.,141.3
VEQCEA_charged_argon_273.0K_5.0bar_14.,477.9
VOCQEJ_clean_argon_273.0K_5.0bar_14.,241.1
EMIHAK_charged_argon_273.0K_5.0bar_14.,246.5
KUCDES_clean_argon_273.0K_5.0bar_14.,1348.2
PENYOX_clean_argon_273.0K_5.0bar_14.,239.8
RUBTAK05_clean_argon_273.0K_5.0bar_14.,557.3
LUDLAZ_clean_argon_273.0K_5.0bar_14.,288.3
LODPOK_clean_argon_273.0K_5.0bar_14.,679.7
HUSJUC_clean_argon_273.0K_5.0bar_14.,308.0
QOFCEV_clean_argon_273.0K_5.0bar_14.,598.2
ABEXIQ_clean_argon_273.0K_5.0bar_14.,197.1
HEHCOO_clean_argon_273.0K_5.0bar_14.,371.5
VUKROK_clean_argon_273.0K_5.0bar_14.,191.0
NUDLAA_clean_argon_273.0K_5.0bar_14.,548.3
MOQNUB_clean_argon_273.0K_5.0bar_14.,240.2
TURBUE_clean_argon_273.0K_5.0bar_14.,582.0
SUNLET_clean_argon_273.0K_5.0bar_14.,868.1
WOPROK_clean_argon_273.0K_5.0bar_14.,365.0
ZACHET_clean_argon_273.0K_5.0bar_14.,2978.9
VUJBOS_clean_argon_273.0K_5.0bar_14.,3995.6
YEYVOO_manual_argon_273.0K_5.0bar_14.,4105.2
MIVWEU_manual_argon_273.0K_5.0bar_14.,4101.7
c6ce00407e_c6ce00407e5_clean_argon_273.0K_5.0bar_14.,5515.4
ZAZNUL_clean_argon_273.0K_5.0bar_14.,6658.3
ZUCKIT_clean_argon_273.0K_5.0bar_14.,6539.1
XICYUF_clean_argon_273.0K_5.0bar_14.,7190.0
