MOF,. time (s)
SOBZOY_clean_argon_273.0K_0.05bar_14.,64.0
RUWWOW_clean_argon_273.0K_0.05bar_14.,196.6
cm503311x_alf450K_clean_argon_273.0K_0.05bar_14.,114.8
XUVGUQ01_ion_b_argon_273.0K_0.05bar_14.,304.4
LODPOK_clean_argon_273.0K_0.05bar_14.,746.2
REXFUX_clean_argon_273.0K_0.05bar_14.,87.4
LIKGUJ_clean_argon_273.0K_0.05bar_14.,252.3
OHUMIP_clean_argon_273.0K_0.05bar_14.,172.1
cg500175k_si_001_auto_argon_273.0K_0.05bar_14.,159.1
WEMYEU_clean_argon_273.0K_0.05bar_14.,224.2
MOQNUB_clean_argon_273.0K_0.05bar_14.,295.8
HEHCOO_clean_argon_273.0K_0.05bar_14.,234.2
MOBBAI_clean_argon_273.0K_0.05bar_14.,8974.9
LAFRAN01_clean_argon_273.0K_0.05bar_14.,19058.8
RIVDIL_clean_argon_273.0K_0.05bar_14.,19224.2
RIVDEH_clean_argon_273.0K_0.05bar_14.,18645.3
