MOF,. time (s)
LAFFEG_clean_argon_273.0K_1.0bar_14.,547.3
CAMROA_clean_argon_273.0K_1.0bar_14.,368.8
VUSKEA_clean_argon_273.0K_1.0bar_14.,128.4
IMUKUW_clean_argon_273.0K_1.0bar_14.,5019.5
EDUVUU_clean_argon_273.0K_1.0bar_14.,275.7
REXFUX_clean_argon_273.0K_1.0bar_14.,199.6
TURBUE_clean_argon_273.0K_1.0bar_14.,4516.7
OKAYIK_clean_argon_273.0K_1.0bar_14.,1289.8
TANMIH_clean_argon_273.0K_1.0bar_14.,479.3
WABVIF01_clean_argon_273.0K_1.0bar_14.,179.3
XISKUF_clean_argon_273.0K_1.0bar_14.,1083.3
cm503311x_alf450K_clean_argon_273.0K_1.0bar_14.,204.3
VIPZAX_clean_argon_273.0K_1.0bar_14.,308.9
YUBHAG_clean_argon_273.0K_1.0bar_14.,213.0
LIQCUK_clean_argon_273.0K_1.0bar_14.,301.4
WOPROK_clean_argon_273.0K_1.0bar_14.,494.5
VAQSEO_clean_argon_273.0K_1.0bar_14.,504.0
SOTTUR_clean_argon_273.0K_1.0bar_14.,293.3
MOQNUB_clean_argon_273.0K_1.0bar_14.,868.8
SEFTUU_clean_argon_273.0K_1.0bar_14.,282.9
LODPOK_clean_argon_273.0K_1.0bar_14.,2154.6
VUQJUN_clean_argon_273.0K_1.0bar_14.,352.2
BAXGAK_clean_argon_273.0K_1.0bar_14.,434.4
VICYUD_clean_argon_273.0K_1.0bar_14.,1037.3
XICYUF_clean_argon_273.0K_1.0bar_14.,6490.7
ZUCKIT_clean_argon_273.0K_1.0bar_14.,5174.9
HANKEO_clean_argon_273.0K_1.0bar_14.,6521.4
YEYVOO_manual_argon_273.0K_1.0bar_14.,3439.4
MIZZOM_clean_argon_273.0K_1.0bar_14.,6744.3
UHOHEG_clean_argon_273.0K_1.0bar_14.,6287.9
KONCIB_clean_argon_273.0K_1.0bar_14.,2325.7
XOPVOO_clean_argon_273.0K_1.0bar_14.,7837.8
YOZBAS_clean_argon_273.0K_1.0bar_14.,7543.3
c6ce00407e_c6ce00407e5_clean_argon_273.0K_1.0bar_14.,7233.1
JONKEE_clean_argon_273.0K_1.0bar_14.,7463.9
ZACHET_clean_argon_273.0K_1.0bar_14.,5722.1
QAJJOD_clean_argon_273.0K_1.0bar_14.,10978.6
c6ce00407e_c6ce00407e6_clean_argon_273.0K_1.0bar_14.,8031.3
ic5030058_si_002_clean_argon_273.0K_1.0bar_14.,12827.9
BODPAN_clean_argon_273.0K_1.0bar_14.,11295.2
MOBBAI_clean_argon_273.0K_1.0bar_14.,11186.5
QOYYOU_clean_argon_273.0K_1.0bar_14.,16582.6
ZAZNUL_clean_argon_273.0K_1.0bar_14.,40508.1
LAFRAN01_clean_argon_273.0K_1.0bar_14.,86044.8
RIVDIL_clean_argon_273.0K_1.0bar_14.,90003.8
RIVDEH_clean_argon_273.0K_1.0bar_14.,91115.0
