MOF,. time (s)
YIWNOH_clean_argon_273.0K_0.01bar_14.,38.4
YIPDOR_clean_argon_273.0K_0.01bar_14.,41.8
SOBZOY_clean_argon_273.0K_0.01bar_14.,43.4
CUTBOK_clean_argon_273.0K_0.01bar_14.,59.6
REXFUX_clean_argon_273.0K_0.01bar_14.,62.8
XUZFUU_clean_argon_273.0K_0.01bar_14.,73.6
VUSKEA_clean_argon_273.0K_0.01bar_14.,37.9
MOBBIO_clean_argon_273.0K_0.01bar_14.,57.9
EDUVUU_clean_argon_273.0K_0.01bar_14.,97.6
TINFIH_clean_argon_273.0K_0.01bar_14.,56.2
ABEXIQ_clean_argon_273.0K_0.01bar_14.,105.1
jz4002345_si_004_clean_argon_273.0K_0.01bar_14.,107.3
cg500175k_si_001_auto_argon_273.0K_0.01bar_14.,113.9
GOSDEZ_clean_argon_273.0K_0.01bar_14.,114.9
WABVIF01_clean_argon_273.0K_0.01bar_14.,59.5
ZIWMEZ_clean_argon_273.0K_0.01bar_14.,126.6
MUVHAN_clean_argon_273.0K_0.01bar_14.,141.5
WENKIL_manual_argon_273.0K_0.01bar_14.,142.6
VOVLAV_clean_argon_273.0K_0.01bar_14.,90.6
SEFWAD_clean_argon_273.0K_0.01bar_14.,86.5
SEHSOO_clean_argon_273.0K_0.01bar_14.,62.7
SEFBOV_clean_argon_273.0K_0.01bar_14.,81.0
WOPDEL_clean_argon_273.0K_0.01bar_14.,189.8
HUSJUC_clean_argon_273.0K_0.01bar_14.,190.2
KOSLEL_clean_argon_273.0K_0.01bar_14.,70.8
ADODII_clean_argon_273.0K_0.01bar_14.,86.1
MEFJOY_clean_argon_273.0K_0.01bar_14.,250.3
FILYAC_clean_argon_273.0K_0.01bar_14.,126.1
VICYUD_clean_argon_273.0K_0.01bar_14.,256.2
IFEQAN_SL_argon_273.0K_0.01bar_14.,259.5
QOFDIA03_clean_argon_273.0K_0.01bar_14.,277.3
ADAVIM_clean_argon_273.0K_0.01bar_14.,279.1
LAMGUB_clean_argon_273.0K_0.01bar_14.,94.4
TOXHEV_clean_argon_273.0K_0.01bar_14.,291.5
WOBHEB01_clean_argon_273.0K_0.01bar_14.,66.9
ONIXOZ_clean_argon_273.0K_0.01bar_14.,152.2
UMOYOM05_clean_argon_273.0K_0.01bar_14.,114.0
NIBHOW_clean_argon_273.0K_0.01bar_14.,50.2
YUBHAG_clean_argon_273.0K_0.01bar_14.,77.8
IKUTUF_clean_argon_273.0K_0.01bar_14.,236.2
KONCIB_clean_argon_273.0K_0.01bar_14.,297.2
OHEMIX_clean_argon_273.0K_0.01bar_14.,94.3
VUQKUO_clean_argon_273.0K_0.01bar_14.,242.7
SEYNAM_clean_argon_273.0K_0.01bar_14.,135.2
RUBTAK05_clean_argon_273.0K_0.01bar_14.,445.9
ISENUQ_clean_argon_273.0K_0.01bar_14.,340.9
VUQJUN_clean_argon_273.0K_0.01bar_14.,131.1
QOWRAV03_clean_argon_273.0K_0.01bar_14.,467.7
JOVYAW_clean_argon_273.0K_0.01bar_14.,93.4
QOJKAB_clean_argon_273.0K_0.01bar_14.,67.2
c5ce00010f_c5ce00010f2_clean_argon_273.0K_0.01bar_14.,364.2
LUDLAZ_clean_argon_273.0K_0.01bar_14.,328.0
OKAYIK_clean_argon_273.0K_0.01bar_14.,408.1
SACDUX_clean_argon_273.0K_0.01bar_14.,235.2
DOTFID_clean_argon_273.0K_0.01bar_14.,297.2
PENYOX_clean_argon_273.0K_0.01bar_14.,244.7
ZASTUK_clean_argon_273.0K_0.01bar_14.,128.4
QOFCEV_clean_argon_273.0K_0.01bar_14.,292.1
VOCQEJ_clean_argon_273.0K_0.01bar_14.,134.9
OHUMIP_clean_argon_273.0K_0.01bar_14.,113.9
NUDLAA_clean_argon_273.0K_0.01bar_14.,420.0
KAKBUW_clean_argon_273.0K_0.01bar_14.,221.5
KUCDES_clean_argon_273.0K_0.01bar_14.,621.3
XUVGUQ01_ion_b_argon_273.0K_0.01bar_14.,181.9
VONCIM_clean_argon_273.0K_0.01bar_14.,171.6
UZAROE_clean_argon_273.0K_0.01bar_14.,154.4
OBAFIJ_clean_argon_273.0K_0.01bar_14.,68.8
FUVDEH12_clean_argon_273.0K_0.01bar_14.,403.6
SOTTUR_clean_argon_273.0K_0.01bar_14.,113.6
CAMROA_clean_argon_273.0K_0.01bar_14.,128.8
KEGZOL04_clean_argon_273.0K_0.01bar_14.,42.9
ALOLOD_charged_argon_273.0K_0.01bar_14.,437.1
FIMYUX_clean_argon_273.0K_0.01bar_14.,368.9
WOMFIO_charged_argon_273.0K_0.01bar_14.,70.0
LIKGUJ_clean_argon_273.0K_0.01bar_14.,166.4
TURBUE_clean_argon_273.0K_0.01bar_14.,615.2
XOBXIW_clean_argon_273.0K_0.01bar_14.,89.2
VUKROK_clean_argon_273.0K_0.01bar_14.,79.3
JUKNUA_clean_argon_273.0K_0.01bar_14.,245.4
VIPZAX_clean_argon_273.0K_0.01bar_14.,111.3
WOPROK_clean_argon_273.0K_0.01bar_14.,186.0
SEFTUU_clean_argon_273.0K_0.01bar_14.,88.9
ACIBIY_clean_argon_273.0K_0.01bar_14.,139.3
UMODEH02_clean_argon_273.0K_0.01bar_14.,119.3
VAKBIU_clean_argon_273.0K_0.01bar_14.,219.1
HOVQUG_clean_argon_273.0K_0.01bar_14.,341.5
VEQCEA_charged_argon_273.0K_0.01bar_14.,170.5
QADKAH_clean_argon_273.0K_0.01bar_14.,97.6
cm503311x_alf450K_clean_argon_273.0K_0.01bar_14.,73.1
REXDAB_clean_argon_273.0K_0.01bar_14.,93.3
HEHCOO_clean_argon_273.0K_0.01bar_14.,145.4
HITXUE_clean_argon_273.0K_0.01bar_14.,294.9
HAJMAH_clean_argon_273.0K_0.01bar_14.,139.8
RUWWOW_clean_argon_273.0K_0.01bar_14.,111.5
POLNAG_clean_argon_273.0K_0.01bar_14.,89.6
DOMGET_clean_argon_273.0K_0.01bar_14.,302.7
TANMIH_clean_argon_273.0K_0.01bar_14.,186.8
LAFFEG_clean_argon_273.0K_0.01bar_14.,215.2
YIWLUL_clean_argon_273.0K_0.01bar_14.,40.2
BAXGAK_clean_argon_273.0K_0.01bar_14.,155.4
MUTDEM_clean_argon_273.0K_0.01bar_14.,118.8
HAPVAX_clean_argon_273.0K_0.01bar_14.,90.0
XISKUF_clean_argon_273.0K_0.01bar_14.,243.8
IXEDUK_charged_argon_273.0K_0.01bar_14.,273.5
VAQSEO_clean_argon_273.0K_0.01bar_14.,194.8
WEMYEU_clean_argon_273.0K_0.01bar_14.,134.5
MOQNUB_clean_argon_273.0K_0.01bar_14.,189.5
TONQOD_clean_argon_273.0K_0.01bar_14.,88.5
LIQCUK_clean_argon_273.0K_0.01bar_14.,97.5
SUNLET_clean_argon_273.0K_0.01bar_14.,425.8
EMIHAK_charged_argon_273.0K_0.01bar_14.,167.4
UKUBIM_clean_argon_273.0K_0.01bar_14.,290.0
BALPAH_clean_argon_273.0K_0.01bar_14.,772.6
EBUQEX_clean_argon_273.0K_0.01bar_14.,191.0
SUFJIO_clean_argon_273.0K_0.01bar_14.,308.1
RAXYOF_clean_argon_273.0K_0.01bar_14.,129.0
KIFKEQ_clean_argon_273.0K_0.01bar_14.,167.0
XALBOC_clean_argon_273.0K_0.01bar_14.,455.4
BEKYOG_clean_argon_273.0K_0.01bar_14.,91.3
NAJTEA_clean_argon_273.0K_0.01bar_14.,148.0
OSAXAI_clean_argon_273.0K_0.01bar_14.,214.7
OCAWAT_clean_argon_273.0K_0.01bar_14.,218.0
LODPOK_clean_argon_273.0K_0.01bar_14.,486.2
MIVWEU_manual_argon_273.0K_0.01bar_14.,1631.0
VUJBOS_clean_argon_273.0K_0.01bar_14.,1537.2
UHOHEG_clean_argon_273.0K_0.01bar_14.,866.4
LAFRAN01_clean_argon_273.0K_0.01bar_14.,15416.0
RIVDEH_clean_argon_273.0K_0.01bar_14.,15557.9
RIVDIL_clean_argon_273.0K_0.01bar_14.,15376.8
