Feature,Importance
5,63.13889280185659
0.01_y,15.816337073212546
0.01_x,11.829442622885095
AV_cm3_g_y,1.0069901246378974
AV_cm3_g_x,0.9537357738994643
ASA_m2_cm3_y,0.742349862949675
ASA_m2_g_x,0.5647778423619119
ASA_m2_g_y,0.5216306524819809
cm3_g_x,0.49595730944450683
LFPD_x,0.4913348256229919
LFPD_y,0.4373870868051003
ASA_m2_cm3_x,0.40192658537850456
Has_OMS_x,0.3646552425251935
LCD_y,0.36451186990170187
PLD_x,0.35989329231121453
PLD_y,0.35266529602096786
NASA_m2_g_y,0.3523776507530859
cm3_g_y,0.33532377580642597
LCD_x,0.3296593097492727
AV_VF_x,0.30499657874921426
NASA_m2_cm3_y,0.24338849141010224
Has_OMS_y,0.22370690572412263
NASA_m2_cm3_x,0.12098539761286471
NASA_m2_g_x,0.10208345925020929
AV_VF_y,0.0911957712959488
NAV_cm3_g_x,0.030620565208348004
NAV_cm3_g_y,0.02317383214507148
