Feature,Importance
0.05,52.36066802416519
ASA_m2_g,16.903783989783285
AV_VF,6.170616111607065
ASA_m2_cm3,5.430275244792197
AV_cm3_g,5.015637256549893
cm3_g,3.6260825460243042
LCD,2.777420267453256
PLD,2.636675747473513
LFPD,2.62030199905375
Has_OMS,1.286958931532318
NASA_m2_cm3,0.6395400141052716
NASA_m2_g,0.44927371737844995
NAV_cm3_g,0.08276615008150459
