QOFCEV_clean_argon_273.0K,598.2,292.1,491.9,589.2,,719.5
QOFDIA03_clean_argon_273.0K,580.8,277.3,492.7,589.6,618.3,715.3
QOJKAB_clean_argon_273.0K,133.7,67.2,100.6,129.8,163.1,195.0
QOWRAV03_clean_argon_273.0K,797.2,467.7,774.1,,,1815.8
QOYYOU_clean_argon_273.0K,9421.1,,,,,16582.6
RAXYOF_clean_argon_273.0K,281.8,129.0,216.2,,343.1,369.5
REXDAB_clean_argon_273.0K,255.4,93.3,120.2,150.9,238.0,260.7
REXFUX_clean_argon_273.0K,169.3,62.8,87.4,113.6,177.9,199.6
RIVDEH_clean_argon_273.0K,31478.9,15557.9,18645.3,18794.1,45531.3,91115.0
RIVDIL_clean_argon_273.0K,31580.8,15376.8,19224.2,19311.9,46041.0,90003.8
RUBTAK05_clean_argon_273.0K,557.3,445.9,610.2,,,2208.3
RUWWOW_clean_argon_273.0K,201.0,111.5,196.6,232.7,251.2,310.6
SACDUX_clean_argon_273.0K,407.6,235.2,368.6,,,679.2
SEFBOV_clean_argon_273.0K,160.9,81.0,128.0,156.4,,228.1
SEFTUU_clean_argon_273.0K,229.5,88.9,125.6,162.5,254.6,282.9
SEFWAD_clean_argon_273.0K,228.2,86.5,117.1,149.2,245.7,283.0
SEHSOO_clean_argon_273.0K,134.0,62.7,105.1,135.7,161.9,179.9
SEYNAM_clean_argon_273.0K,278.9,135.2,206.0,255.6,,360.8
SOBZOY_clean_argon_273.0K,108.0,43.4,64.0,85.2,131.3,145.2
SOTTUR_clean_argon_273.0K,218.3,113.6,197.8,,267.7,293.3
SUFJIO_clean_argon_273.0K,330.8,308.1,449.8,,722.3,1585.0
SUNLET_clean_argon_273.0K,868.1,425.8,740.9,857.7,880.1,1161.6
TANMIH_clean_argon_273.0K,346.3,186.8,323.2,387.6,415.5,479.3
TINFIH_clean_argon_273.0K,146.6,56.2,75.8,98.7,164.2,186.4
TONQOD_clean_argon_273.0K,188.0,88.5,151.2,194.4,,246.9
TOXHEV_clean_argon_273.0K,485.0,291.5,505.1,564.9,,942.8
TURBUE_clean_argon_273.0K,582.0,615.2,,1201.0,,4516.7
UHOHEG_clean_argon_273.0K,718.8,866.4,886.8,1459.7,,6287.9
UKUBIM_clean_argon_273.0K,339.2,290.0,411.2,424.9,,1178.9
UMODEH02_clean_argon_273.0K,325.7,119.3,161.2,209.9,303.2,309.1
UMOYOM05_clean_argon_273.0K,296.5,114.0,,206.3,,294.3
UZAROE_clean_argon_273.0K,422.6,154.4,,186.6,266.3,350.1
VAKBIU_clean_argon_273.0K,354.6,219.1,373.2,410.2,432.9,763.3
VAQSEO_clean_argon_273.0K,427.6,194.8,,,468.2,504.0
VEQCEA_charged_argon_273.0K,477.9,170.5,217.1,284.3,483.1,571.1
VICYUD_clean_argon_273.0K,377.3,256.2,418.3,444.9,523.0,1037.3
VIPZAX_clean_argon_273.0K,240.4,111.3,192.4,,285.4,308.9
VOCQEJ_clean_argon_273.0K,241.1,134.9,227.9,268.3,285.0,341.0
VONCIM_clean_argon_273.0K,253.2,171.6,253.5,,314.9,455.2
VOVLAV_clean_argon_273.0K,164.5,90.6,145.0,175.5,,248.2
VUJBOS_clean_argon_273.0K,3995.6,1537.2,,,,2681.7
VUKROK_clean_argon_273.0K,191.0,79.3,118.7,159.0,228.7,249.4
VUQJUN_clean_argon_273.0K,245.2,131.1,226.4,271.0,293.8,352.2
VUQKUO_clean_argon_273.0K,493.9,242.7,418.2,531.5,,638.3
VUSKEA_clean_argon_273.0K,100.9,37.9,47.7,62.1,110.4,128.4
WABVIF01_clean_argon_273.0K,120.3,59.5,81.8,,147.3,179.3
WEMYEU_clean_argon_273.0K,287.4,134.5,224.2,288.7,312.9,343.5
WENKIL_manual_argon_273.0K,332.6,142.6,249.6,309.6,370.2,411.1
WOBHEB01_clean_argon_273.0K,155.0,66.9,106.0,143.0,,208.7
WOMFIO_charged_argon_273.0K,179.3,70.0,96.9,128.1,207.1,237.7
WOPDEL_clean_argon_273.0K,359.9,189.8,305.2,388.3,416.6,456.9
