Feature,Importance
5,37.917800916324936
0.01,7.368562914721899
cm3_g_x,4.295469259320612
cm3_g_y,4.291404376207681
ASA_m2_g_x,3.7743630722953694
AV_VF_y,3.417209025474058
ASA_m2_cm3_y,3.193899695596143
PLD_y,3.182671823572761
ASA_m2_g_y,3.0739267843394753
ASA_m2_cm3_x,2.9723789596302588
LFPD_x,2.939250746534563
Has_OMS_x,2.925720227476277
PLD_x,2.6437127070785884
AV_VF_x,2.5710742484351607
Has_OMS_y,2.558135107262188
LFPD_y,2.4083559005182327
LCD_x,2.3813462638187715
LCD_y,2.1285493747675517
AV_cm3_g_y,1.888173156222816
AV_cm3_g_x,1.7116050649616883
NASA_m2_g_y,0.6710627368100626
NASA_m2_cm3_x,0.558316639299221
NASA_m2_g_x,0.5574520547157218
NASA_m2_cm3_y,0.32662986498366264
NAV_cm3_g_x,0.12769771130500013
NAV_cm3_g_y,0.11523136832731598
