MOF,. time (s),source_chunk
XIVVEF_clean_argon_313.0K_5.0bar_14.,953.2,chunk_1
AHAMAY_clean_argon_313.0K_5.0bar_14.,552.3,chunk_1
VURNED_clean_argon_313.0K_5.0bar_14.,581.2,chunk_1
MOXBOS_clean_argon_313.0K_5.0bar_14.,346.7,chunk_1
DOFTID_clean_argon_313.0K_5.0bar_14.,693.1,chunk_1
IDUYOX_clean_argon_313.0K_5.0bar_14.,460.8,chunk_1
GUZVOO_clean_argon_313.0K_5.0bar_14.,511.9,chunk_1
cg3002866_si_001_clean_argon_313.0K_5.0bar_14.,3000.7,chunk_1
AVESUR_clean_argon_313.0K_5.0bar_14.,550.3,chunk_1
JUSGUB_clean_argon_313.0K_5.0bar_14.,2596.7,chunk_1
LAGWIB_clean_argon_313.0K_5.0bar_14.,175.2,chunk_1
ja202154j_si_003_clean_argon_313.0K_5.0bar_14.,441.6,chunk_1
IREGOD_clean_argon_313.0K_5.0bar_14.,950.5,chunk_1
YARBIE_clean_argon_313.0K_5.0bar_14.,1601.0,chunk_1
JOZWOM_clean_argon_313.0K_5.0bar_14.,1277.2,chunk_1
HIDDAB_clean_argon_313.0K_5.0bar_14.,504.2,chunk_1
AZEBUE_clean_argon_313.0K_5.0bar_14.,470.4,chunk_1
WANKOO_clean_argon_313.0K_5.0bar_14.,647.5,chunk_1
KOGSOQ_clean_argon_313.0K_5.0bar_14.,1093.0,chunk_1
HACDOH_clean_argon_313.0K_5.0bar_14.,2454.7,chunk_1
acs.cgd.5b01554_VAGNUP1452791_clean_argon_313.0K_5.0bar_14.,381.0,chunk_1
LIDSEY_clean_argon_313.0K_5.0bar_14.,864.8,chunk_1
VUHMOC_clean_argon_313.0K_5.0bar_14.,400.2,chunk_1
BEXVAD01_clean_argon_313.0K_5.0bar_14.,501.3,chunk_1
IFEPUG05_clean_argon_313.0K_5.0bar_14.,1593.8,chunk_1
YABHIV_clean_argon_313.0K_5.0bar_14.,1447.1,chunk_1
IFEPUG09_clean_argon_313.0K_5.0bar_14.,2394.3,chunk_1
UDAXIJ_clean_argon_313.0K_5.0bar_14.,353.2,chunk_1
PUSSEC_clean_argon_313.0K_5.0bar_14.,403.3,chunk_1
IFEPUG10_clean_argon_313.0K_5.0bar_14.,2972.3,chunk_1
TIVYAZ_clean_argon_313.0K_5.0bar_14.,232.8,chunk_1
AWIBEO_clean_argon_313.0K_5.0bar_14.,1134.4,chunk_1
RUBTAK06_clean_argon_313.0K_5.0bar_14.,3436.3,chunk_1
JADBEY_clean_argon_313.0K_5.0bar_14.,996.0,chunk_1
NUDLEF_clean_argon_313.0K_5.0bar_14.,607.8,chunk_1
EBEXIU02_clean_argon_313.0K_5.0bar_14.,644.9,chunk_1
AQIXUU_clean_argon_313.0K_5.0bar_14.,808.2,chunk_1
DOJXOR_clean_argon_313.0K_5.0bar_14.,1239.7,chunk_1
BERQIA_clean_argon_313.0K_5.0bar_14.,2815.8,chunk_1
FOQNOQ02_clean_argon_313.0K_5.0bar_14.,311.6,chunk_1
LAXCUK_clean_argon_313.0K_5.0bar_14.,337.3,chunk_1
OYOVOP_clean_argon_313.0K_5.0bar_14.,454.9,chunk_1
ASINIB_clean_argon_313.0K_5.0bar_14.,2547.4,chunk_1
LAPLOG01_clean_argon_313.0K_5.0bar_14.,4685.1,chunk_1
RUDQOX_clean_argon_313.0K_5.0bar_14.,262.3,chunk_1
APEBOO_clean_argon_313.0K_5.0bar_14.,3950.0,chunk_1
FIWKUT_clean_argon_313.0K_5.0bar_14.,1130.2,chunk_1
DUQRUD_clean_argon_313.0K_5.0bar_14.,595.9,chunk_1
IFEPUG03_clean_argon_313.0K_5.0bar_14.,1758.9,chunk_1
FOQNUW01_clean_argon_313.0K_5.0bar_14.,295.3,chunk_1
AVIHIY_clean_argon_313.0K_5.0bar_14.,206.9,chunk_1
WASMUB02_clean_argon_313.0K_5.0bar_14.,528.8,chunk_1
OCIZAD_clean_argon_313.0K_5.0bar_14.,663.1,chunk_1
OQUGAK_clean_argon_313.0K_5.0bar_14.,3188.9,chunk_1
EHUSUX_clean_argon_313.0K_5.0bar_14.,1450.7,chunk_1
VUHNAP_clean_argon_313.0K_5.0bar_14.,288.1,chunk_1
CUQRUD_clean_argon_313.0K_5.0bar_14.,383.1,chunk_1
ARINUL_clean_argon_313.0K_5.0bar_14.,551.2,chunk_1
FUVDEH02_clean_argon_313.0K_5.0bar_14.,1912.8,chunk_1
YIWBIR_clean_argon_313.0K_5.0bar_14.,2007.4,chunk_1
CURZAR_clean_argon_313.0K_5.0bar_14.,685.1,chunk_1
