name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
AVETAY_clean,argon,273.0,5.0,14.0,AVETAY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.3838533683,20.637183333299998,175.1261743561,98.2595830777,99.6107435225,chunk_1
AQIXUU_clean,argon,273.0,5.0,14.0,AQIXUU_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.5665354184,1.7198125,62.5799568934,35.1122868753,81.326446897,chunk_1
AQOTIK_clean,argon,273.0,5.0,14.0,AQOTIK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.7513321212,1.7146875,109.9102155775,61.668291438100006,90.8657667841,chunk_1
acs.chemmater.5b03723_cm5b03723_si_004_clean,argon,273.0,5.0,14.0,acs.chemmater.5b03723_cm5b03723_si_004_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.982884419,33.64365,119.16026676959999,66.858299025,51.653933839,chunk_1
ASANAL_clean,argon,273.0,5.0,14.0,ASANAL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.1770231013999997,5.6174722222,86.9677188564,48.7957429977,58.6243537425,chunk_1
acscombsci.5b00188_5013797_clean,argon,273.0,5.0,14.0,acscombsci.5b00188_5013797_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.151930913,3.165325,85.9653361124,48.2333272944,32.0746441592,chunk_1
ASIVEF_clean,argon,273.0,5.0,14.0,ASIVEF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.0978456669,17.7792,83.8047386996,47.0210618991,29.3061592444,chunk_1
ASEKAM_clean,argon,273.0,5.0,14.0,ASEKAM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.9270526217,3.7768895833,76.9818981305,43.192910726499996,74.5778678147,chunk_1
ATEJOA_clean,argon,273.0,5.0,14.0,ATEJOA_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.5651650331,4.3287796296,102.4732127424,57.49554684060001,109.15076858219999,chunk_1
ATUZEW_clean,argon,273.0,5.0,14.0,ATUZEW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.300736433,22.2637,131.8578190235,73.9826263574,71.6835690049,chunk_1
ATEZEG_clean,argon,273.0,5.0,14.0,ATEZEG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.8278639414,21.316,112.96750872959998,63.383673799200004,49.158023547,chunk_1
AWEWOP_clean,argon,273.0,5.0,14.0,AWEWOP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.4859100903,12.195125,99.3071362884,55.719128475299996,61.8626318342,chunk_1
BEWCUD_clean,argon,273.0,5.0,14.0,BEWCUD_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.0984445743999998,16.43465,83.8286638594,47.034485798999995,22.4114397059,chunk_1
AXIGAR_clean,argon,273.0,5.0,14.0,AXIGAR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.3336440192,2.46500625,53.276411278000005,29.8922647017,23.0874545021,chunk_1
AWUPOZ_clean,argon,273.0,5.0,14.0,AWUPOZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.1958495728,8.2480125,87.7197987335,49.2177190697,17.3941824051,chunk_1
ATEZIK_clean,argon,273.0,5.0,14.0,ATEZIK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.5182438713999997,19.040425,100.59880617350001,56.443857059399996,42.0104166744,chunk_1
BADXAI_clean,argon,273.0,5.0,14.0,BADXAI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,0.7323444029,7.6491166666999995,29.255694206799998,16.4147496854,28.1483872407,chunk_1
BAKYIY_clean,argon,273.0,5.0,14.0,BAKYIY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.4247820323,6.8897833333000005,136.8131926249,76.762981412,79.7141265861,chunk_1
BETDOV_clean,argon,273.0,5.0,14.0,BETDOV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.9781724858,8.7922,79.0240344627,44.3387101212,60.005506640200004,chunk_1
BETFOX_clean,argon,273.0,5.0,14.0,BETFOX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.9821950162,8.316225,79.1847265085,44.428871020900004,60.5248951334,chunk_1
BEWVEG_clean,argon,273.0,5.0,14.0,BEWVEG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.9941224894,4.54385,79.66120520770001,44.6962131158,49.4951409709,chunk_1
BEXTUV_clean,argon,273.0,5.0,14.0,BEXTUV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.3576876335000003,3.4663018519,134.1329055849,75.2591291863,98.2339797532,chunk_1
BERQIA_clean,argon,273.0,5.0,14.0,BERQIA_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.4167230574,40.457725,136.491252696,76.5823477442,87.8639816349,chunk_1
BEXVIL_clean,argon,273.0,5.0,14.0,BEXVIL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.981327025,4.843075,79.150051994,44.409415886000005,39.310678003,chunk_1
AXINAX_clean,argon,273.0,5.0,14.0,AXINAX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.176471716,16.459275,86.945692112,48.7833842584,20.715140602,chunk_1
BEXVAD_clean,argon,273.0,5.0,14.0,BEXVAD_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.2859689767,6.88955,131.2678886816,73.6516289513,101.28107905540001,chunk_1
BINMIW_clean,argon,273.0,5.0,14.0,BINMIW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.1005924582,12.492,83.9144675183,47.0826284126,50.0823508955,chunk_1
BOHWOM_clean,argon,273.0,5.0,14.0,BOHWOM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.2176790593,19.801675,88.59184306110001,49.7070046512,60.8802785756,chunk_1
BORBEQ_clean,argon,273.0,5.0,14.0,BORBEQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.485120872,6.51260625,99.27560859639999,55.7014389559,61.4175900688,chunk_1
