Feature,Importance
5,67.29473118372928
0.01_x,12.786103843528707
0.01_y,12.566782534077587
AV_cm3_g_y,0.8931185075395264
ASA_m2_cm3_y,0.7176709191835671
AV_VF_x,0.6660603554751499
AV_VF_y,0.6315108369442283
LFPD_y,0.5205138695173117
cm3_g_y,0.472477181257794
LFPD_x,0.44747476298825645
cm3_g_x,0.3612019454794258
PLD_x,0.3055544302754259
ASA_m2_cm3_x,0.2998954183291312
LCD_y,0.28246059137861085
ASA_m2_g_y,0.25731196959349634
PLD_y,0.23114932231595445
NASA_m2_cm3_y,0.21378956920770054
AV_cm3_g_x,0.21184017433409308
LCD_x,0.19907321213983742
Has_OMS_x,0.1649913964988028
ASA_m2_g_x,0.14030552841489238
NASA_m2_g_x,0.1142638764287321
NASA_m2_g_y,0.1010849145241354
NASA_m2_cm3_x,0.05084601599859724
NAV_cm3_g_y,0.0402700227631357
NAV_cm3_g_x,0.015103596292778318
Has_OMS_y,0.014414021783840247
