train_ratio,qt_frac,seed,R2,MAE,RMSE,MAPE(%)
0.05,0.0,2025,0.9636042011105443,0.0712193777124149,0.0139767339445647,4.87515103824062
0.05,0.0,2026,0.9731514324251305,0.06528472303904018,0.011679691815851533,4.535271494629602
0.05,0.0,2027,0.9664759907416755,0.07058099138699898,0.012499569868458522,5.110928933757748
0.05,0.0,2028,0.9725427087701086,0.06725078595888448,0.011083124759606848,4.6817945779061905
0.05,0.0,2029,0.9626899753215377,0.07210732272003895,0.014670016009435958,4.914438683291811
0.05,0.03,2025,0.9782588587318286,0.06327873820065373,0.00946840232860374,5.343924717149966
0.05,0.03,2026,0.9802747384919003,0.05813208696666186,0.008131786445421115,4.744558895825712
0.05,0.03,2027,0.9778662226071393,0.06093185007226965,0.00926142461103898,5.460024892232142
0.05,0.03,2028,0.9809336890688848,0.05724770560145089,0.007915925405903685,5.1323822727850965
0.05,0.03,2029,0.9788935167640074,0.05971891324042948,0.009067270854076487,5.330826179415602
0.05,0.05,2025,0.978564281749673,0.061819229304192966,0.00925155399775477,5.513050540690282
0.05,0.05,2026,0.9765489249611522,0.06323025041491798,0.010286855727608615,5.680581721505671
0.05,0.05,2027,0.982147588068019,0.056919877960860614,0.007302495972404988,5.003783159818025
0.05,0.05,2028,0.9786919878462682,0.0579866542510687,0.008777280029293002,5.060266735630172
0.05,0.05,2029,0.9784864846539422,0.06097382086594968,0.009231033260481738,5.256336508631198
0.1,0.0,2025,0.9643007800545885,0.06890787402648679,0.014653868344166156,4.507681645490832
0.1,0.0,2026,0.972352587896198,0.06530951196828334,0.012215250349185913,4.417979745258658
0.1,0.0,2027,0.9645044084418782,0.06729145945027375,0.014905389247789903,4.470808945628547
0.1,0.0,2028,0.9667444274351514,0.06958679609725912,0.014083039611424944,4.6021298374024315
0.1,0.0,2029,0.9701730658099381,0.06782596249679912,0.012466723838595487,4.580787694489559
0.1,0.05,2025,0.984745110008144,0.05114546039894361,0.006572834233762164,4.1514829623182425
0.1,0.05,2026,0.9834397388346889,0.05150692451159253,0.007137820520706685,4.269463137850325
0.1,0.05,2027,0.9868610027360998,0.04877638745786868,0.005615009519099654,4.15879088049722
0.1,0.05,2028,0.9850534018006929,0.04949077664543767,0.006411710155117453,4.192323625425255
0.1,0.05,2029,0.984123150932969,0.04987003600847119,0.006967922943995874,4.208772179546029
0.1,0.1,2025,0.9870674367280726,0.04924414841531666,0.005317471530972189,4.1899248992790605
0.1,0.1,2026,0.9866329515778067,0.049834791195327965,0.005452026852313687,4.460223557917967
0.1,0.1,2027,0.9872935243906324,0.046895274560442776,0.005037712635492424,4.241957827244234
0.1,0.1,2028,0.9858012097844303,0.05051864069235732,0.005856344091577451,4.301405348459713
0.1,0.1,2029,0.9843744058326632,0.052018996655593897,0.006472034075353962,4.218808747293194
0.15,0.0,2025,0.9713158235392925,0.06390520769864952,0.013038469056714425,4.331929592314381
0.15,0.0,2026,0.9743146419154116,0.06190408606616298,0.01177487263595158,4.102229644357693
0.15,0.0,2027,0.9746316197797703,0.06242307627092296,0.01134514341965782,4.301027246467648
0.15,0.0,2028,0.9657408664542353,0.06660848615672073,0.015125750878811059,4.36030505076064
0.15,0.0,2029,0.9721866206869629,0.06248385200541141,0.011965795215686565,4.2013427005628605
0.15,0.07,2025,0.9871398030083393,0.04487917396534204,0.005435036984401314,3.5929475161164506
0.15,0.07,2026,0.9882156473530616,0.04553369392130968,0.005084896205937131,3.734090493361697
0.15,0.07,2027,0.9868781942454115,0.04512952535807903,0.005527927327420643,3.562397060108969
0.15,0.07,2028,0.9873846781783573,0.04571292401095896,0.005462283749211352,3.6826301538785944
0.15,0.07,2029,0.9885743581120716,0.04329887561400112,0.004888102144885525,3.4387593502876843
0.15,0.15,2025,0.9879839157208488,0.044044357843616544,0.004626823186978061,3.6448035058600987
0.15,0.15,2026,0.9880577051771307,0.043083952404580364,0.004498430738909188,3.536636227550521
0.15,0.15,2027,0.9888387778859146,0.04400072864414088,0.004385810792951909,3.77681441066174
0.15,0.15,2028,0.9885927748213779,0.043524651653613126,0.0043386666296718135,3.630780167680192
0.15,0.15,2029,0.9878737823340472,0.04359854475329134,0.004574098346490706,3.596581999825281
0.2,0.0,2025,0.9703660404999407,0.06337334491204712,0.013599385889684637,4.159946526493017
0.2,0.0,2026,0.9756914729472961,0.0587594400751166,0.010765773540146385,3.911937294206839
0.2,0.0,2027,0.9757695049923185,0.05951046203127931,0.011407528146836137,3.899318646465471
0.2,0.0,2028,0.9735175627917497,0.06059893273539561,0.012212044557372364,3.9795649805299287
0.2,0.0,2029,0.9706198915763066,0.061476483842547176,0.01285170262231054,4.158303412822984
0.2,0.1,2025,0.9873957625199175,0.04335937886501233,0.005253256053678087,3.4763529898120953
0.2,0.1,2026,0.9900398548204395,0.03902589906668885,0.004139622711220783,3.1711696621992855
0.2,0.1,2027,0.9888093749136557,0.04107550830310983,0.004430781466965048,3.294681309303015
0.2,0.1,2028,0.9894462576082361,0.04111336097871682,0.004405663065017616,3.3371400329393426
0.2,0.1,2029,0.9887151699986028,0.04097582720730346,0.0047039761930007746,3.3238518378515165
0.2,0.2,2025,0.9894753585949925,0.03948365914449514,0.0037842087666575316,3.238800603865543
0.2,0.2,2026,0.9903408527577102,0.039514735174062565,0.003422187591389308,3.2640196718821546
0.2,0.2,2027,0.9901372746646416,0.039356790547896536,0.003572802725813763,3.1903172644781352
0.2,0.2,2028,0.9894328277845317,0.0399943101353315,0.0038591707803506833,3.3156102317236327
0.2,0.2,2029,0.9913701564652291,0.037454345624364054,0.003151027741091086,3.0855942095428546
0.25,0.0,2025,0.9739828370997401,0.058533462655387176,0.011993895987732378,3.772578772282744
0.25,0.0,2026,0.97711745346268,0.05573699326255619,0.010454878567649697,3.643593358982173
0.25,0.0,2027,0.9758139679193166,0.05703994080256684,0.01100989891433476,3.7120196877383083
0.25,0.0,2028,0.977560153362106,0.05602124193766671,0.010405374608497948,3.68958398429463
0.25,0.0,2029,0.9756846282858131,0.05553159749897602,0.011349157687432287,3.6061897906789264
