,,R2,R2,MAE,MAE,RMSE,RMSE,MAPE(%),MAPE(%)
,,mean,std,mean,std,mean,std,mean,std
train_ratio,qt_frac,,,,,,,,
0.05,0.0,0.9676928616737992,0.004912835317448525,0.0692886401634755,0.0028951292121863047,0.012781827279583513,0.0015143497528216537,4.823516945565194,0.22175953325301234
0.05,0.03,0.9792454051327522,0.0013142558234080365,0.05986185881629312,0.002380456213378039,0.008768961929008803,0.0006989972258867325,5.202343391481704,0.2816975581162089
0.05,0.05,0.9788878534558109,0.0020248836476623893,0.06018596655939799,0.0026485956258898566,0.008969843797508623,0.0010838854380449804,5.30280373325507,0.2903948303444531
0.1,0.0,0.967615053927551,0.003549865139210399,0.06778432080782042,0.0016492887970643033,0.01366485427823248,0.0012478804938473444,4.515877573654006,0.07637917920430319
0.1,0.05,0.9848444808625189,0.0012858363060430122,0.05015791700446274,0.0011436388005923138,0.006541059474536366,0.0005944841397185527,4.196166557127414,0.04727479094330668
0.1,0.1,0.986233905662721,0.0011855134825117745,0.049702370303807725,0.0018801824449394503,0.005627117837141943,0.0005568582191503265,4.282464076038833,0.10748658230607441
0.15,0.0,0.9716379144751345,0.003581450044296958,0.06346494163957353,0.0019078781913267596,0.01265000624136429,0.001517966189281696,4.259366846892645,0.10635831407769242
0.15,0.07,0.9876385361794483,0.0007245892825638025,0.04491083857393817,0.0009589761432426948,0.005279649282371193,0.0002785590582477619,3.6021649147506793,0.11428783202688372
0.15,0.15,0.9882693911878638,0.0004217794924387516,0.043650447059848455,0.0003928413871928392,0.004484765939000336,0.00012194711620546442,3.6371232623155665,0.08853541104680511
0.2,0.0,0.9731928945615224,0.002626721957548612,0.06074373271927717,0.001797993702428792,0.012167286951270012,0.0011250343001384822,4.021814172103648,0.12900865905787828
0.2,0.1,0.9888812839721703,0.000987550045557596,0.04110999488416626,0.0015347952054015203,0.004586659897976462,0.00042279242336297886,3.3206391664210506,0.10902332054094276
0.2,0.2,0.9901512940534211,0.0007897526745831221,0.039160768125229964,0.000984206038672164,0.0035578795210604746,0.00028555416431014707,3.218868396298464,0.08713794995630886
0.25,0.0,0.9760318080259311,0.001403632378982765,0.05657264723143059,0.0012398901471079413,0.011042641153129414,0.0006617181624668789,3.684793118795356,0.06392664312805797
0.25,0.12,0.9910965231304397,0.0007150066368864052,0.036958363312583634,0.0007380132041600971,0.003585940409697789,0.0002749554798125205,2.9589205768077798,0.05021139422213223
0.25,0.25,0.9911654369986417,0.0004608026604622888,0.03630482646360443,0.0007789765684401413,0.0030340680217835554,0.00015434191636170484,2.943797815004535,0.05319902812702789
0.3,0.0,0.9758555358298331,0.0026971908552876882,0.05571517027223679,0.0015663740718379862,0.011172228105198665,0.0014156884706871611,3.6382767327049317,0.08443394481271924
0.3,0.15,0.9914665903698721,0.0006816208117737495,0.03521700895551576,0.0007250051405831232,0.003266915390118532,0.00026283197760801997,2.7950068496194667,0.03646455445554128
0.3,0.3,0.9916184768243728,0.00040601560168700466,0.0340241094447568,0.0005737324841950464,0.002740657674117213,0.00013857931777208122,2.7186291709049994,0.06484168431713781
0.35,0.0,0.9773001951915583,0.0012432388696525692,0.05314894977706956,0.000708254908393401,0.010551992314732719,0.0006540438729729543,3.4484217785928983,0.07216198552312739
0.35,0.17,0.9915556682344884,0.0009184206474593288,0.033681836912604825,0.0008648664564345344,0.003169622453517732,0.00034525146313892313,2.6981365908554613,0.10702373286330533
0.35,0.35,0.9921736480148035,0.00041040747232017245,0.032084423969221884,0.0010454627181153023,0.002447406984570864,0.0001302772533295675,2.5468047692239617,0.08070493557371093
0.4,0.0,0.9766079988607246,0.0017008074555382674,0.05261985930250664,0.0007362002643833786,0.010936448726956524,0.0008398934168060891,3.3935085093601467,0.01956494424046052
0.4,0.2,0.9928943423412886,0.0003871070663484279,0.03171306254469297,0.0005717415847046173,0.0025835978593378816,0.00015520829256143409,2.536598352373025,0.0677078827196592
0.4,0.4,0.9926141107973958,0.00034868097742205267,0.03089550876497716,0.0003596085610432454,0.00219485262006254,0.00011049798233994677,2.4545778972309713,0.04957536604036697
0.45,0.0,0.9787298698621705,0.002513526171484618,0.050420411057236825,0.0020331233596747613,0.009848864203397876,0.0011236424042162792,3.2748912143369706,0.11479718149642892
0.45,0.23,0.9933372526435205,0.0005624995762265555,0.030445118792798015,0.0004458795892773563,0.0023331786639782435,0.00018987781765992384,2.4246985596247406,0.06053369308178399
0.45,0.45,0.9930240970598667,0.0006293634445251685,0.028929339515307274,0.0006612299154126788,0.001973739540591502,0.00017638210902757727,2.273698121573683,0.05907524102804033
0.5,0.0,0.9807973646916078,0.002717556879334067,0.048272259212059694,0.001992722866804895,0.008978999336043526,0.0012145035698527434,3.1860557283227,0.07496311276612022
0.5,0.25,0.9935600106273268,0.00031129478578771934,0.029262006183758425,0.0005108211915942431,0.002200251813483254,0.00011015386235970109,2.340617714895401,0.08349904942209012
0.5,0.5,0.9932971987432115,0.0006169034206419456,0.027607373220678133,0.0008319047676777817,0.0018215814250494063,0.00016359253549164146,2.160676090919673,0.057097966335303604
0.55,0.0,0.9805167784909135,0.0018412959907289442,0.04766954956346521,0.001355063528672487,0.009175988932857341,0.001002797494169391,3.088329680088774,0.039009514891434845
0.55,0.28,0.9942910598862309,0.0005128320267885932,0.02772635514546911,0.0004731360610646253,0.0019122329390810471,0.00017823321829930206,2.225322850009718,0.05390989793254614
0.55,0.55,0.9937718136067637,0.00015392516765696125,0.026629681138178034,0.0003413859914943678,0.0016055805678424878,3.9500680390855464e-05,2.085561787238574,0.047778734894262646
0.6,0.0,0.9817711130898923,0.003166192285614015,0.04574811149031498,0.0017898556371442303,0.008640502574640616,0.0014734671557866913,3.026322943359397,0.10109841160495017
0.6,0.3,0.9947145148181228,0.0005340577138274718,0.026666307376110282,0.000765392779540203,0.0017253459227323967,0.00016749803943325929,2.148256937925996,0.05810143762158807
0.6,0.6,0.9936273719594,0.00017376648685012098,0.026337433868697514,0.000384152600733111,0.0015606967929357389,4.6039161514719734e-05,2.0350704800103707,0.03941141214339637
0.65,0.0,0.9815519303510298,0.0019505060067840098,0.04522927673774487,0.0017378791075185608,0.008731171302144344,0.0008462871972204544,2.942608083591849,0.10750512392450691
0.65,0.33,0.9952339291583547,0.0003482728294163473,0.025415202815424094,0.0002590331131601514,0.0015427108959947939,0.00010648558668612601,2.082040327536558,0.07148093744209154
0.65,0.65,0.9943124872631822,0.00034790050411803226,0.02446535675514647,0.00032280394889818516,0.0013038735409206831,7.492183584048192e-05,1.8932336538690104,0.03874819139524505
0.7,0.0,0.9841302278652124,0.002892443498096348,0.04226020501919265,0.0021679124752950127,0.007528932523236181,0.0015202437799746856,2.779930311500378,0.09085967529048383
0.7,0.35,0.9950293997427231,0.0006527131909417144,0.02493576377793333,0.0006231394174063211,0.001536361388691219,0.00020035700154776544,1.98122485966772,0.0401044952066253
0.7,0.7,0.9944250971662483,0.0005680353464979753,0.02360458268258206,0.00019184736515239558,0.0012037236819341663,0.00012038141296445995,1.8207646135477051,0.03841318343079593
0.75,0.0,0.9850527236361785,0.003595492625261054,0.041450863362826974,0.002663650696771423,0.006936624678960975,0.0019487334721835562,2.8018736908857513,0.16737632824867016
0.75,0.38,0.9950928774038401,0.0007924836443689113,0.02441083299196459,0.0009822179038789282,0.0014785495687997898,0.00023851811778518052,1.973922103014973,0.049135473436722026
0.75,0.75,0.9944486395907999,0.0001688688353800723,0.023440543022147802,0.0004177009320922572,0.0011367986021939328,3.9435374647055666e-05,1.8083627802156639,0.04624241718711605
0.8,0.0,0.9846469735761625,0.001908468453416608,0.04243166371295635,0.0020050131749459123,0.007396198277836333,0.0008708235366406274,2.7960145757632544,0.11459091807473898
0.8,0.4,0.995918488711698,0.0003338287224392674,0.02354312207705387,0.0004888035502764447,0.00121791509938377,0.00010241836747761117,1.8802197732569206,0.04785753965031161
0.8,0.8,0.9948314934547057,0.0007157702334444566,0.022211445741989827,0.0007041192841513899,0.0010033782154076228,0.00013149588273510406,1.6734903675556072,0.04729296827238324
