Feature,Importance
5,34.3539104072519
0.01_x,23.348884852246282
0.01_y,18.860832087057855
Has_OMS_y,1.8971509479856004
LFPD_y,1.8222241656125682
ASA_m2_cm3_x,1.734571963306153
cm3_g_x,1.694511503682806
AV_cm3_g_y,1.655296392024208
cm3_g_y,1.3748589262085749
ASA_m2_cm3_y,1.2091250818202102
ASA_m2_g_x,1.1969358417903755
LCD_x,1.1788458806811148
AV_VF_y,1.000151628119728
PLD_y,0.9333503735911433
AV_VF_x,0.8742462254833341
AV_cm3_g_x,0.8580848827294888
LCD_y,0.8080730636967054
LFPD_x,0.7929666557406486
NASA_m2_g_x,0.7623241944373836
NASA_m2_cm3_y,0.7603784959715534
ASA_m2_g_y,0.7564384017574886
NASA_m2_cm3_x,0.6172496111433551
PLD_x,0.5675357745861591
NASA_m2_g_y,0.5493233881240697
Has_OMS_x,0.38650861375618534
NAV_cm3_g_y,0.004523798513283511
NAV_cm3_g_x,0.0016968426817813656
