Feature,Importance
5,61.53296239767294
0.01_x,14.577608505609373
0.01_y,13.494722543440364
ASA_m2_g_y,1.0586364156709729
AV_VF_x,0.7326613062107689
LCD_x,0.7140213878272584
Has_OMS_y,0.6541874882398184
AV_VF_y,0.6468682627079003
cm3_g_y,0.6050796567359228
AV_cm3_g_y,0.5846474060472747
AV_cm3_g_x,0.5779084104901632
PLD_y,0.5582218187967954
ASA_m2_g_x,0.5333837704629271
ASA_m2_cm3_x,0.5311662794408281
cm3_g_x,0.47169806436792105
LCD_y,0.44918241151824007
ASA_m2_cm3_y,0.4489678834257528
LFPD_x,0.34045087735281854
PLD_x,0.30976713397288275
Has_OMS_x,0.25448503026186586
NASA_m2_g_x,0.21925314255450415
LFPD_y,0.19861106368869544
NASA_m2_cm3_x,0.15255570706321572
NASA_m2_cm3_y,0.12522424906656734
NAV_cm3_g_y,0.11449884330605253
NAV_cm3_g_x,0.06700008100880589
NASA_m2_g_y,0.04622986305936216
