Feature,Importance
5,72.71623912181326
0.01_y,11.028342906332412
0.01_x,9.690283129568767
AV_cm3_g_y,0.8443996208826735
LFPD_y,0.5383035307193444
ASA_m2_cm3_y,0.5314518736881323
cm3_g_x,0.5069709684586646
ASA_m2_cm3_x,0.4834271297297862
AV_VF_x,0.43555382816246174
PLD_x,0.37984280474414994
AV_VF_y,0.32215739709682967
LFPD_x,0.2855365883440247
LCD_y,0.28225252945517343
AV_cm3_g_x,0.24074933959842199
cm3_g_y,0.22692018282845858
LCD_x,0.21986298438886237
PLD_y,0.18589130820673064
ASA_m2_g_y,0.16605269433380485
ASA_m2_g_x,0.15642969840768414
NASA_m2_g_x,0.15482017289866637
NASA_m2_cm3_y,0.15127188787520474
NASA_m2_cm3_x,0.1398096918741557
NASA_m2_g_y,0.101757674264141
NAV_cm3_g_y,0.08216064254367657
Has_OMS_y,0.05481072356711177
Has_OMS_x,0.047598840781405125
NAV_cm3_g_x,0.02710272943601255
