MOF,. time (s),source_chunk
AFENEE_clean_argon_313.0K_0.05bar_14.,99.8,chunk_1
EBIHII_clean_argon_313.0K_0.05bar_14.,112.6,chunk_1
EKOPIE_clean_argon_313.0K_0.05bar_14.,120.9,chunk_1
MEJZEI_clean_argon_313.0K_0.05bar_14.,132.1,chunk_1
KULMEK_clean_argon_313.0K_0.05bar_14.,101.5,chunk_1
ic700893w-file001_clean_argon_313.0K_0.05bar_14.,140.1,chunk_1
CAYSOK_clean_argon_313.0K_0.05bar_14.,105.8,chunk_1
OZULUS_clean_argon_313.0K_0.05bar_14.,191.1,chunk_1
OQUFAJ02_clean_argon_313.0K_0.05bar_14.,167.2,chunk_1
OLAQOI_clean_argon_313.0K_0.05bar_14.,305.0,chunk_1
TIXMIX_clean_argon_313.0K_0.05bar_14.,51.7,chunk_1
BEWVEG_clean_argon_313.0K_0.05bar_14.,115.1,chunk_1
WEMFAX_clean_argon_313.0K_0.05bar_14.,72.9,chunk_1
CUYYAX_clean_argon_313.0K_0.05bar_14.,272.5,chunk_1
EDUSUR_clean_argon_313.0K_0.05bar_14.,243.1,chunk_1
NIKDAM_clean_argon_313.0K_0.05bar_14.,100.1,chunk_1
OLEKUM_manual_argon_313.0K_0.05bar_14.,283.3,chunk_1
SOJGOO_clean_argon_313.0K_0.05bar_14.,237.6,chunk_1
EWESAC_clean_argon_313.0K_0.05bar_14.,209.2,chunk_1
acs.inorgchem.5b02108_ic5b02108_si_002_clean_argon_313.0K_0.05bar_14.,104.5,chunk_1
ROBWAH_clean_argon_313.0K_0.05bar_14.,153.4,chunk_1
EDAVOV_clean_argon_313.0K_0.05bar_14.,151.2,chunk_1
KOHKIC_clean_argon_313.0K_0.05bar_14.,343.6,chunk_1
YOYPIN_clean_argon_313.0K_0.05bar_14.,120.8,chunk_1
RAHNOF_clean_argon_313.0K_0.05bar_14.,183.5,chunk_1
CURZAR_clean_argon_313.0K_0.05bar_14.,243.9,chunk_1
VAKPOP_clean_argon_313.0K_0.05bar_14.,106.3,chunk_1
VUHPOF_clean_argon_313.0K_0.05bar_14.,147.0,chunk_1
ERELIX_clean_argon_313.0K_0.05bar_14.,167.4,chunk_1
XANMUX02_clean_argon_313.0K_0.05bar_14.,81.2,chunk_1
jp2064408_si_002_clean_argon_313.0K_0.05bar_14.,93.4,chunk_1
DIMQIB_clean_argon_313.0K_0.05bar_14.,265.4,chunk_1
QUNWAZ_clean_argon_313.0K_0.05bar_14.,239.3,chunk_1
VIRPOC_clean_argon_313.0K_0.05bar_14.,93.9,chunk_1
CIWREG_clean_argon_313.0K_0.05bar_14.,287.4,chunk_1
VEGMOK02_charged_argon_313.0K_0.05bar_14.,128.9,chunk_1
SOVHOA_clean_argon_313.0K_0.05bar_14.,102.3,chunk_1
HIYBUN_clean_argon_313.0K_0.05bar_14.,154.4,chunk_1
UCOXOZ_clean_argon_313.0K_0.05bar_14.,205.2,chunk_1
FAWCEN02_SL_argon_313.0K_0.05bar_14.,104.6,chunk_1
XAPCOJ01_clean_argon_313.0K_0.05bar_14.,81.7,chunk_1
SUNHUF_clean_argon_313.0K_0.05bar_14.,90.8,chunk_1
UMIZIB_clean_argon_313.0K_0.05bar_14.,558.5,chunk_1
WIWQOI_clean_argon_313.0K_0.05bar_14.,71.8,chunk_1
RUBDUP_clean_argon_313.0K_0.05bar_14.,62.8,chunk_1
IJEVIE_clean_argon_313.0K_0.05bar_14.,161.4,chunk_1
DOTFOJ_clean_argon_313.0K_0.05bar_14.,493.4,chunk_1
YAWFOS_clean_argon_313.0K_0.05bar_14.,98.2,chunk_1
ELIKEQ_clean_argon_313.0K_0.05bar_14.,143.9,chunk_1
WIHDUN_clean_argon_313.0K_0.05bar_14.,69.9,chunk_1
DITXOU_clean_argon_313.0K_0.05bar_14.,87.8,chunk_1
OCUNAE_clean_argon_313.0K_0.05bar_14.,209.2,chunk_1
NESVEO_charged_argon_313.0K_0.05bar_14.,112.7,chunk_1
VOVQEE_clean_argon_313.0K_0.05bar_14.,61.7,chunk_1
IGAGAA_clean_argon_313.0K_0.05bar_14.,150.5,chunk_1
NUHNUA_clean_argon_313.0K_0.05bar_14.,219.5,chunk_1
WAVRAO_clean_argon_313.0K_0.05bar_14.,268.0,chunk_1
jp102463p_si_004_clean_argon_313.0K_0.05bar_14.,88.3,chunk_1
ADASAB_charged_argon_313.0K_0.05bar_14.,166.2,chunk_1
RUTNOK_manual_argon_313.0K_0.05bar_14.,74.8,chunk_1
KOKKOL_clean_argon_313.0K_0.05bar_14.,135.4,chunk_1
LURLOB_clean_argon_313.0K_0.05bar_14.,95.0,chunk_1
AROFAP_clean_argon_313.0K_0.05bar_14.,137.8,chunk_1
MAWVAK_clean_argon_313.0K_0.05bar_14.,113.4,chunk_1
KEGZOL02_clean_argon_313.0K_0.05bar_14.,50.4,chunk_1
UDAWUU_clean_argon_313.0K_0.05bar_14.,72.9,chunk_1
NIGDIS_clean_argon_313.0K_0.05bar_14.,160.5,chunk_1
DICVES_clean_argon_313.0K_0.05bar_14.,277.1,chunk_1
TADYEE_clean_argon_313.0K_0.05bar_14.,94.1,chunk_1
SEHTEF_clean_argon_313.0K_0.05bar_14.,79.7,chunk_1
XAMDUM_clean_argon_313.0K_0.05bar_14.,84.5,chunk_1
LAGPAM_clean_argon_313.0K_0.05bar_14.,77.7,chunk_1
QOJVAM_clean_argon_313.0K_0.05bar_14.,106.8,chunk_1
EXOFIH_clean_argon_313.0K_0.05bar_14.,192.7,chunk_1
ZEDROR_clean_argon_313.0K_0.05bar_14.,212.0,chunk_1
POTNET_clean_argon_313.0K_0.05bar_14.,118.5,chunk_1
PITPEP_clean_argon_313.0K_0.05bar_14.,183.0,chunk_1
NEKMUN_clean_argon_313.0K_0.05bar_14.,242.4,chunk_1
VEDFOB_clean_argon_313.0K_0.05bar_14.,260.6,chunk_1
AHEQAH_clean_argon_313.0K_0.05bar_14.,77.9,chunk_1
RUBGUS_clean_argon_313.0K_0.05bar_14.,178.2,chunk_1
AMOYOR_clean_argon_313.0K_0.05bar_14.,205.3,chunk_1
WEMFOL_clean_argon_313.0K_0.05bar_14.,77.3,chunk_1
JIVSEN_clean_argon_313.0K_0.05bar_14.,96.2,chunk_1
ORAGEU_clean_argon_313.0K_0.05bar_14.,84.6,chunk_1
IZOWEA_clean_argon_313.0K_0.05bar_14.,87.2,chunk_1
ZASJAG_clean_argon_313.0K_0.05bar_14.,97.4,chunk_1
RIFMIE_clean_argon_313.0K_0.05bar_14.,136.0,chunk_1
EPEYAB_clean_argon_313.0K_0.05bar_14.,375.8,chunk_1
LEVPAF_clean_argon_313.0K_0.05bar_14.,199.8,chunk_1
REJVOS_clean_argon_313.0K_0.05bar_14.,104.4,chunk_1
NUSXEG_clean_argon_313.0K_0.05bar_14.,300.7,chunk_1
HOGLEV01_clean_argon_313.0K_0.05bar_14.,117.4,chunk_1
1499489-acs.cgd.6b01265_1499490_clean_argon_313.0K_0.05bar_14.,279.3,chunk_1
ABEYIR_clean_argon_313.0K_0.05bar_14.,114.9,chunk_1
VATVIY_clean_argon_313.0K_0.05bar_14.,191.4,chunk_1
YARYIZ_clean_argon_313.0K_0.05bar_14.,49.6,chunk_1
FOVPOX_clean_argon_313.0K_0.05bar_14.,164.6,chunk_1
XOCWUJ_clean_argon_313.0K_0.05bar_14.,88.4,chunk_1
IQEWOQ_clean_argon_313.0K_0.05bar_14.,90.7,chunk_1
EWASIG01_clean_argon_313.0K_0.05bar_14.,92.1,chunk_1
KAHYID_clean_argon_313.0K_0.05bar_14.,53.5,chunk_1
ALUKIC_clean_argon_313.0K_0.05bar_14.,72.0,chunk_1
KOXGAH_clean_argon_313.0K_0.05bar_14.,393.2,chunk_1
QIQZIB_clean_argon_313.0K_0.05bar_14.,173.2,chunk_1
KECRAL11_clean_argon_313.0K_0.05bar_14.,62.3,chunk_1
cm503311x_alf300K_clean_argon_313.0K_0.05bar_14.,90.8,chunk_1
BIYVIQ_clean_argon_313.0K_0.05bar_14.,133.7,chunk_1
MANLIX_charged_argon_313.0K_0.05bar_14.,634.8,chunk_1
GESNOI_clean_argon_313.0K_0.05bar_14.,144.5,chunk_1
ncomms7350-s2_clean_argon_313.0K_0.05bar_14.,190.0,chunk_1
UMABOB_clean_argon_313.0K_0.05bar_14.,163.3,chunk_1
ITIPAE_clean_argon_313.0K_0.05bar_14.,116.3,chunk_1
NAWKII_clean_argon_313.0K_0.05bar_14.,246.8,chunk_1
REZXIE_clean_argon_313.0K_0.05bar_14.,65.7,chunk_1
DATHAJ_clean_argon_313.0K_0.05bar_14.,187.1,chunk_1
XAKZAL_clean_argon_313.0K_0.05bar_14.,218.1,chunk_1
OZAVUI_clean_argon_313.0K_0.05bar_14.,87.1,chunk_1
VAFWAB_clean_argon_313.0K_0.05bar_14.,119.6,chunk_1
ZERQOE_clean_argon_313.0K_0.05bar_14.,402.5,chunk_1
