iter,train,val,sampled,remain,unc_mean,unc_std,sel_unc_mean,unc_zscore,r2,mae,rmse
16,495,55,30,6583,0.013917582,0.0042507355,0.030036356,3.7919875824350893,0.9543034390906835,0.15696092,0.23110394
17,522,58,30,6553,0.0139100775,0.0036754995,0.028055063,3.8484420020508234,0.9566825108486673,0.15348212,0.22507079
18,549,61,30,6523,0.013979305,0.0040165884,0.029108025,3.766550420731693,0.9483392563142454,0.16700254,0.24592638
19,576,64,30,6493,0.013418306,0.0038212482,0.028227756,3.875542924254275,0.9579542682616541,0.15029359,0.22158368
20,603,67,30,6463,0.013913362,0.0040643327,0.029342206,3.796147389709585,0.9567566880787546,0.15174739,0.22461446
21,630,70,30,6433,0.014036303,0.004246862,0.029573536,3.658511876508768,0.956716322825005,0.15152408,0.22429171
22,657,73,30,6403,0.013678987,0.0041870326,0.03081395,4.092378397048074,0.9524350503866332,0.16549984,0.2348696
23,684,76,30,6373,0.014766209,0.0047358396,0.0316153,3.557775479285861,0.9568071421680815,0.15082136,0.22331458
24,711,79,30,6343,0.014578507,0.0047240593,0.033047922,3.9096411615259936,0.9555087555007888,0.15741362,0.22637996
25,738,82,30,6313,0.014945778,0.0049116826,0.030754864,3.2186634239929743,0.9583368944250971,0.14961761,0.21905436
26,765,85,30,6283,0.014617265,0.00484972,0.030687239,3.3135814495730944,0.9551867392752145,0.15316159,0.22727172
27,792,88,30,6253,0.014150465,0.0045156535,0.030738704,3.673488754636829,0.9590408885828265,0.14751107,0.21714988
28,819,91,30,6223,0.01415972,0.0044949786,0.03049114,3.633250464554034,0.9590058865197777,0.14557728,0.21723616
29,846,94,30,6193,0.013921827,0.0044410676,0.030917812,3.8269957613925185,0.9614860133305142,0.14312963,0.21032235
30,873,97,30,6163,0.014583659,0.0046912828,0.031584565,3.6239277881134924,0.9625066009436983,0.14226988,0.20748523
31,900,100,30,6133,0.01361405,0.0041764444,0.027085323,3.225528538710785,0.9632572894090495,0.142179,0.20527433
32,927,103,30,6103,0.014615447,0.004727704,0.031438652,3.558422982202443,0.9613173549859837,0.14293477,0.21063675
33,954,106,30,6073,0.014467062,0.0047536804,0.03071353,3.417653726941048,0.9633873709487437,0.13992748,0.2048925
34,981,109,30,6043,0.014559127,0.004971748,0.03248943,3.6064309612332175,0.9616501700645299,0.14235055,0.20977816
35,1008,112,30,6013,0.014234857,0.004817818,0.031572808,3.598707225740772,0.963015164077224,0.14020108,0.20623554
36,1035,115,30,5983,0.01431805,0.004863652,0.030382914,3.303038711705621,0.9642781576088459,0.13759802,0.20289616
37,1062,118,30,5953,0.014066348,0.004626305,0.029012293,3.230637187457755,0.9628181709150129,0.14115164,0.20690283
38,1089,121,30,5923,0.013860813,0.0045628315,0.030123055,3.564059975714384,0.9629071826613596,0.14207138,0.20659949
39,1116,124,30,5893,0.013937769,0.0046155294,0.029343234,3.337738766300138,0.9672164693533195,0.13059027,0.19392355
40,1143,127,30,5863,0.013796006,0.0044654543,0.029189209,3.4471672604744112,0.9673887308012996,0.1311091,0.19335955
41,1170,130,30,5833,0.013928058,0.004806707,0.030857844,3.5221100249472044,0.9665014303526192,0.13404524,0.1961404
42,1197,133,30,5803,0.013896438,0.0045146523,0.028094698,3.144921700303177,0.9684239826331937,0.13088968,0.19055626
43,1224,136,29,5774,0.013145355,0.0041960767,0.02721684,3.3534784001475217,0.9694698990776166,0.12952518,0.18756387
44,1251,138,30,5744,0.013444369,0.004388839,0.027690789,3.2460492449435603,0.9691221943903142,0.12880519,0.1885935
45,1278,141,30,5714,0.012865151,0.0040494357,0.026323233,3.323437931949685,0.9706514300795616,0.12621297,0.18398142
46,1305,144,30,5684,0.012912343,0.0041790805,0.02575591,3.073292382695632,0.9700300919903739,0.12619658,0.18605663
47,1332,147,30,5654,0.012868456,0.004074658,0.025212523,3.0294658573859787,0.9660593320731978,0.1341611,0.19791059
48,1359,150,30,5624,0.012790437,0.0042336667,0.027381836,3.446507538918795,0.9691543570125498,0.12959653,0.18854398
49,1386,153,30,5594,0.0127264755,0.0040586195,0.024996977,3.0233116445943637,0.9694066752512495,0.1276905,0.18786578
50,1413,156,30,5564,0.012658389,0.0041546603,0.027578175,3.5910878122919354,0.9701496375651194,0.1263398,0.18561457
51,1440,159,30,5534,0.012712935,0.0041190563,0.026215453,3.278053036089,0.971157565091007,0.12474237,0.18232454
52,1467,162,30,5504,0.012587985,0.0041153906,0.025312576,3.0919447904848933,0.9715819194968437,0.12373992,0.18100782
53,1494,165,30,5474,0.012681615,0.004166067,0.026083497,3.2169070235420847,0.9712382180406992,0.1257168,0.18231797
54,1521,168,30,5444,0.012747831,0.004174632,0.026533153,3.3021567190109873,0.9709917779392687,0.1246787,0.18287136
55,1548,171,29,5415,0.012066809,0.003901668,0.024533104,3.1951111888418064,0.972133539977792,0.12344327,0.17936239
56,1574,174,30,5385,0.012034657,0.0039231977,0.025885174,3.5304061239035502,0.9683164562304247,0.12987797,0.19129355
57,1601,177,30,5355,0.013270043,0.003891882,0.026636908,3.4345415859718584,0.9721203590973185,0.121868335,0.17953996
58,1628,180,30,5325,0.012490911,0.0037799203,0.024469735,3.1690594250498103,0.9714896998315578,0.122475706,0.18143685
59,1655,183,30,5295,0.012183561,0.003803894,0.023806132,3.055432423989854,0.9720172235114083,0.12212775,0.17963725
60,1682,186,30,5265,0.011794809,0.0037473417,0.024405068,3.3651121063713205,0.9726638177159921,0.1212476,0.17743662
61,1709,189,30,5235,0.011920099,0.0038276976,0.024768805,3.35676267258025,0.9711660630551651,0.12485812,0.18229665
62,1736,192,30,5205,0.011715143,0.0036935005,0.023700802,3.2450587479372754,0.9724302174101658,0.12246464,0.17834227
63,1763,195,30,5175,0.011074754,0.003497264,0.021849845,3.0809967536124168,0.9734451670073926,0.11948587,0.1751347
64,1790,198,30,5145,0.010975719,0.003495706,0.022437362,3.2787682208449307,0.9722371326260404,0.12251012,0.17898978
65,1817,201,30,5115,0.011156649,0.003616074,0.02266574,3.1827499788762865,0.970669195612681,0.12710978,0.18413089
66,1844,204,30,5085,0.010974848,0.0036265317,0.022998516,3.315463832398885,0.973618787689242,0.11887436,0.17474948
67,1871,207,30,5055,0.011039391,0.0036091635,0.023080317,3.336200461865096,0.9731596706303155,0.12106281,0.17640905
68,1898,210,30,5025,0.010673358,0.003369241,0.021425223,3.1911735884408454,0.9736474477874436,0.11927378,0.17484725
69,1925,213,30,4995,0.010402011,0.0032644353,0.02042045,3.06895626608081,0.9737355607904149,0.11968037,0.17470308
70,1952,216,30,4965,0.010295239,0.0031411883,0.020063626,3.109764316772683,0.9741703217977002,0.11758981,0.17322189
71,1979,219,30,4935,0.010087281,0.0032051739,0.020823475,3.349634187643989,0.9740650185744796,0.11774996,0.17360894
72,2006,222,30,4905,0.010444115,0.0033072273,0.020810919,3.134581251554383,0.9747995782066994,0.11634571,0.1709829
73,2033,225,30,4875,0.0102245,0.003230186,0.021886824,3.6104075890473544,0.9742686406438371,0.11618452,0.17249973
74,2060,228,30,4845,0.010222929,0.0033314293,0.02164298,3.4279629678630013,0.9746406005046727,0.1156559,0.17113616
75,2087,231,30,4815,0.010510159,0.0033024307,0.022376198,3.5931120501859115,0.973988816418821,0.11644573,0.17329688
76,2114,234,30,4785,0.010341943,0.0033159677,0.021683412,3.420248662277236,0.9736839676737417,0.117090754,0.17424108
77,2141,237,30,4755,0.010353561,0.0032437325,0.020331677,3.076112389670258,0.9748964211489026,0.11507658,0.17002787
78,2168,240,30,4725,0.010199851,0.0031531556,0.020518601,3.2725048510996246,0.9757480876971523,0.113496006,0.16708715
79,2195,243,30,4695,0.0103153335,0.0031188335,0.020291958,3.1988217507269683,0.9739577637538502,0.11831326,0.17309132
80,2222,246,30,4665,0.01047828,0.0033022936,0.021701116,3.3984872173511698,0.9744651562949154,0.11593817,0.1712799
81,2249,249,30,4635,0.010015689,0.0031542694,0.022596592,3.988518952627321,0.9747003581261905,0.11603865,0.17029321
82,2276,252,30,4605,0.009860494,0.0030243462,0.019419514,3.16067911710207,0.9755251840813758,0.1133462,0.1674648
83,2303,255,30,4575,0.010067522,0.003154468,0.021042129,3.479056549572024,0.9751471680619439,0.113617,0.16845849
84,2330,258,30,4545,0.01002903,0.003192532,0.021345029,3.544510372797215,0.9741667645869759,0.11557953,0.17186123
85,2357,261,30,4515,0.009963405,0.003132279,0.020390118,3.328783557097065,0.9746996522870583,0.1149785,0.17011647
86,2384,264,30,4485,0.010279148,0.0032931794,0.020790828,3.1919452839618296,0.9736369232510388,0.11701032,0.17342725
87,2411,267,30,4455,0.010003511,0.00318548,0.020254107,3.217902629042893,0.9749879637059372,0.11312591,0.16892546
88,2438,270,30,4425,0.010031392,0.0031283845,0.020528318,3.355371768234855,0.9748968756953749,0.11321154,0.16897485
89,2465,273,30,4395,0.009972494,0.0031417308,0.020343414,3.30101054509914,0.9752441150038361,0.11260454,0.16793844
90,2492,276,30,4365,0.010014265,0.0030690457,0.020173194,3.310115542789635,0.9754625292495712,0.11165685,0.16697982
91,2519,279,30,4335,0.01010876,0.003109696,0.021137191,3.5464545659920548,0.9743514311900006,0.114149116,0.17088084
92,2546,282,30,4305,0.009747695,0.0030884019,0.020288147,3.4129035636552594,0.9766358944443182,0.108891845,0.16298111
93,2573,285,30,4275,0.009506447,0.0029304465,0.01957958,3.437393701998087,0.976309203476212,0.11020043,0.16409846
94,2600,288,30,4245,0.009661077,0.0030185655,0.0203362,3.5364770722107455,0.9761619875256409,0.110416755,0.16464321
95,2627,291,29,4216,0.009868333,0.0031685333,0.021864219,3.7859307249604623,0.9754449070907656,0.11184007,0.1669323
96,2653,294,30,4186,0.009824575,0.003116286,0.02047416,3.4173857448395224,0.9763561875929025,0.109468535,0.16379993
97,2680,297,30,4156,0.0095947785,0.003002313,0.01961315,3.336873511409837,0.976812820551568,0.10862969,0.1624641
98,2707,300,30,4126,0.009318105,0.0028610614,0.018456956,3.1942060356363546,0.9771354682999529,0.10772993,0.1614026
99,2734,303,30,4096,0.009514021,0.0029131037,0.019502942,3.428949875873972,0.9768965862932588,0.10849433,0.16234183
100,2761,306,30,4066,0.009856788,0.0031319256,0.0200256,3.246813671915291,0.9776733756575117,0.10619336,0.159523
101,2788,309,30,4036,0.009666396,0.0030706374,0.021204103,3.757418277302717,0.9770128451253893,0.10731186,0.16195667
102,2815,312,30,4006,0.009646785,0.0030278352,0.02001918,3.4256684897595227,0.9777890183773089,0.10600967,0.15898925
103,2842,315,30,3976,0.009578954,0.002986862,0.01909877,3.187218988226333,0.9776525440281512,0.10629072,0.15952317
104,2869,318,30,3946,0.009323985,0.0029058722,0.019332102,3.444088788295787,0.9782338122330374,0.10423774,0.15749125
105,2896,321,30,3916,0.009269353,0.002869696,0.019129755,3.4360322446635005,0.9787653442107098,0.10390298,0.15548483
106,2923,324,29,3887,0.0090499325,0.0028167153,0.019012494,3.5369304983585157,0.9796240468694178,0.103090964,0.15241085
107,2949,327,30,3857,0.009567673,0.0030377263,0.01855168,2.9574674034738604,0.9788013042492757,0.10369858,0.15529403
108,2976,330,30,3827,0.009437834,0.0029287103,0.01889806,3.2301570761250233,0.9791654667362522,0.10294327,0.15413022
109,3003,333,30,3797,0.009308307,0.002929568,0.018939601,3.2876044384274055,0.9794444349768612,0.10296952,0.1530682
110,3030,336,30,3767,0.00912826,0.0028777434,0.019028027,3.4401022740902394,0.9801853822805173,0.101081885,0.15018249
111,3057,339,30,3737,0.0094455695,0.0030633805,0.021473808,3.9264464629687184,0.9799105036684822,0.10238026,0.15136448
112,3084,342,30,3707,0.009261695,0.0028662882,0.019430844,3.5478337328829785,0.9802948981716847,0.10130746,0.14984116
113,3111,345,30,3677,0.009371457,0.0029169866,0.019037837,3.313812745259623,0.9802875805468135,0.10117518,0.14986575
114,3138,348,30,3647,0.009338058,0.0029358023,0.019379236,3.4202384455666066,0.9800297604090207,0.102204464,0.15084784
115,3165,351,30,3617,0.009426357,0.0030057337,0.019495316,3.3499059084605407,0.9799770168699383,0.101280935,0.15110439
116,3192,354,30,3587,0.0092584705,0.0027918022,0.018319935,3.245728426426647,0.9795445691107298,0.10205958,0.15296012
117,3219,357,30,3557,0.009055478,0.0027719068,0.01817491,3.289937631565259,0.9803325513794596,0.100007206,0.14994846
118,3246,360,30,3527,0.0091713965,0.0028237565,0.018325208,3.2417025716263086,0.9808012282499403,0.09934938,0.1481042
119,3273,363,30,3497,0.009156065,0.0028078775,0.019332003,3.6240546728144776,0.9801178451972606,0.10127212,0.15067078
120,3300,366,30,3467,0.009203225,0.0028402228,0.018416928,3.2439956270169206,0.981408367540723,0.09681794,0.14557196
121,3327,369,30,3437,0.009135589,0.002854801,0.018144287,3.155619799402756,0.9814072857753317,0.09677859,0.14563322
122,3354,372,30,3407,0.009108608,0.0028485532,0.019109245,3.510765566831859,0.9803190636148343,0.10050173,0.14966664
123,3381,375,30,3377,0.009100867,0.0027784244,0.01780035,3.1310734770499207,0.9817165000267287,0.096558325,0.1443069
124,3408,378,30,3347,0.009248793,0.0028889724,0.018536357,3.214821961792853,0.9797538340666649,0.10152668,0.15204431
125,3435,381,30,3317,0.0088726245,0.0027320287,0.01768475,3.2254761657775566,0.9799128795719154,0.10136364,0.15139575
126,3462,384,30,3287,0.009257941,0.0028773139,0.019428104,3.5345911767916647,0.9809550070757208,0.09836497,0.14733627
127,3489,387,30,3257,0.008909849,0.002667467,0.017811226,3.3370019350152473,0.9816638735258203,0.096367165,0.14448369
128,3516,390,30,3227,0.008854898,0.002702522,0.017412705,3.1665887264926798,0.9817841185593889,0.09564699,0.14375104
129,3543,393,30,3197,0.008984763,0.0028573468,0.019662874,3.73705891257426,0.9812097900051961,0.09724249,0.14601676
130,3570,396,30,3167,0.0090042595,0.0028690705,0.018633215,3.3561119143784413,0.9818147792339832,0.09552979,0.14362988
131,3597,399,30,3137,0.008892301,0.0027848468,0.018232109,3.3537840911714714,0.9812172255985796,0.0968465,0.14601979
