Feature,Importance
5,41.78058489496406
0.01,7.264947444838458
cm3_g_y,4.084648387131618
cm3_g_x,4.018520095812112
ASA_m2_g_y,3.3208585873102634
ASA_m2_g_x,3.3054182942598267
AV_VF_y,3.2313190803346528
ASA_m2_cm3_y,3.033865250804871
LCD_x,2.8414817015883247
PLD_y,2.7423741540342723
LCD_y,2.63674333854815
AV_VF_x,2.596835983053818
Has_OMS_y,2.567484655857639
PLD_x,2.549631672291554
ASA_m2_cm3_x,2.4835973752237446
Has_OMS_x,2.3349038144369905
LFPD_x,2.0531869404894603
AV_cm3_g_x,1.972166433753694
AV_cm3_g_y,1.8883398701093075
LFPD_y,1.5542101702774973
NASA_m2_g_y,0.4605326265714646
NASA_m2_cm3_x,0.4043830217890861
NASA_m2_cm3_y,0.3825231359445163
NASA_m2_g_x,0.34569984431094813
NAV_cm3_g_x,0.08202319151068951
NAV_cm3_g_y,0.06372003475300854
