Feature,Importance
5,72.0411495019349
0.01_y,12.323717132518812
0.01_x,7.859200746929634
ASA_m2_g_y,1.091488907760962
cm3_g_x,0.7497591069803008
AV_VF_y,0.5421168906739907
LCD_x,0.530570278494067
ASA_m2_cm3_y,0.48210150951671915
ASA_m2_g_x,0.42131250275283155
Has_OMS_x,0.37561111024936317
AV_cm3_g_x,0.37395702933489516
AV_VF_x,0.3620580238735243
LFPD_y,0.3478554415074818
cm3_g_y,0.3211418920821974
PLD_x,0.30490357827452275
LFPD_x,0.2736050290818928
LCD_y,0.2551252452717533
ASA_m2_cm3_x,0.24783903758747114
AV_cm3_g_y,0.20712833993935575
PLD_y,0.20515861728363483
NASA_m2_g_x,0.16861297985021775
NASA_m2_cm3_y,0.13691938810317608
NASA_m2_cm3_x,0.12482046993530437
NAV_cm3_g_x,0.09766549398017842
NASA_m2_g_y,0.08458158587780916
Has_OMS_y,0.057042784425298886
NAV_cm3_g_y,0.01455737577967619
