filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,HENRY,0.01,0.05,0.1,0.5,1,5,15
1499489-acs.cgd.6b01265_1499490_clean,10.85017,3.77263,10.26663,0.884188,1701.53,1924.4,0.0,0.0,0.6458,0.730388,0.0,0,1.16409e-05,0.0116708727,0.0575722686,0.1143405773,0.5531209871,1.0238108645,3.8287425536,6.9215154026
ACOCOM_clean,24.60642,13.0343,24.60642,0.349927,1537.41,4393.52,0.0,0.0,0.863,2.46623,0.0,1,4.87434e-06,0.0047986398,0.0244883156,0.0484298913,0.2438483391,0.4877271829999999,2.320885037,6.7197172228
ACOCUS_clean,24.38417,13.22222,24.38417,0.346494,1518.48,4382.42,0.0,0.0,0.8644,2.49471,0.0,1,5.05212e-06,0.0051641474,0.025122058,0.0510783245,0.2510873873,0.5014130045,2.4219500597,6.908502865499999
ACODAZ_clean,23.29182,13.11646,23.29182,0.343144,1530.83,4461.21,0.0,0.0,0.8618,2.51148,0.0,1,4.90774e-06,0.0048727386,0.0246743152,0.0487961495,0.2464846949,0.4916699928999999,2.3660169037,6.8161527068
acs.cgd.5b01554_VAGNUP1452791_clean,6.16218,5.1323,5.87594,1.47047,1873.32,1273.96,0.0,0.0,0.572,0.388992,0.0,1,1.83843e-06,0.0018685997,0.0090523274,0.0183131997,0.0913722177999999,0.1822950489,0.8278450272,2.0716966335
acs.chemmater.5b03723_cm5b03723_si_004_clean,13.11818,7.33973,12.8246,0.772596,1915.1,2478.78,10.4758,13.5592,0.6956,0.900342,0.0,1,4.63036e-05,0.0374681985,0.1173607532,0.188325131,0.5979883692,0.9908680532,2.982884419,6.138112798200001
acs.chemmater.5b03723_cm5b03723_si_005_clean,14.22819,7.4356,14.22819,0.645145,2122.45,3289.88,0.0,0.0,0.7418,1.14982,0.0,1,8.81607e-06,0.0090411437,0.0434637983,0.0875275327999999,0.4162767779,0.774833379,2.9727732928,6.9558864953
acscombsci.5b00188_34903_clean,6.15808,5.85025,6.15808,2.16583,1748.44,807.285,0.0,0.0,0.542,0.25025,0.0,0,3.50935e-05,0.0350259754,0.1699194354,0.3240712985,1.2582720914,1.9455993145,3.5452760928,4.3972627651
acscombsci.5b00188_5013797_clean,9.69678,6.71185,9.61668,0.664961,2272.9,3418.09,0.0,0.0,0.7302,1.09811,0.0,0,4.75903e-06,0.0049203794,0.0238569001,0.0469546396999999,0.2376115523,0.4711412009,2.151930913,5.702147543
acs.inorgchem.5b02316_ic5b02316_si_002_clean,10.12066,5.58472,9.70957,1.34196,2005.01,1494.09,0.0,0.0,0.658,0.490328,0.0,1,0.000296108,0.2500007744,0.8021694669,1.1718499282,2.629369029,3.8408312541,8.0210867652,10.5659377721
acs.inorgchem.5b02378_ic5b02378_si_002_clean,3.84352,3.57212,3.8244,2.34418,318.947,136.059,0.0,0.0,0.356,0.151866,0.0,0,4.59867e-05,0.0453557145,0.212582891,0.3846814167,1.1556653604,1.5514379641,2.218022308,2.4749086303
acs.inorgchem.6b00136_ic6b00136_si_002_clean,7.2744,7.0365,7.27294,1.17665,1340.62,1139.36,0.0,0.0,0.582,0.494624,0.0,1,1.74508e-05,0.0173318604,0.0846076738,0.1678415964,0.7164492193,1.2396954362,3.1462120815,4.7802420862
acs.inorgchem.6b00276_ic6b00276_si_006_clean,14.12459,8.71298,14.12459,0.76132,1982.07,2603.46,21.492,28.2299,0.7202,0.945989,0.0,1,1.8496e-05,0.0182266369,0.089708855,0.1768995039,0.7142767364,1.2499708516,3.8441701063,7.450698191900001
acs.inorgchem.6b01211_ic6b01211_si_002_clean,11.28381,4.52903,11.28381,0.822811,2257.22,2743.3,0.0,0.0,0.6948,0.844422,0.0,1,8.68379e-06,0.0088555078,0.0430300067,0.0857092133,0.3907890228,0.7189251631,2.5625853301,5.7561984948000005
acs.inorgchem.6b01416_ic6b01416_si_004_clean,6.69143,3.5273,6.69143,1.34288,1327.26,988.368,0.0,0.0,0.5278,0.393035,0.0,1,9.24167e-06,0.009059884,0.0452019243,0.0905537032,0.4178054523,0.7593042211,2.2942395925,3.5832527356
acs.inorgchem.6b01762_ic6b01762_si_002_clean,11.40609,8.52606,11.40609,2.31198,1582.43,684.446,0.0,0.0,0.647,0.279846,8.65e-05,1,6.05955e-07,0.0005611627,0.0030933135,0.0061689465,0.0301690308,0.0594617254,0.2866219361,0.8044175495
acs.jpcc.6b04690_jp6b04690_si_005_clean,7.34724,4.81711,7.33146,1.24071,916.497,738.69,73.5263,59.2617,0.5146,0.414764,0.0,0,,0.08042967,0.2210311604,0.2970172192,0.5592902324,0.825602985,,
ADOBIF_clean,5.54781,3.82743,5.54167,1.58873,944.037,594.207,131.28,82.6315,0.4886,0.30754,0.0,1,4.46521e-06,0.0044751325,0.0227590698,0.0441286708,0.2121715816,0.3969463962,1.4635722866999998,2.7965590428
AFEKAX_clean,8.19182,6.99421,8.19182,0.987281,1565.63,1585.8,78.0532,79.0587,0.641,0.649258,0.0,1,,0.0214771198,0.1073332969,0.2145453480999999,1.0260899618,1.8106728735,,
