name_base,HENRY,0.01,0.05,0.1,0.5,1,5,15
ADUROI_clean_argon_293.0K,1624.2,563.3,680.7,809.3,1142.8,1226.6,1617.9,4643.6
ADUWIH_clean_argon_293.0K,399.4,179.6,308.4,414.0,486.6,438.7,1629.9,4486.6
ADUWON_clean_argon_293.0K,315.1,105.2,127.5,143.4,238.9,256.2,318.1,658.0
AFEJOK_ion_b_argon_293.0K,264.1,122.3,224.2,290.0,350.5,321.9,1055.7,2337.5
AFENEE_clean_argon_293.0K,185.4,85.8,146.6,185.4,264.4,260.6,529.3,1097.4
AFIPAH_clean_argon_293.0K,176.1,76.9,134.8,176.8,235.8,219.3,508.9,1043.9
AFITEP_clean_argon_293.0K,196.1,99.5,184.5,228.8,259.4,252.0,798.8,1341.7
AFITUF_clean_argon_293.0K,260.3,103.4,162.8,218.0,304.6,281.6,539.6,1116.4
AFIXAO_clean_argon_293.0K,451.6,204.1,347.8,448.5,568.2,498.2,1340.3,3092.6
AFIXES_clean_argon_293.0K,435.7,202.9,353.9,450.3,565.2,505.7,1367.7,3074.9
AFOTOF_clean_argon_293.0K,178.0,81.0,145.6,188.4,243.9,221.6,557.0,1261.9
AFOTUL_clean_argon_293.0K,177.1,79.6,141.6,187.0,243.3,220.8,551.1,1267.9
AFOVAT_clean_argon_293.0K,180.2,79.9,142.3,186.4,244.5,221.6,549.7,1272.0
AFOVEX_clean_argon_293.0K,178.9,79.3,143.1,183.1,242.2,224.7,539.2,1225.9
AFOVIB_clean_argon_293.0K,177.9,81.7,146.3,189.2,244.4,226.7,567.7,1269.8
AFOVOH_clean_argon_293.0K,186.7,81.5,142.5,187.8,248.6,221.4,559.8,1249.4
AFOYAW_clean_argon_293.0K,296.6,146.8,265.9,356.4,407.1,362.4,1311.7,3077.3
AFOYEB_clean_argon_293.0K,207.2,89.2,138.7,179.7,284.0,250.9,339.6,584.8
AFOYIE_clean_argon_293.0K,123.2,49.1,73.0,94.5,162.2,151.7,214.8,617.2
AFOYOK_clean_argon_293.0K,283.0,120.9,203.7,269.3,384.2,342.1,846.3,2243.8
AFUKET_clean_argon_293.0K,426.2,215.6,400.7,498.8,500.6,481.4,1741.6,3400.7
AFUKIX_clean_argon_293.0K,365.2,136.4,207.2,266.7,390.6,381.1,726.3,1810.5
AFUPEX_clean_argon_293.0K,135.0,58.4,98.3,130.4,177.5,169.6,418.9,995.5
AGABIU_clean_argon_293.0K,100.8,36.8,46.3,56.5,107.8,116.6,139.6,252.3
AGARUW_clean_argon_293.0K,176.4,70.4,112.6,150.6,228.3,213.4,368.4,842.9
AGIREP_clean_argon_293.0K,503.8,273.4,500.1,581.5,620.0,689.0,3598.5,9357.1
AGOFEJ_clean_argon_293.0K,487.6,156.3,203.8,259.8,405.0,381.7,508.3,1244.2
AGONAM_clean_argon_293.0K,187.1,89.6,162.2,210.0,254.7,233.6,680.2,1325.8
AGONEQ_clean_argon_293.0K,113.2,51.7,85.3,113.0,160.7,141.4,355.8,911.8
AGOVOJ_clean_argon_293.0K,137.1,43.9,53.0,62.4,102.9,113.7,131.9,238.3
AGUBUA_clean_argon_293.0K,129.1,108.9,175.0,180.5,241.2,361.4,1077.5,1447.3
AHAMAY_clean_argon_293.0K,250.1,142.0,269.7,316.1,420.4,328.2,773.6,1033.1
AHEQAH_clean_argon_293.0K,140.4,60.3,97.3,129.0,189.8,166.5,380.4,1075.9
AHIYOH_clean_argon_293.0K,458.6,295.6,522.4,582.7,596.3,661.0,2527.8,3983.0
AHOKIR01_clean_argon_293.0K,210.3,114.0,220.0,260.8,284.9,282.4,928.3,1347.6
AHOKIR_clean_argon_293.0K,174.0,88.0,162.8,202.2,242.7,220.6,733.4,1410.9
AHOKOX_clean_argon_293.0K,144.0,77.6,143.2,183.5,220.6,187.1,781.6,1661.6
AHUFIU_clean_argon_293.0K,271.3,103.4,136.3,170.7,290.5,284.0,363.3,990.6
AJAKON_clean_argon_293.0K,288.3,126.0,217.6,278.4,363.8,333.6,776.9,1533.7
AJAYIT_clean_argon_293.0K,330.0,134.8,221.6,290.7,420.1,389.9,661.8,1350.7
AJIGIL_clean_argon_293.0K,652.5,263.4,404.0,511.1,746.1,679.3,1238.9,2945.5
AJOTEY_clean_argon_293.0K,101.9,44.5,74.9,99.4,145.4,130.4,303.2,760.0
AJOVEB_clean_argon_293.0K,389.3,203.7,344.9,444.1,514.4,449.8,1504.1,2925.8
AJOXAA_clean_argon_293.0K,212.7,100.1,181.7,230.1,270.4,252.6,838.7,1627.6
AKEDIF_clean_argon_293.0K,212.0,97.8,176.3,226.2,279.3,253.4,743.2,1481.9
AKOBAF_clean_argon_293.0K,404.7,224.2,413.2,501.6,592.0,485.9,1855.7,3304.8
AKOHEO_clean_argon_293.0K,199.3,76.3,116.5,153.6,245.2,234.9,373.5,922.8
AKOXIJ_clean_argon_293.0K,411.8,455.7,510.9,525.2,1326.7,1832.5,4636.9,6412.9
AKUKUO_clean_argon_293.0K,206.1,93.4,181.4,219.3,279.4,256.0,544.6,964.4
ALAHUS_clean_argon_293.0K,338.6,141.0,223.1,294.0,376.9,335.7,897.1,2079.8
ALAMUW_clean_argon_293.0K,142.0,56.1,91.1,116.0,179.7,172.4,295.8,815.4
ALANAD_clean_argon_293.0K,212.8,84.5,135.7,173.4,253.2,233.4,545.3,1522.7
ALEJAE_clean_argon_293.0K,214.6,86.0,132.3,178.9,269.8,244.6,475.3,1439.8
ALEJEI_clean_argon_293.0K,592.7,206.7,249.4,303.6,431.6,424.3,565.2,1514.8
ALEJIM_clean_argon_293.0K,611.4,208.8,252.2,310.2,414.6,475.2,605.9,1552.1
ALEQIT_clean_argon_293.0K,247.7,107.5,187.1,248.0,322.6,297.7,572.1,971.6
ALIBUT_clean_argon_293.0K,503.1,238.0,402.0,529.9,619.7,533.4,1881.3,4458.2
ALICAA_clean_argon_293.0K,508.5,233.1,396.6,493.7,608.2,551.8,1793.7,4235.4
ALIXAU_clean_h_argon_293.0K,223.5,89.1,141.3,188.2,273.0,261.8,434.3,907.7
ALIXOJ_clean_argon_293.0K,197.4,79.9,123.3,164.8,250.4,238.8,432.7,1138.2
ALIXUP_clean_argon_293.0K,212.9,72.4,93.1,118.0,218.0,225.5,283.2,522.4
ALOLES_ion_b_argon_293.0K,237.1,82.9,100.1,120.5,228.0,258.0,317.4,322.3
ALOLIY_clean_argon_293.0K,225.5,80.0,96.5,115.0,214.8,237.1,293.1,393.9
ALONEV_clean_argon_293.0K,512.5,184.6,222.4,261.6,419.8,421.8,478.1,1048.3
ALUJEX_clean_argon_293.0K,227.3,95.3,165.4,214.9,279.2,267.0,608.2,1190.9
