Feature,Importance
5,51.95275340955938
0.01_x,16.936439964430964
0.01_y,14.493342998598155
cm3_g_y,1.4680826778663858
AV_VF_y,1.3432109422465188
AV_cm3_g_y,1.2954988188911671
AV_VF_x,1.2858345671252187
PLD_x,1.1033352143742692
ASA_m2_g_x,0.9322306167494891
LFPD_y,0.8584316153386469
ASA_m2_g_y,0.7975694618418134
cm3_g_x,0.7705172143696046
ASA_m2_cm3_y,0.7255955069997033
AV_cm3_g_x,0.7016242389071388
LCD_x,0.6733653847387178
PLD_y,0.6628677237086636
ASA_m2_cm3_x,0.6258726308117392
LCD_y,0.622077782579483
LFPD_x,0.5977040340138053
Has_OMS_x,0.5534208750234055
NASA_m2_g_y,0.48052902414722337
NASA_m2_g_x,0.4052743552551433
NASA_m2_cm3_y,0.38953578598018357
NASA_m2_cm3_x,0.1930100451729097
Has_OMS_y,0.062401437659279
NAV_cm3_g_y,0.04790866791154688
NAV_cm3_g_x,0.021565005699455683
