iter,n_labeled,n_unlabeled,unc_mean,unc_std,sel_unc_mean,unc_zscore,r2,mae,rmse
0,101,7062,0.014235131,0.0069211377,0.058418527,6.383825028167299,0.8854288914053989,0.2155174,0.37537017
1,131,7032,0.015013075,0.0038039063,0.030421058,4.050557692091503,0.8822233391214891,0.22182855,0.37727502
2,161,7002,0.013503811,0.0031791793,0.024824243,3.5607919973720135,0.9327249658197619,0.19254234,0.28364512
3,191,6972,0.014549443,0.004555909,0.039683197,5.516725662090213,0.9122304423022988,0.21142969,0.32313436
4,221,6942,0.015974216,0.0057230326,0.045965098,5.240373625660849,0.9060027311154955,0.21967,0.33396387
5,251,6912,0.01605919,0.006253191,0.042123936,4.168224705660932,0.9201457268303987,0.20857072,0.30741712
6,281,6882,0.015361409,0.0063077253,0.04440351,4.604203752477794,0.9136921642145802,0.20827897,0.31948754
7,311,6852,0.013254663,0.005300903,0.03296718,3.718702078900761,0.9220698181662214,0.20368093,0.302122
8,341,6822,0.013571646,0.005624202,0.036053073,3.9972579761533185,0.9279418282478041,0.19657622,0.2904239
9,371,6792,0.01327832,0.0054461174,0.032039396,3.4448470911479423,0.9337939973482783,0.18857831,0.2777115
10,401,6762,0.013276875,0.0055853017,0.033686914,3.6542344896821266,0.9383590501800709,0.18371941,0.2680872
11,431,6732,0.0126749845,0.0050824448,0.03216714,3.835185505624635,0.9373288521364178,0.18641733,0.27016523
12,461,6702,0.012475654,0.005093175,0.030401934,3.5196599971910514,0.9416238838162208,0.18002455,0.260797
13,491,6672,0.0122128185,0.004771646,0.03100964,3.9392658679029826,0.9447117893365811,0.17443793,0.25401214
14,521,6642,0.011793597,0.0046601426,0.029811554,3.8663877750619795,0.9459679996033675,0.17215735,0.25082186
