name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
AQIXUU_clean,argon,293.0,0.1,14.0,AQIXUU_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.07819235349999999,0.08584305560000001,3.1236281375,1.7526015149,4.059344085,chunk_1
AQEGUY_clean,argon,293.0,0.1,14.0,AQEGUY_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0706485652,0.1866,2.822268883,1.5835152272,2.3175439687,chunk_1
ASEKAM_clean,argon,293.0,0.1,14.0,ASEKAM_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0402235737,0.0788354167,1.6068513206000001,0.9015702045,1.556671741,chunk_1
AQOTIK_clean,argon,293.0,0.1,14.0,AQOTIK_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.055574869699999994,0.0346354167,2.2201048952,1.2456537819,1.8354211443000001,chunk_1
AQOLOJ_clean,argon,293.0,0.1,14.0,AQOLOJ_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.1217691607,0.44714375,4.8644344334,2.7293310157,2.5070177188,chunk_1
APEBOO_clean,argon,293.0,0.1,14.0,APEBOO_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.5391217291,4.7715625,21.5368348341,12.083861361099999,15.0775625845,chunk_1
ASANAL_clean,argon,293.0,0.1,14.0,ASANAL_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0506607396,0.13072222220000002,2.0237952269,1.1355085895,1.3642267366,chunk_1
ASIVEF_clean,argon,293.0,0.1,14.0,ASIVEF_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0336903451,0.285525,1.345861907,0.7551345785,0.4706421615,chunk_1
ATEJOA_clean,argon,293.0,0.1,14.0,ATEJOA_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.3695890797,0.6236907407,14.764344556600001,8.2839606694,15.7264470669,chunk_1
ATUZEW_clean,argon,293.0,0.1,14.0,ATUZEW_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0726308196,0.4899,2.9014559817000003,1.6279454292,1.5773559856000001,chunk_1
AWUPOZ_clean,argon,293.0,0.1,14.0,AWUPOZ_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0367061471,0.137875,1.4663371631,0.8227306902,0.2907637324,chunk_1
AXINAX_clean,argon,293.0,0.1,14.0,AXINAX_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.035994027799999995,0.2722,1.4378894206000001,0.8067692651,0.3425826029,chunk_1
BETFOX_clean,argon,293.0,0.1,14.0,BETFOX_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0474619894,0.199125,1.8960115516,1.0638118788,1.449217613,chunk_1
ATEZEG_clean,argon,293.0,0.1,14.0,ATEZEG_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0479115717,0.36115,1.9139714663999998,1.0738888062,0.8328682775,chunk_1
AXIGAR_clean,argon,293.0,0.1,14.0,AXIGAR_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.021877928300000002,0.0404375,0.8739794801999999,0.49037135460000003,0.37874100380000003,chunk_1
AVETAY_clean,argon,293.0,0.1,14.0,AVETAY_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0943273148,0.44405,3.7681875703,2.1142501455000002,2.1433230469,chunk_1
BEGDEY_clean,argon,293.0,0.1,14.0,BEGDEY_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.2076759127,1.8330375,8.2962373588,4.6548428697,5.455047615700001,chunk_1
AWEWOP_clean,argon,293.0,0.1,14.0,AWEWOP_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0438176657,0.21495625,1.7504281108000002,0.9821280970999999,1.0904159944,chunk_1
BAKYIY_clean,argon,293.0,0.1,14.0,BAKYIY_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.057622071399999995,0.1159208333,2.3018865083,1.2915397109,1.3411928264,chunk_1
ATEZIK_clean,argon,293.0,0.1,14.0,ATEZIK_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0415190158,0.313925,1.6586016450999999,0.9306062143000001,0.6926379035,chunk_1
BABREE_clean,argon,293.0,0.1,14.0,BABREE_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0403911125,0.2374125,1.6135441633,0.9053254166,0.8130894998999999,chunk_1
BEXVAD_clean,argon,293.0,0.1,14.0,BEXVAD_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.094740101,0.1986375,3.7846775534,2.1235023254,2.9201065876,chunk_1
BADXAI_clean,argon,293.0,0.1,14.0,BADXAI_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0110207423,0.1151083333,0.4402566136,0.2470186507,0.4235932177,chunk_1
BETDOV_clean,argon,293.0,0.1,14.0,BETDOV_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0441471317,0.19621666670000001,1.7635896168,0.9895127390999999,1.339150667,chunk_1
BERQIA_clean,argon,293.0,0.1,14.0,BERQIA_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.10546326449999999,1.2488,4.2130464915,2.3638510535,2.7120788494,chunk_1
BEXTUV_clean,argon,293.0,0.1,14.0,BEXTUV_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0969616405,0.1000981481,3.8734236164999998,2.1732958596,2.8367522157,chunk_1
BEWVEG_clean,argon,293.0,0.1,14.0,BEWVEG_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0331212707,0.0754708333,1.3231285234999999,0.7423793591,0.8220868943999999,chunk_1
BEWCUD_clean,argon,293.0,0.1,14.0,BEWCUD_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.032993588399999996,0.2584,1.3180278705,0.7395174908,0.3523723365,chunk_1
