MOF,. time (s)
VUSKEA_clean_argon_273.0K_0.5bar_14.,110.4
YIWNOH_clean_argon_273.0K_0.5bar_14.,120.0
WABVIF01_clean_argon_273.0K_0.5bar_14.,147.3
cm503311x_alf450K_clean_argon_273.0K_0.5bar_14.,168.2
CUTBOK_clean_argon_273.0K_0.5bar_14.,168.3
XUZFUU_clean_argon_273.0K_0.5bar_14.,169.3
REXFUX_clean_argon_273.0K_0.5bar_14.,177.9
KOSLEL_clean_argon_273.0K_0.5bar_14.,194.5
WOMFIO_charged_argon_273.0K_0.5bar_14.,207.1
QADKAH_clean_argon_273.0K_0.5bar_14.,226.4
SEFWAD_clean_argon_273.0K_0.5bar_14.,245.7
OHEMIX_clean_argon_273.0K_0.5bar_14.,252.4
LAMGUB_clean_argon_273.0K_0.5bar_14.,252.4
SEFTUU_clean_argon_273.0K_0.5bar_14.,254.6
UZAROE_clean_argon_273.0K_0.5bar_14.,266.3
TINFIH_clean_argon_273.0K_0.5bar_14.,164.2
jz4002345_si_004_clean_argon_273.0K_0.5bar_14.,275.5
ZASTUK_clean_argon_273.0K_0.5bar_14.,288.9
WEMYEU_clean_argon_273.0K_0.5bar_14.,312.9
YUBHAG_clean_argon_273.0K_0.5bar_14.,193.1
ONIXOZ_clean_argon_273.0K_0.5bar_14.,317.1
XUVGUQ01_ion_b_argon_273.0K_0.5bar_14.,338.8
OBAFIJ_clean_argon_273.0K_0.5bar_14.,191.7
WENKIL_manual_argon_273.0K_0.5bar_14.,370.2
ADODII_clean_argon_273.0K_0.5bar_14.,221.5
LAFFEG_clean_argon_273.0K_0.5bar_14.,442.0
OCAWAT_clean_argon_273.0K_0.5bar_14.,447.0
SOBZOY_clean_argon_273.0K_0.5bar_14.,131.3
VIPZAX_clean_argon_273.0K_0.5bar_14.,285.4
VEQCEA_charged_argon_273.0K_0.5bar_14.,483.1
RUWWOW_clean_argon_273.0K_0.5bar_14.,251.2
VICYUD_clean_argon_273.0K_0.5bar_14.,523.0
POLNAG_clean_argon_273.0K_0.5bar_14.,254.0
GOSDEZ_clean_argon_273.0K_0.5bar_14.,286.5
VUQJUN_clean_argon_273.0K_0.5bar_14.,293.8
LIKGUJ_clean_argon_273.0K_0.5bar_14.,326.0
MUTDEM_clean_argon_273.0K_0.5bar_14.,257.1
REXDAB_clean_argon_273.0K_0.5bar_14.,238.0
QOJKAB_clean_argon_273.0K_0.5bar_14.,163.1
SEHSOO_clean_argon_273.0K_0.5bar_14.,161.9
QOFDIA03_clean_argon_273.0K_0.5bar_14.,618.3
VAKBIU_clean_argon_273.0K_0.5bar_14.,432.9
HAJMAH_clean_argon_273.0K_0.5bar_14.,374.8
IXEDUK_charged_argon_273.0K_0.5bar_14.,576.9
VAQSEO_clean_argon_273.0K_0.5bar_14.,468.2
BAXGAK_clean_argon_273.0K_0.5bar_14.,336.7
IFEQAN_SL_argon_273.0K_0.5bar_14.,617.0
PENYOX_clean_argon_273.0K_0.5bar_14.,484.7
KIFKEQ_clean_argon_273.0K_0.5bar_14.,342.6
UMODEH02_clean_argon_273.0K_0.5bar_14.,303.2
OKAYIK_clean_argon_273.0K_0.5bar_14.,885.3
ADAVIM_clean_argon_273.0K_0.5bar_14.,643.6
IKUTUF_clean_argon_273.0K_0.5bar_14.,463.6
SOTTUR_clean_argon_273.0K_0.5bar_14.,267.7
DOMGET_clean_argon_273.0K_0.5bar_14.,611.8
DOTFID_clean_argon_273.0K_0.5bar_14.,609.0
VOCQEJ_clean_argon_273.0K_0.5bar_14.,285.0
ALOLOD_charged_argon_273.0K_0.5bar_14.,799.3
KEGZOL04_clean_argon_273.0K_0.5bar_14.,126.7
VUKROK_clean_argon_273.0K_0.5bar_14.,228.7
XALBOC_clean_argon_273.0K_0.5bar_14.,789.9
FILYAC_clean_argon_273.0K_0.5bar_14.,265.3
SUFJIO_clean_argon_273.0K_0.5bar_14.,722.3
MUVHAN_clean_argon_273.0K_0.5bar_14.,230.2
TANMIH_clean_argon_273.0K_0.5bar_14.,415.5
c5ce00010f_c5ce00010f2_clean_argon_273.0K_0.5bar_14.,817.2
NUDLAA_clean_argon_273.0K_0.5bar_14.,911.4
YIWLUL_clean_argon_273.0K_0.5bar_14.,110.8
XISKUF_clean_argon_273.0K_0.5bar_14.,850.1
HAPVAX_clean_argon_273.0K_0.5bar_14.,195.9
OSAXAI_clean_argon_273.0K_0.5bar_14.,395.1
ZIWMEZ_clean_argon_273.0K_0.5bar_14.,302.6
SUNLET_clean_argon_273.0K_0.5bar_14.,880.1
cg500175k_si_001_auto_argon_273.0K_0.5bar_14.,285.2
FUVDEH12_clean_argon_273.0K_0.5bar_14.,764.3
NIBHOW_clean_argon_273.0K_0.5bar_14.,138.7
VONCIM_clean_argon_273.0K_0.5bar_14.,314.9
RAXYOF_clean_argon_273.0K_0.5bar_14.,343.1
MEFJOY_clean_argon_273.0K_0.5bar_14.,497.2
WOPDEL_clean_argon_273.0K_0.5bar_14.,416.6
CAMROA_clean_argon_273.0K_0.5bar_14.,265.7
ic5030058_si_002_clean_argon_273.0K_0.5bar_14.,10561.1
MOBBAI_clean_argon_273.0K_0.5bar_14.,10148.9
ZAZNUL_clean_argon_273.0K_0.5bar_14.,26310.8
LAFRAN01_clean_argon_273.0K_0.5bar_14.,42520.5
RIVDIL_clean_argon_273.0K_0.5bar_14.,46041.0
RIVDEH_clean_argon_273.0K_0.5bar_14.,45531.3
