Feature,Importance
5,58.213318793889314
0.01_x,16.0904472169724
0.01_y,14.221066792428033
ASA_m2_cm3_y,1.313417521831513
AV_VF_x,1.1208595364414902
AV_cm3_g_y,1.1174337837911592
cm3_g_x,0.9168932420566469
AV_VF_y,0.8567064844763898
LFPD_y,0.6539756530950275
LFPD_x,0.6407970634153811
cm3_g_y,0.631912115136972
PLD_x,0.5322426184929483
ASA_m2_g_y,0.42857276455529464
LCD_y,0.41434314006055056
ASA_m2_cm3_x,0.39697893279023194
LCD_x,0.344726443916196
AV_cm3_g_x,0.33711238694305085
NASA_m2_cm3_y,0.33624558739113597
ASA_m2_g_x,0.27764218973676236
Has_OMS_x,0.2748323018111427
PLD_y,0.26395570547726566
Has_OMS_y,0.19409577595485802
NASA_m2_g_y,0.12432869147134827
NASA_m2_g_x,0.11366370795564362
NASA_m2_cm3_x,0.09655999351173022
NAV_cm3_g_y,0.06652629728550609
NAV_cm3_g_x,0.021345259112024645
