Feature,Importance
5,62.75588006097399
0.01_y,14.081005386452242
0.01_x,10.421010985617754
PLD_y,0.9806374854766011
ASA_m2_cm3_x,0.9498731767992024
cm3_g_x,0.9433609398793269
ASA_m2_cm3_y,0.8766170726385832
AV_cm3_g_x,0.8378743670813271
AV_cm3_g_y,0.8295787334585075
ASA_m2_g_y,0.7125496838263177
LFPD_y,0.6812171088498737
LCD_y,0.6600348724833875
PLD_x,0.6433588340368865
AV_VF_y,0.6242937487817869
LCD_x,0.5918364564878182
LFPD_x,0.4582398046135678
Has_OMS_x,0.4390572531487775
AV_VF_x,0.42755263505729824
ASA_m2_g_x,0.41824674680879437
cm3_g_y,0.4068301961323157
NASA_m2_g_x,0.3304746848770364
Has_OMS_y,0.2986593813988468
NASA_m2_cm3_y,0.22557973258987132
NASA_m2_g_y,0.2163477980814278
NASA_m2_cm3_x,0.09651703462895066
NAV_cm3_g_y,0.07460708911956451
NAV_cm3_g_x,0.018758730699925688
