Feature,Importance
5,63.4511099040487
0.01_x,14.907958956169196
0.01_y,12.942296923067822
cm3_g_x,1.069735066612872
ASA_m2_g_y,0.8397079471472798
LCD_x,0.7157879555719064
ASA_m2_cm3_x,0.6426971897135725
LCD_y,0.5658915276271659
LFPD_y,0.5535362144072253
cm3_g_y,0.46293510967613327
AV_VF_y,0.4335838641699784
ASA_m2_g_x,0.36523382563281587
NASA_m2_cm3_x,0.36508846914577553
ASA_m2_cm3_y,0.31977567650360705
PLD_y,0.3194744747681129
AV_cm3_g_x,0.2992942168848569
LFPD_x,0.2788503508313372
PLD_x,0.2618214146814453
Has_OMS_x,0.23696656867051738
NASA_m2_cm3_y,0.20037085254036463
NASA_m2_g_x,0.19525895697243761
AV_VF_x,0.18910777144871702
AV_cm3_g_y,0.18035802781073343
NASA_m2_g_y,0.12653790474706125
NAV_cm3_g_y,0.037555420027146194
Has_OMS_y,0.021482607104148843
NAV_cm3_g_x,0.017582804019079436
