filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,HENRY,0.01,0.05,0.1,0.5,1,5,15
EDUVUU_clean,9.45386,7.53326,9.45386,0.697727,2422.85,3472.49,0.0,0.0,0.7852,1.12537,0.0,0,4.29213e-06,0.0041721139,0.0214626062,0.0426843977,0.2139698418,0.4274490237,,
FILYAC_clean,5.64031,4.94176,5.6321,1.25304,1576.38,1258.04,0.0,0.0,0.554,0.442124,0.0,1,6.60878e-06,0.0065999909,0.0328962984,0.0650621438,0.3184046181,0.6166513253,,
FUVDEH12_clean,6.7205,5.84346,6.7205,1.66278,490.525,295.002,0.0,0.0,0.372,0.223721,0.0,0,4.09499e-06,0.0043073329,0.0204486776,0.0405660219,0.1959298108,0.3663511217,,
HANKEO_clean,11.34776,6.98857,11.34776,0.9577,2357.89,2462.03,22.5937,23.5917,0.6972,0.727994,0.0,1,5.53612e-06,0.0055925897,0.0273292924,,0.2639292593,0.5054067366,,
HOVQUG_clean,4.17086,3.66339,4.17086,1.64186,726.593,442.541,0.0,0.0,0.4718,0.287356,0.0,1,1.77275e-05,0.01720548,0.0874195733,0.1699363258,0.7249470297,1.2509455772,,
ic5030058_si_002_clean,14.04477,6.79741,14.04477,2.16851,1135.9,523.815,416.058,191.863,0.6208,0.286279,0.0,0,0.0225443,1.7856268983,2.9946619936,,4.9615878821,5.5780561076,,
IMUKUW_clean,12.16588,7.54473,12.16588,0.600216,2227.49,3711.14,0.0,0.0,0.759,1.26454,0.0,1,3.90638e-06,0.0038964932,0.0194503748,0.039021868,0.1947729,0.38113894,,
KONCIB_clean,6.10125,4.4885,6.10125,2.11606,1211.94,572.736,0.0,0.0,0.4754,0.224663,0.0,0,0.00019309,0.1726368136,0.6018748173,0.9561559245,2.0934963066,2.5905989477,,
MIZZOM_clean,5.03531,4.09966,5.03367,2.18659,1164.0,532.335,0.0,0.0,0.477,0.218148,0.0,0,0.0087261,2.9435473273,4.1046450774,,4.8250596601,4.9405071039,,
MOBBAI_clean,5.74067,4.27759,5.73555,2.27479,1951.23,857.763,0.0,0.0,0.535,0.235186,0.0,0,0.0161682,4.1820962184,5.2924249343,,6.0628829206,6.2198891101,,
PENYOX_clean,4.58191,3.69127,4.58191,2.05639,514.83,250.357,84.4264,41.0557,0.4242,0.206284,0.0,1,2.77232e-05,0.0271322024,0.1255337083,0.2439261704,0.7646108262,1.1113573425,,
QAJJOD_clean,12.20979,6.10496,12.20979,1.14685,1766.96,1540.71,0.0,0.0,0.6092,0.531194,0.000174391,0,3.19429e-05,0.0327675919,0.1532147807,0.2921166578,1.1797695329,1.9256509524,,
RUBTAK05_clean,8.72137,3.8551,8.72137,1.62254,1653.9,1019.33,0.0,0.0,0.5676,0.349822,0.000123264,0,1.32707e-05,0.0131116582,0.0657396209,0.1266370879,0.5520714784,0.9996954904,,
TURBUE_clean,11.84396,5.52264,10.5666,3.09865,733.123,236.594,594.714,191.927,0.5488,0.177109,0.0,1,4.10901e-05,0.0401009327,0.1668410907,0.2908776672,0.7675240537,1.0271376771,,
UHOHEG_clean,4.68817,3.47721,4.68817,1.82306,575.778,315.83,0.0,0.0,0.3866,0.212061,0.0,0,5.50421e-05,0.053786347,0.2451770743,0.442538072,1.3426204537,1.8088524548,,
VUJBOS_clean,20.8835,7.6595,20.8835,0.516112,2139.35,4145.12,0.0,0.0,0.8006,1.55121,0.0,1,5.02758e-06,0.0050180072,0.0249066989,0.0508210734,0.2490493343,0.4890390946,,
XOPVOO_clean,4.09166,3.62442,4.09166,3.20829,862.369,268.794,0.0,0.0,0.381,0.118755,0.0,0,35.5886,3.458656086,3.551352848,3.5865778031,3.6651278135,3.6947322753,,
ZACHET_clean,18.23633,8.4528,17.32252,0.540764,2067.08,3822.52,0.0,0.0,0.8084,1.49492,0.0,1,4.17198e-06,0.0040800834,0.0209005697,0.0416479806,0.2009007339,0.4030728101,,
ABEXIQ_clean,4.80529,4.06893,4.80529,1.7876,954.695,534.065,11.1491,6.2369,0.4776,0.267174,0.0,1,3.45355e-06,0.0034899038,0.0171659643,0.0344895691,0.1669938793,0.3106034202,,
ACIBIY_clean,5.10081,3.73403,5.09695,1.73515,912.456,525.866,0.0,0.0,0.4594,0.264761,0.0,0,3.10675e-06,0.0031023593,0.0156376622,0.0306623112,0.1491008785,0.2809558094,,
ADAVIM_clean,10.34557,8.90065,10.34557,0.637582,2355.11,3693.81,0.0,0.0,0.727,1.14025,0.0,1,3.84996e-06,0.0037256549,0.019390517,0.0384106075,0.1901552089,0.3725479887,,
ADODII_clean,5.97541,5.30365,5.62846,1.21661,1091.8,897.412,0.0,0.0,0.5394,0.443361,0.0,0,7.52857e-06,0.0074247469,0.0376426143,0.0740293887,0.3421249159,0.6373701505,,
ALOLOD_charged,7.87306,5.02701,7.86695,0.898447,1801.13,2004.72,5.88259,6.54751,0.6338,0.70544,0.0,0,6.56745e-06,0.0066157235,0.0334867659,,0.3142621858,0.5843644719,,
BALPAH_clean,5.85023,3.45925,5.40262,1.81974,608.898,334.607,332.251,182.582,0.504,0.276963,0.0,1,1.56253e-06,0.001530556,0.0078029419,0.0153923725,0.0746253595,0.1410297485,,
BAXGAK_clean,4.01414,3.50024,4.01414,1.30644,545.181,417.302,0.0,0.0,0.4712,0.360674,0.0,0,7.41554e-06,0.0074814611,0.0373773798,0.0715940204,0.3553808039,0.676080404,,
BEKYOG_clean,5.47883,4.56338,5.47883,2.08888,949.704,454.647,0.0,0.0,0.4514,0.216096,0.0,1,1.72624e-06,0.001713868,0.0084753631,0.0171057397,0.0844348844,0.1629356582,,
BODPAN_clean,13.14982,6.66414,13.13307,0.888078,2105.25,2370.57,0.0,0.0,0.7242,0.815469,0.0,1,7.6466e-06,0.0076533513,0.0376177293,,0.3335966069,0.6099348321,,
c5ce00010f_c5ce00010f2_clean,6.25876,3.82372,5.50534,1.19183,724.15,607.595,429.773,360.599,0.5406,0.453588,0.0,1,3.02521e-06,0.0030143878,0.0150600648,0.0301735642,0.1464955168,0.282627273,,
c6ce00407e_c6ce00407e5_clean,63.59368,29.48381,63.52961,0.0569197,473.468,8318.18,0.0,0.0,0.969,17.024,0.0,0,9.92014e-06,0.0099190265,0.0496212939,0.1001948562,0.487203015,0.968897785,,
