Feature,Importance
5,16.197299208317123
cm3_g_x,7.656995365954861
cm3_g_y,7.614235483769613
0.01,6.466413447058798
PLD_y,5.805784288252238
PLD_x,5.523275993160486
ASA_m2_g_y,4.6120201213617245
Has_OMS_x,4.428115317854387
AV_cm3_g_y,4.335540533648308
AV_cm3_g_x,4.315665464627136
LCD_x,4.313468512114252
LFPD_x,4.003547004292736
ASA_m2_cm3_y,3.272315029459343
Has_OMS_y,3.240936090137529
ASA_m2_g_x,3.1000423874005185
AV_VF_y,2.7749478819910336
AV_VF_x,2.7036033479337314
LCD_y,2.596377154356102
ASA_m2_cm3_x,2.5432601406087767
LFPD_y,2.4208170735861136
NASA_m2_cm3_y,0.6773895767598911
NASA_m2_cm3_x,0.6447368078147576
NASA_m2_g_y,0.584961391773377
NASA_m2_g_x,0.15609763747772595
NAV_cm3_g_x,0.007388046454602576
NAV_cm3_g_y,0.004766693834821968
