name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
ATUXIY_clean,argon,313.0,5.0,14.0,ATUXIY_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.3694996156,6.5646,54.7087706428,30.6959311698,47.8984037885,chunk_1
APAZOI_clean,argon,313.0,5.0,14.0,APAZOI_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.4430633566,4.87315,57.6474949704,32.3447870776,37.0825393216,chunk_1
WEXSEZ_clean,argon,313.0,5.0,14.0,WEXSEZ_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.65643947,10.2743625,66.171443949,37.1273941087,37.8747403061,chunk_1
EZIMIK_clean,argon,313.0,5.0,14.0,EZIMIK_clean_argon_313.0K_5.0bar_14.0/Output/System_0,2.5332110167,17.9053125,101.1967136939,56.7793302912,60.6725997102,chunk_1
RAHPAT_clean,argon,313.0,5.0,14.0,RAHPAT_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.7561602926,60.60745,70.1550913676,39.3625342066,28.121997915,chunk_1
LIXXEW_clean,argon,313.0,5.0,14.0,LIXXEW_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.6992940327,2.1840574074,67.8833980188,38.0879352372,60.7222779921,chunk_1
AQOLEZ_clean,argon,313.0,5.0,14.0,AQOLEZ_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.3976444899,4.2818375,55.8331020831,31.3267697007,24.3479422315,chunk_1
DANZOJ_neutral,argon,313.0,5.0,14.0,DANZOJ_neutral_argon_313.0K_5.0bar_14.0/Output/System_0,1.1628611566,3.13993125,46.4539774842,26.064341762,24.8445202167,chunk_1
ULOKUD_clean,argon,313.0,5.0,14.0,ULOKUD_clean_argon_313.0K_5.0bar_14.0/Output/System_0,0.6124686481,9.618325,24.4668975552,13.7278574252,21.9447688219,chunk_1
PARSAF_clean,argon,313.0,5.0,14.0,PARSAF_clean_argon_313.0K_5.0bar_14.0/Output/System_0,2.0789479304,13.6410375,83.0498119238,46.5974884926,54.9463899724,chunk_1
AVIHOE_clean,argon,313.0,5.0,14.0,AVIHOE_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.0275033423,1.545575,41.0467035186,23.0304349951,38.294161275,chunk_1
FEWXEM_clean,argon,313.0,5.0,14.0,FEWXEM_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.48905904,24.1799,59.4849305283,33.3757332084,16.1447869352,chunk_1
FISGOF_clean,argon,313.0,5.0,14.0,FISGOF_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.2358644418,2.33400625,49.3703127219,27.7006356263,12.0250358871,chunk_1
OGOJAX_clean,argon,313.0,5.0,14.0,OGOJAX_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.1158634798,9.26025,44.5765142913,25.010936974,17.6844881619,chunk_1
LUDTUZ_clean,argon,313.0,5.0,14.0,LUDTUZ_clean_argon_313.0K_5.0bar_14.0/Output/System_0,0.679234884,12.401425,27.1340751474,15.2243542177,28.4629709354,chunk_1
ETIYEN_clean,argon,313.0,5.0,14.0,ETIYEN_clean_argon_313.0K_5.0bar_14.0/Output/System_0,2.3045950212,5.128025,92.063961906,51.6551369127,75.6024064401,chunk_1
RANVUA_clean,argon,313.0,5.0,14.0,RANVUA_clean_argon_313.0K_5.0bar_14.0/Output/System_0,2.8233233303,13.39459375,112.7861203996,63.2819006534,53.8788205248,chunk_1
HIQKID_clean,argon,313.0,5.0,14.0,HIQKID_clean_argon_313.0K_5.0bar_14.0/Output/System_0,0.5306512612,2.5115583333,21.1984565823,11.8940044989,32.752091475,chunk_1
BAPDAA_clean,argon,313.0,5.0,14.0,BAPDAA_clean_argon_313.0K_5.0bar_14.0/Output/System_0,0.6961008106,2.624503125,27.8078351803,15.6023866858,21.5535489977,chunk_1
ADAXIO_clean,argon,313.0,5.0,14.0,ADAXIO_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.1483525378,2.9135083333,45.8743871784,25.739145931,32.9617409955,chunk_1
BABREE_clean,argon,313.0,5.0,14.0,BABREE_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.2646397149,7.43335,50.51982733,28.3456038988,25.4577110901,chunk_1
PENNIH_clean,argon,313.0,5.0,14.0,PENNIH_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.1153745731,6.89196875,44.5569834461,24.9999786309,27.0949412955,chunk_1
GANBED_clean,argon,313.0,5.0,14.0,GANBED_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.6979473361,8.52669375,67.8296001819,38.0577504117,35.3342664536,chunk_1
OTOZAA_clean,argon,313.0,5.0,14.0,OTOZAA_clean_argon_313.0K_5.0bar_14.0/Output/System_0,2.6425857675,4.9887,105.5660162411,59.2308533042,56.0242081337,chunk_1
YEGHEZ_clean,argon,313.0,5.0,14.0,YEGHEZ_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.8005822567,2.356071875,71.9296599888,40.3582070322,48.9768205379,chunk_1
ATEZEG_clean,argon,313.0,5.0,14.0,ATEZEG_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.5559586379,11.728575,62.1574356679,34.8752191748,27.0479248462,chunk_1
ASAHEJ_clean,argon,313.0,5.0,14.0,ASAHEJ_clean_argon_313.0K_5.0bar_14.0/Output/System_0,0.2506102572,0.973696875,10.011378553,5.6171722261,11.8125937251,chunk_1
OKUKEM_clean,argon,313.0,5.0,14.0,OKUKEM_clean_argon_313.0K_5.0bar_14.0/Output/System_0,1.8648076395,43.3707,74.4953355821,41.7977532053,30.196586649,chunk_1
