Feature,Importance
5,56.182544055450066
0.01_x,20.216754111079425
0.01_y,11.146684194308236
ASA_m2_cm3_y,1.5503427378163666
cm3_g_x,1.0154194700638788
AV_cm3_g_x,0.9479528973038024
LCD_y,0.8313991339495257
LFPD_y,0.699598379184053
AV_cm3_g_y,0.6924395300289996
ASA_m2_g_y,0.6841855798432823
AV_VF_y,0.6314524856290756
PLD_x,0.6251040129271435
ASA_m2_cm3_x,0.6161466093231363
AV_VF_x,0.4999652503259519
PLD_y,0.4636604482227654
NASA_m2_g_x,0.46271707986062605
ASA_m2_g_x,0.4455113535632812
LFPD_x,0.3687307631726656
Has_OMS_y,0.3472390979733176
LCD_x,0.3402567603630895
cm3_g_y,0.3329509038580343
NASA_m2_cm3_x,0.2859535268774628
Has_OMS_x,0.23328701858264222
NASA_m2_cm3_y,0.13348364537143598
NAV_cm3_g_y,0.1020782281577001
NASA_m2_g_y,0.0922358125417869
NAV_cm3_g_x,0.05190691422228345
