Feature,Importance
5,67.4176983616526
0.01_y,12.297536286128329
0.01_x,11.450651963929129
AV_cm3_g_y,1.1544185190630432
ASA_m2_cm3_y,0.6777962731846621
AV_VF_y,0.6734206372826347
AV_VF_x,0.6636434575510937
LFPD_y,0.6569268259760472
ASA_m2_cm3_x,0.612632838845208
cm3_g_x,0.5102710258408996
PLD_x,0.4208920848106552
LFPD_x,0.41842463448368716
ASA_m2_g_y,0.39805363216756445
NASA_m2_cm3_y,0.34693529693317704
cm3_g_y,0.32294160620592016
LCD_x,0.31739422120764266
AV_cm3_g_x,0.30687132964619246
NASA_m2_g_x,0.29414938333586516
PLD_y,0.19554117693205203
NASA_m2_cm3_x,0.16209302907543754
LCD_y,0.16092031222439773
Has_OMS_x,0.16044457924393724
ASA_m2_g_x,0.15990903913664112
NASA_m2_g_y,0.1508529607171135
NAV_cm3_g_y,0.040786450513656106
Has_OMS_y,0.015132762736043241
NAV_cm3_g_x,0.013661311176396719
