Feature,Importance
5,68.02516068372545
0.01_y,12.776537685010577
0.01_x,11.295368211580566
AV_cm3_g_y,0.8320801763993975
ASA_m2_cm3_y,0.7894076222926343
AV_VF_y,0.6868422025215094
AV_VF_x,0.6085610585211262
cm3_g_x,0.5289676706098798
ASA_m2_g_x,0.4780873393192405
PLD_x,0.4542043298070507
LFPD_y,0.4106557486353465
ASA_m2_cm3_x,0.3468475531508686
cm3_g_y,0.3379793503317629
LFPD_x,0.3374621010674257
ASA_m2_g_y,0.3260682629824981
LCD_y,0.30230153222093736
PLD_y,0.26542596463068513
Has_OMS_x,0.25421896366867475
LCD_x,0.2364874921030157
AV_cm3_g_x,0.2219165471095588
NASA_m2_cm3_y,0.17444921914752073
NAV_cm3_g_y,0.07934346178127145
NASA_m2_g_x,0.07286627458424473
NASA_m2_cm3_x,0.06862279506928343
Has_OMS_y,0.051625079201569474
NASA_m2_g_y,0.02125071714798386
NAV_cm3_g_x,0.017261957379903266
