train_ratio,qt_frac,seed,R2,MAE,RMSE,MAPE(%)
0.05,0.0,2025,0.9219165761189516,0.25415779488779267,0.14816263231980062,10.328747013805643
0.05,0.0,2026,0.9265341816650584,0.24470188628242967,0.1396665183141641,9.993708726137742
0.05,0.0,2027,0.9108919860720465,0.2629728095908632,0.1708284034158783,9.942466734969075
0.05,0.0,2028,0.9244041326087566,0.26024137192286084,0.14403391402628687,11.144420056443078
0.05,0.0,2029,0.9195180490289704,0.2577356322408255,0.1539208681808036,11.041176786704082
0.05,0.03,2025,0.9388793004837013,0.2289387937307697,0.11422721244941837,8.697546741641842
0.05,0.03,2026,0.9293964552189257,0.245008510458311,0.13326886824579717,9.314978203485877
0.05,0.03,2027,0.9240608517050066,0.2558123438619252,0.14259361680424765,9.817385703366185
0.05,0.03,2028,0.9220522029154867,0.25366831016090424,0.14758460538848175,9.606915972492178
0.05,0.03,2029,0.9317262770100352,0.23670379080407022,0.12827875210535858,8.679903012818485
0.05,0.05,2025,0.9307644658549329,0.24561014922698626,0.12873365463612021,8.943389257420534
0.05,0.05,2026,0.9351147127729175,0.24165146563266948,0.12138245256388057,9.200969838248946
0.05,0.05,2027,0.928286509863701,0.24540858758187148,0.13436344428274416,9.166551119636724
0.05,0.05,2028,0.9225932002103933,0.2494260704761675,0.14516518003008141,8.638611036928548
0.05,0.05,2029,0.9201123472168045,0.25904413257733444,0.14940388796604323,9.756222265304887
0.1,0.0,2025,0.9372900833159098,0.22395480023113257,0.1187018359601628,8.240170351598396
0.1,0.0,2026,0.9454782808182077,0.21277200758675108,0.10438557465076917,8.166153436050887
0.1,0.0,2027,0.9390827955654688,0.21722489415074284,0.11602935469620079,8.391295616864046
0.1,0.0,2028,0.9428925562022512,0.21586230967611245,0.10971722404357068,8.241308914492935
0.1,0.0,2029,0.9378929538700188,0.22641103239664656,0.11805814153918492,9.478045059984316
0.1,0.05,2025,0.9455794093984429,0.21619665321092715,0.10040530497233428,7.723318030507732
0.1,0.05,2026,0.9465568349580051,0.21041043035929594,0.10023752077841697,7.707838632953876
0.1,0.05,2027,0.9444243028049271,0.21427253956301898,0.10410534698484974,7.716700557024707
0.1,0.05,2028,0.9430556825031503,0.21176745637693695,0.10742448648085384,7.5354374181316075
0.1,0.05,2029,0.9420093180942449,0.21611058659244745,0.10840764858449119,7.95400314742044
0.1,0.1,2025,0.9397014854233007,0.2199596561633978,0.11073630827167695,7.697982411251607
0.1,0.1,2026,0.9391722411246932,0.21680911081648158,0.11194179588808179,7.6449881187725195
0.1,0.1,2027,0.940806955408564,0.2139308336159298,0.1085605312386039,7.401742003672364
0.1,0.1,2028,0.9433427058607816,0.2128107820474304,0.10321214405575464,7.60383266306639
0.1,0.1,2029,0.942917795591072,0.21003576479877442,0.10400133958891228,7.546394563074223
0.15,0.0,2025,0.9539156324432534,0.20017859301790636,0.08715479263822581,7.672043083676458
0.15,0.0,2026,0.951152396277571,0.19915903883292668,0.09210559220233511,7.594688588226245
0.15,0.0,2027,0.9487507228179289,0.20645819620621386,0.09856234734182086,8.024106040906812
0.15,0.0,2028,0.9464794072394942,0.20867108776080803,0.10159219758078533,7.7743066114494415
0.15,0.0,2029,0.9418845612971549,0.2114220045229054,0.11137671349802825,7.827612097311495
0.15,0.07,2025,0.9485183354919562,0.19933249371394357,0.09606661433788177,6.903016217476809
0.15,0.07,2026,0.9477298728959168,0.2029861963738425,0.09631862645266273,7.1330565203404435
0.15,0.07,2027,0.9500253427488339,0.19901744720392844,0.09241473864468767,7.004853578340921
0.15,0.07,2028,0.9496438699774331,0.19854812963577412,0.0932037436584932,7.1035373991169175
0.15,0.07,2029,0.9483863342416882,0.20291653524652783,0.09582707751688192,7.2087164340011185
0.15,0.15,2025,0.9480621402248186,0.19998631709909195,0.091883024171627,7.007621357626624
0.15,0.15,2026,0.9477514850413662,0.20175417503507118,0.09361067799968405,6.837008582836961
0.15,0.15,2027,0.9483512711946098,0.19690344821776773,0.09121627802159202,6.714837898476064
0.15,0.15,2028,0.9463680209236014,0.20240002696230372,0.09593697812650055,6.794460678339832
0.15,0.15,2029,0.9441624192075332,0.20409577621784936,0.09990053509047053,7.003217832485591
0.2,0.0,2025,0.9524492192618995,0.19489156424102858,0.08989715893856785,6.912680613897503
0.2,0.0,2026,0.9513912153447585,0.1944989332827657,0.09320376484163338,7.232122300410977
0.2,0.0,2027,0.9544879428283769,0.1917364694340921,0.08791159859885773,7.046596899607309
0.2,0.0,2028,0.9524556804406356,0.19255198331922774,0.09088537313657556,7.224223256315235
0.2,0.0,2029,0.948285947638343,0.19918586678641637,0.09940410975812881,7.309385163562683
0.2,0.1,2025,0.952633827368568,0.19167667619351642,0.0870535906354487,6.701784739090716
0.2,0.1,2026,0.9548651848335575,0.18755124442465873,0.08238389374824222,6.537570017389006
0.2,0.1,2027,0.9523986066269019,0.18877387826622666,0.08797324207700914,6.483237724323608
0.2,0.1,2028,0.9538977703704563,0.1909382107860581,0.08464384908552414,6.70697533214676
0.2,0.1,2029,0.9525031067914408,0.18921027685740985,0.0867137316475998,6.673507820583717
0.2,0.2,2025,0.9516232032754635,0.19260519307915178,0.08443280307188256,6.53346481769699
0.2,0.2,2026,0.9514850460125075,0.1897488400996013,0.08433131736810641,6.325082506358958
0.2,0.2,2027,0.9496579863723524,0.19130895708315118,0.08871184656406945,6.399293961956609
0.2,0.2,2028,0.9522251529923651,0.19097126882819956,0.08377963295482313,6.508625702324881
0.2,0.2,2029,0.9487725087649842,0.19408690951067292,0.08878880178212717,6.5817402242614955
0.25,0.0,2025,0.9563921475096494,0.1854245594882137,0.08386074493806076,6.791440902343537
0.25,0.0,2026,0.954665642168082,0.18695801822472236,0.08621689827794728,7.013457100093386
0.25,0.0,2027,0.9582339867139898,0.18448462792991013,0.08056404404679503,6.76613530119437
0.25,0.0,2028,0.9596577729786189,0.1850427653972145,0.07707353752818859,6.649941309276879
0.25,0.0,2029,0.9527000161109862,0.18932612831030596,0.08955887544991016,6.940990465154758
0.25,0.12,2025,0.9566577903449809,0.18300079440170597,0.07913654654051455,6.2805518490229
0.25,0.12,2026,0.9519421445874662,0.18526072866666837,0.08568221158199528,6.380623787932792
0.25,0.12,2027,0.9603435584513722,0.1841152957418137,0.07172126221005112,6.345316843415919
0.25,0.12,2028,0.9544487996476776,0.18422431589059562,0.08240502466385421,6.40901292036298
0.25,0.12,2029,0.9539155017423618,0.18592815178724742,0.08359159652639936,6.380364889980611
0.25,0.25,2025,0.951497867403567,0.1853099005526936,0.08281973094467286,6.107924991180705
0.25,0.25,2026,0.9531343743120688,0.18456845520693435,0.08008498174367243,6.182505464566209
0.25,0.25,2027,0.959739560704972,0.1826350969551861,0.06802297644939677,6.236595753693766
0.25,0.25,2028,0.9510307248551705,0.189046441690207,0.0833597305313038,6.292797697288449
0.25,0.25,2029,0.9540972047235393,0.18380316295817478,0.07785077585271064,6.152311903302011
0.3,0.0,2025,0.9571897988824221,0.17928603270757643,0.08138306617033936,6.419587653616417
0.3,0.0,2026,0.9555887430582706,0.18399705124214868,0.08511511955869326,6.375878106924304
0.3,0.0,2027,0.9564574904954839,0.18486274679242762,0.08394202405839567,6.8542303499703126
0.3,0.0,2028,0.9559137893360337,0.18573386709901596,0.08550277305566113,6.7265712744275525
0.3,0.0,2029,0.9565949246122126,0.1821480170126634,0.08323181169677886,6.480433653778431
0.3,0.15,2025,0.9620843429493146,0.17816111186197325,0.0677583082741907,6.168665647598223
0.3,0.15,2026,0.9568223407458551,0.181794468309177,0.07756863770360002,6.279885384079662
