,,R2,R2,MAE,MAE,RMSE,RMSE,MAPE(%),MAPE(%)
,,mean,std,mean,std,mean,std,mean,std
train_ratio,qt_frac,,,,,,,,
0.05,0.0,0.9206529850987566,0.006058494549834866,0.2559618989849544,0.007082647165215047,0.1513224672513867,0.012105803810366548,10.490103863611925,0.5709994826884689
0.05,0.03,0.9292230174666312,0.006663496217803248,0.2440263498031961,0.0113368416410696,0.1331906109986607,0.013032138726969834,9.223345926760913,0.5196635195237977
0.05,0.05,0.9273742471837497,0.006079354708028655,0.24822808109900585,0.006642234753857306,0.13580972389577392,0.011539437759493601,9.141148703507927,0.4105460516727451
0.1,0.0,0.9405273339543714,0.0035218103445693707,0.21924500880827708,0.005721828614570696,0.11337842617797766,0.006155112290590536,8.503394675798116,0.5509576243514045
0.1,0.05,0.9443251095517541,0.0018397038350087974,0.2137515332205253,0.0025939699997560317,0.1041160615601892,0.0038136695745415493,7.727459557207672,0.1489231254362081
0.1,0.1,0.9411882366816823,0.0018743768473861427,0.21470922948840282,0.003808797608403921,0.10769042380860591,0.00392978993029693,7.57898795196742,0.11359073269283992
0.15,0.0,0.9484365440150805,0.004589494354771495,0.20517778406815207,0.005339712548054087,0.09815832865223907,0.00927892515589816,7.778551284314091,0.16421906628096059
0.15,0.07,0.9488607510711656,0.0009474642739014432,0.2005601604348033,0.002200769766314983,0.09476616012212145,0.0018163979990362743,7.070636029855242,0.1188157693340932
0.15,0.15,0.9469390673183857,0.0017285473535816253,0.20102794870641677,0.0027348706435065466,0.09450949868197482,0.003523227228432136,6.871429269953015,0.12994836991743008
0.2,0.0,0.9518140011028027,0.0022688724005167334,0.19457296341270608,0.0028946469176776876,0.09226040105475267,0.004424652730694349,7.145001646758741,0.16166676288123968
0.2,0.1,0.953259699198185,0.0010828604457224797,0.18963005730557395,0.0016681303581347565,0.0857536614387648,0.0022430507506211463,6.6206151267067614,0.1032149080691619
0.2,0.2,0.9507527794835345,0.0014647337361749142,0.19174423372015534,0.0016581553797206583,0.08600888034820174,0.0025150432708465295,6.469641442519787,0.1048873045762374
0.25,0.0,0.9563299130962652,0.0027681207843334903,0.18624721987007334,0.0019505846888117114,0.08345482004818036,0.004851048752617866,6.832393015612586,0.14485630309195446
0.25,0.12,0.9554615589547717,0.0032041824398228503,0.1845058572976062,0.0011280259984186663,0.0805073283045629,0.0054536084140026945,6.35917405814304,0.049412874375825463
0.25,0.25,0.9538999463998635,0.0034902909075490056,0.18507261147263918,0.0024318091413332663,0.0784276391043513,0.0062239970552742125,6.194427162006228,0.07220353138822831
0.3,0.0,0.9563489492768845,0.0006218100171672394,0.1832055429707664,0.00256155004845686,0.08383495890797366,0.0016437337698474825,6.571340207743404,0.20833973980467901
0.3,0.15,0.9584472092543326,0.0031071618201505584,0.17971636501718447,0.0015125783642514583,0.07440162132961281,0.005727452445326246,6.1428103240242375,0.09433782063060527
0.3,0.3,0.9564869702647318,0.0029154651033789533,0.1808986235069535,0.0010205552215073557,0.07241855000649892,0.005526064635485709,6.010783762799095,0.013508551952218551
0.35,0.0,0.9593314431690896,0.0030257928071274085,0.1796452584688309,0.0019045100019231982,0.07692236662710608,0.005674460327455082,6.407721228247196,0.05897676929870571
0.35,0.17,0.960647553371874,0.0030854556071842373,0.17536615156971946,0.002390961173681131,0.06896098033770878,0.005209210768368611,5.957168637367452,0.10135598841549755
0.35,0.35,0.9546946763384229,0.002080325880719231,0.1784678448329729,0.002295369451834235,0.07359358733716112,0.0037283860337541715,5.89664989364004,0.0778065917174338
0.4,0.0,0.9579312652274685,0.002015451409156334,0.17843249120392585,0.0027065658770172216,0.08056345491031706,0.0044298747777920715,6.325171519477429,0.12068814891033278
0.4,0.2,0.959916100009402,0.0024555345536162016,0.17387381645942504,0.001025094445029711,0.07010307100996889,0.004882662842820869,5.8667692568404775,0.08177116000150729
0.4,0.4,0.9575967547224593,0.002762384930823024,0.1746288853927957,0.0022179612197934634,0.06705153896510155,0.004433425456179569,5.746124913236475,0.09559645540944793
0.45,0.0,0.962809278678941,0.0025716284344443566,0.17306565373541044,0.0017767109352269574,0.07047380572962944,0.004988499390182944,6.114708699164194,0.03726361547050944
0.45,0.23,0.9590562970290633,0.002686171154364137,0.17210202608534547,0.0012232239756458723,0.07038257050787927,0.00522746458411581,5.759322568442023,0.054879505945993286
0.45,0.45,0.9560068552127342,0.0034302377840341436,0.1748554834721242,0.002588584055352844,0.06879986620254429,0.006059523844908495,5.69744393300131,0.1120103903862912
0.5,0.0,0.9625626092053226,0.005667692923885115,0.17197692576234194,0.00522093806886175,0.07107677183663604,0.011140913719195093,6.168475373103368,0.20269156908035815
0.5,0.25,0.9623242768379769,0.0026218507483533196,0.16842599174578082,0.0009958399531666943,0.06441273188207838,0.004680359505262726,5.626497411603229,0.0455030211927145
0.5,0.5,0.9554061351189336,0.0047784859743349685,0.17213841224885312,0.002756347533732572,0.06754439815388374,0.007442821484089434,5.591001923448673,0.09185850608089718
0.55,0.0,0.9595410485877108,0.002604162674432013,0.17337042314192702,0.002809604480989619,0.07811385194266242,0.005458051515817443,5.998581543769493,0.11528079153407304
0.55,0.28,0.9634044678390123,0.0040678166087062,0.1666601731680464,0.0017860659928958997,0.0609136792962825,0.006513833611536201,5.515013706330111,0.059610914223898075
0.55,0.55,0.9604896993946435,0.002896474251321169,0.16894656475867795,0.0018790204377390804,0.059019053663565045,0.004262765464731427,5.516547921856987,0.051154023485726
0.6,0.0,0.9637310139961132,0.00336007186039707,0.17050044393615438,0.004386702761565762,0.0691413593872204,0.005783616570817519,5.983956810627833,0.18129614164110397
0.6,0.3,0.9617041616880699,0.0038498499516989144,0.16570956671681594,0.0011516638485567674,0.06453945555347264,0.007186335923577529,5.465463860679913,0.0656492044145336
0.6,0.6,0.9599155425852695,0.0007773508932264928,0.16884758142029077,0.0015466859032469823,0.0578055715347511,0.0018567771323046583,5.393124762206037,0.03960215657658481
0.65,0.0,0.9639358685535884,0.00581531804821901,0.16838285539062553,0.004088706274207487,0.0686228233053239,0.011103658093084775,5.945414853853351,0.056412336795675165
0.65,0.33,0.9619096666430075,0.004273159597561469,0.16560475135371114,0.0020936995023201877,0.06302671950043187,0.008624288394269757,5.443670959708251,0.12311678418694316
0.65,0.65,0.9594873876285982,0.0017997660905646185,0.16742975174145702,0.0030743180570414956,0.05642800484008661,0.0019535031862190416,5.345805320789925,0.12277295997045949
0.7,0.0,0.9666360661879789,0.003770786267534165,0.1654682244912143,0.003640082725567214,0.06296439361147962,0.007483201753113279,5.857859358093843,0.13341753331769976
0.7,0.35,0.9618351896049744,0.005405333922951083,0.16536831504269064,0.004087621464393091,0.061160024636768465,0.008739365544802357,5.445150260485716,0.111245112198258
0.7,0.7,0.9571592275443997,0.0056240767956603965,0.16741122074464726,0.0016321225725230845,0.05945627785196097,0.008289995624458932,5.308751062630986,0.06482025970026112
0.75,0.0,0.9669082964169785,0.004936046600601091,0.16304032639785065,0.005371695844245922,0.06194159487338643,0.00845776762704601,5.792159345389196,0.16668025750772283
0.75,0.38,0.959631911422765,0.007054437578640994,0.16482070292531015,0.0028664097090892716,0.06472443646040102,0.01336769730976864,5.412173234962708,0.10057450890271583
0.75,0.75,0.9603190319965448,0.0010421314723033578,0.16517593597241764,0.00200752399709704,0.053502565360688634,0.0016451519114238711,5.24582108295091,0.06878211931609429
0.8,0.0,0.9675503114508806,0.005355702671212587,0.16283621435209733,0.0035475820979605235,0.061750803458677825,0.011439383803606207,5.7150932413926,0.15740910113987558
0.8,0.4,0.9576228877281844,0.010211713232564344,0.16529489169462155,0.004062218494825491,0.06550215186048444,0.01621324571171594,5.3774769144540855,0.08982549176873722
0.8,0.8,0.9595237618072165,0.0026778605612981345,0.16415691282086176,0.003731710299125641,0.0532539267678855,0.0037880547991070795,5.131389363307353,0.15115357603703078
