name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
AHIYOH_clean,argon,293.0,0.5,14.0,AHIYOH_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2621995469,1.885325,10.4743475008,5.8769342859,8.377286526,chunk_1
ADOBIF_clean,argon,293.0,0.5,14.0,ADOBIF_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1358826889,0.5537625,5.428241654500001,3.0456712926,4.8387378243,chunk_1
AQEGUY_clean,argon,293.0,0.5,14.0,AQEGUY_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.3323924758,0.8779291667,13.2784146227,7.4502368909,10.9037483665,chunk_1
ATEJOA_clean,argon,293.0,0.5,14.0,ATEJOA_clean_argon_293.0K_0.5bar_14.0/Output/System_0,1.0430233496999999,1.7601277778,41.666696773299996,23.378300064,44.381861906800005,chunk_1
AVETAY_clean,argon,293.0,0.5,14.0,AVETAY_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.4552161225,2.14295,18.1849736602,10.2032031288,10.343506639600001,chunk_1
ATEZIK_clean,argon,293.0,0.5,14.0,ATEZIK_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2052937943,1.552225,8.2010764945,4.6014501265,3.4247985023000003,chunk_1
AXINAX_clean,argon,293.0,0.5,14.0,AXINAX_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1772229825,1.340225,7.079703705700001,3.9722716321,1.6867662344,chunk_1
BERQIA_clean,argon,293.0,0.5,14.0,BERQIA_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.4572193126,5.413975,18.2649971004,10.2481025843,11.757789148299999,chunk_1
BETDOV_clean,argon,293.0,0.5,14.0,BETDOV_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.21876135579999997,0.9723083333,8.7390786426,4.903311724,6.635865216,chunk_1
BEWCUD_clean,argon,293.0,0.5,14.0,BEWCUD_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.16559997880000002,1.29695,6.6153879512,3.7117539076,1.7686118491,chunk_1
BEXVAD01_clean,argon,293.0,0.5,14.0,BEXVAD01_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.3460023826,0.7226583333,13.822103179700001,7.755289012,10.619377781499999,chunk_1
BEXVAD_clean,argon,293.0,0.5,14.0,BEXVAD_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.4440541049,0.9310291667,17.7390733806,9.9530179368,13.6867630879,chunk_1
BEXTUV_clean,argon,293.0,0.5,14.0,BEXTUV_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.4557823151,0.47052592590000003,18.2075919221,10.215893756,13.3345669986,chunk_1
ASEKAM_clean,argon,293.0,0.5,14.0,ASEKAM_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1967767284,0.38566875,7.8608367465999995,4.4105488183,7.6153544929,chunk_1
AXIGAR_clean,argon,293.0,0.5,14.0,AXIGAR_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1066675809,0.19715625,4.2611565227999995,2.3908445718999998,1.846581911,chunk_1
AQOTIK_clean,argon,293.0,0.5,14.0,AQOTIK_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2721012478,0.1695791667,10.8699006471,6.0988707690999995,8.9864427249,chunk_1
AQERUL_clean,argon,293.0,0.5,14.0,AQERUL_clean_argon_293.0K_0.5bar_14.0/Output/System_0,1.2488394784999999,13.53655,49.8886394879,27.9914577842,46.1264401765,chunk_1
ASANAL_clean,argon,293.0,0.5,14.0,ASANAL_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.24884047190000003,0.6420944444,9.9406791729,5.5775043029999996,6.7009449016,chunk_1
