MOF,. time (s),source_chunk
cg3002866_si_001_clean_argon_313.0K_5.0bar_14.,706.7,chunk_1
LAPLOG01_clean_argon_313.0K_5.0bar_14.,625.9,chunk_1
FOCZEE_clean_argon_313.0K_5.0bar_14.,364.5,chunk_1
ASEJOZ01_clean_argon_313.0K_5.0bar_14.,321.4,chunk_1
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_argon_313.0K_5.0bar_14.,212.3,chunk_1
AJOTEY_clean_argon_313.0K_5.0bar_14.,116.1,chunk_1
WAFKIY_clean_argon_313.0K_5.0bar_14.,220.5,chunk_1
DALVIY_clean_argon_313.0K_5.0bar_14.,757.7,chunk_1
cg501560z_si_002_clean_argon_313.0K_5.0bar_14.,316.5,chunk_1
BEXRUT_clean_argon_313.0K_5.0bar_14.,224.8,chunk_1
BOWDIC_clean_argon_313.0K_5.0bar_14.,362.6,chunk_1
ATULIM_clean_argon_313.0K_5.0bar_14.,234.6,chunk_1
DUDKIY_clean_argon_313.0K_5.0bar_14.,237.5,chunk_1
JUSGUB_clean_argon_313.0K_5.0bar_14.,567.3,chunk_1
DIYKED_clean_argon_313.0K_5.0bar_14.,309.9,chunk_1
UMOYOM01_clean_argon_313.0K_5.0bar_14.,319.0,chunk_1
APEBOO_clean_argon_313.0K_5.0bar_14.,466.6,chunk_1
FALROB_clean_argon_313.0K_5.0bar_14.,379.4,chunk_1
AWASAU_clean_argon_313.0K_5.0bar_14.,174.1,chunk_1
BEWVEG_clean_argon_313.0K_5.0bar_14.,220.6,chunk_1
PILJAX_clean_argon_313.0K_5.0bar_14.,272.9,chunk_1
LETREJ_clean_argon_313.0K_5.0bar_14.,1036.1,chunk_1
WUDTUM_clean_argon_313.0K_5.0bar_14.,353.2,chunk_1
FOQNOQ_clean_argon_313.0K_5.0bar_14.,199.1,chunk_1
LATCAN_clean_argon_313.0K_5.0bar_14.,519.4,chunk_1
XIVVEF_clean_argon_313.0K_5.0bar_14.,204.3,chunk_1
RIZXUT_clean_argon_313.0K_5.0bar_14.,104.8,chunk_1
c6ta00429f_c6ta00429f2_clean_argon_313.0K_5.0bar_14.,1574.5,chunk_1
RUBTAK06_clean_argon_313.0K_5.0bar_14.,615.1,chunk_1
EREGOY_clean_argon_313.0K_5.0bar_14.,238.6,chunk_1
COKMEW_clean_argon_313.0K_5.0bar_14.,300.8,chunk_1
YOZBEW_clean_argon_313.0K_5.0bar_14.,417.2,chunk_1
SABFUX_clean_argon_313.0K_5.0bar_14.,131.3,chunk_1
HACDOH_clean_argon_313.0K_5.0bar_14.,590.6,chunk_1
ETEJUJ_clean_argon_313.0K_5.0bar_14.,156.6,chunk_1
NAYHAY_clean_argon_313.0K_5.0bar_14.,310.0,chunk_1
ALULAV_clean_argon_313.0K_5.0bar_14.,156.5,chunk_1
CAWDOU02_clean_argon_313.0K_5.0bar_14.,227.4,chunk_1
SUNLAP_clean_argon_313.0K_5.0bar_14.,480.2,chunk_1
KEVBOE_clean_argon_313.0K_5.0bar_14.,1180.6,chunk_1
ATEZAC_clean_argon_313.0K_5.0bar_14.,211.5,chunk_1
cm503311x_alf375K_clean_argon_313.0K_5.0bar_14.,154.5,chunk_1
ETEPID_clean_argon_313.0K_5.0bar_14.,1143.8,chunk_1
SALRUU_clean_argon_313.0K_5.0bar_14.,159.9,chunk_1
IZIHIK_clean_argon_313.0K_5.0bar_14.,520.9,chunk_1
ATIBAG_clean_argon_313.0K_5.0bar_14.,214.1,chunk_1
LAPLEW_clean_argon_313.0K_5.0bar_14.,672.4,chunk_1
SEHMUO_clean_argon_313.0K_5.0bar_14.,362.3,chunk_1
ALIXAU_clean_h_argon_313.0K_5.0bar_14.,234.3,chunk_1
BEXSEE_clean_argon_313.0K_5.0bar_14.,218.4,chunk_1
OBUBIW_clean_argon_313.0K_5.0bar_14.,296.8,chunk_1
ETEKAQ01_manual_argon_313.0K_5.0bar_14.,169.7,chunk_1
DOFTID_clean_argon_313.0K_5.0bar_14.,250.2,chunk_1
YARBIE_clean_argon_313.0K_5.0bar_14.,463.8,chunk_1
VURNED_clean_argon_313.0K_5.0bar_14.,222.2,chunk_1
BUWMEN_clean_argon_313.0K_5.0bar_14.,184.3,chunk_1
ZEVYAC_clean_argon_313.0K_5.0bar_14.,378.8,chunk_1
AHAMAY_clean_argon_313.0K_5.0bar_14.,279.4,chunk_1
SAMYAJ_clean_argon_313.0K_5.0bar_14.,612.2,chunk_1
IFEPUG10_clean_argon_313.0K_5.0bar_14.,845.4,chunk_1
DEPTOH_clean_argon_313.0K_5.0bar_14.,149.9,chunk_1
ETEQUQ_clean_argon_313.0K_5.0bar_14.,213.1,chunk_1
JOZWOM_clean_argon_313.0K_5.0bar_14.,427.1,chunk_1
cm500700z_si_003_clean_argon_313.0K_5.0bar_14.,842.9,chunk_1
IDUYOX_clean_argon_313.0K_5.0bar_14.,212.8,chunk_1
IFEPUG09_clean_argon_313.0K_5.0bar_14.,867.6,chunk_1
AQOMEA01_clean_argon_313.0K_5.0bar_14.,1503.0,chunk_1
AVESUR_clean_argon_313.0K_5.0bar_14.,223.0,chunk_1
MOXBOS_clean_argon_313.0K_5.0bar_14.,276.3,chunk_1
GUZVOO_clean_argon_313.0K_5.0bar_14.,337.9,chunk_1
IREGOD_clean_argon_313.0K_5.0bar_14.,343.9,chunk_1
BERQIA_clean_argon_313.0K_5.0bar_14.,764.0,chunk_1
LIDSEY_clean_argon_313.0K_5.0bar_14.,249.8,chunk_1
cm503311x_alf225K_clean_argon_313.0K_5.0bar_14.,155.0,chunk_1
QOGPIM_clean_argon_313.0K_5.0bar_14.,955.2,chunk_1
LAGWIB_clean_argon_313.0K_5.0bar_14.,148.8,chunk_1
KOGSOQ_clean_argon_313.0K_5.0bar_14.,372.5,chunk_1
AZEBUE_clean_argon_313.0K_5.0bar_14.,194.8,chunk_1
HIDDAB_clean_argon_313.0K_5.0bar_14.,238.5,chunk_1
CUQXUI_clean_argon_313.0K_5.0bar_14.,289.0,chunk_1
CUWZAX_clean_argon_313.0K_5.0bar_14.,169.1,chunk_1
c5dt03091a_c5dt03091a2_clean_argon_313.0K_5.0bar_14.,373.8,chunk_1
DOGMET_clean_argon_313.0K_5.0bar_14.,432.1,chunk_1
CUWNOZ_clean_argon_313.0K_5.0bar_14.,317.0,chunk_1
ja202154j_si_003_clean_argon_313.0K_5.0bar_14.,335.9,chunk_1
OQUGAK_clean_argon_313.0K_5.0bar_14.,833.2,chunk_1
EWIPIL_clean_argon_313.0K_5.0bar_14.,210.5,chunk_1
BEXVAD01_clean_argon_313.0K_5.0bar_14.,228.0,chunk_1
IFEPUG05_clean_argon_313.0K_5.0bar_14.,731.9,chunk_1
GURPOZ_clean_argon_313.0K_5.0bar_14.,553.2,chunk_1
BIYSUZ_clean_argon_313.0K_5.0bar_14.,151.0,chunk_1
ECOKAJ_clean_argon_313.0K_5.0bar_14.,111.0,chunk_1
EVUPOC_clean_argon_313.0K_5.0bar_14.,182.6,chunk_1
VUHMOC_clean_argon_313.0K_5.0bar_14.,293.5,chunk_1
c5sc00614g_c5sc00614g2_clean_argon_313.0K_5.0bar_14.,565.7,chunk_1
acs.cgd.5b01554_VAGNUP1452791_clean_argon_313.0K_5.0bar_14.,310.2,chunk_1
c5ce02194d_c5ce02194d2_clean_argon_313.0K_5.0bar_14.,493.2,chunk_1
WANKOO_clean_argon_313.0K_5.0bar_14.,572.9,chunk_1
BUVWOF03_clean_argon_313.0K_5.0bar_14.,306.5,chunk_1
ETAXUT_clean_argon_313.0K_5.0bar_14.,813.0,chunk_1
UDAXIJ_clean_argon_313.0K_5.0bar_14.,303.1,chunk_1
JADBEY_clean_argon_313.0K_5.0bar_14.,346.9,chunk_1
DOJXOR_clean_argon_313.0K_5.0bar_14.,409.0,chunk_1
YIWBIR_clean_argon_313.0K_5.0bar_14.,394.1,chunk_1
DARBUU_clean_argon_313.0K_5.0bar_14.,124.0,chunk_1
COKQOK_clean_argon_313.0K_5.0bar_14.,300.6,chunk_1
CODROD_clean_argon_313.0K_5.0bar_14.,255.0,chunk_1
PUSSEC_clean_argon_313.0K_5.0bar_14.,403.1,chunk_1
TIVYAZ_clean_argon_313.0K_5.0bar_14.,199.5,chunk_1
EBEXIU02_clean_argon_313.0K_5.0bar_14.,234.9,chunk_1
BINCUY_manual_argon_313.0K_5.0bar_14.,395.0,chunk_1
FOQNOQ02_clean_argon_313.0K_5.0bar_14.,207.0,chunk_1
AQIXUU_clean_argon_313.0K_5.0bar_14.,313.6,chunk_1
EHALOP_manual_argon_313.0K_5.0bar_14.,200.4,chunk_1
CUSYIA_clean_argon_313.0K_5.0bar_14.,206.5,chunk_1
OKUKEM_clean_argon_313.0K_5.0bar_14.,2598.3,chunk_1
IFEPUG03_clean_argon_313.0K_5.0bar_14.,717.7,chunk_1
LAPNIC_clean_argon_313.0K_5.0bar_14.,695.1,chunk_1
ETEKEU_clean_argon_313.0K_5.0bar_14.,155.6,chunk_1
LAXCUK_clean_argon_313.0K_5.0bar_14.,336.7,chunk_1
WASMUB02_clean_argon_313.0K_5.0bar_14.,230.2,chunk_1
FUVDEH02_clean_argon_313.0K_5.0bar_14.,712.9,chunk_1
RUDQOX_clean_argon_313.0K_5.0bar_14.,228.5,chunk_1
EHUSUX_clean_argon_313.0K_5.0bar_14.,604.1,chunk_1
OCIZAD_clean_argon_313.0K_5.0bar_14.,343.9,chunk_1
c6ta07145g_c6ta07145g2_clean_argon_313.0K_5.0bar_14.,1148.9,chunk_1
cm501138g_si_008_clean_argon_313.0K_5.0bar_14.,157.9,chunk_1
BICPOT_clean_argon_313.0K_5.0bar_14.,253.6,chunk_1
AVIHIY_clean_argon_313.0K_5.0bar_14.,134.2,chunk_1
