name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
TISGUY_clean,argon,273.0,5.0,14.0,TISGUY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.24844e-06,chunk_1
EMIYUW_clean,argon,273.0,5.0,14.0,EMIYUW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.13708e-06,chunk_1
MOYZIK_clean,argon,273.0,5.0,14.0,MOYZIK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.27229e-06,chunk_1
UDUMIP03_clean,argon,273.0,5.0,14.0,UDUMIP03_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.37775e-06,chunk_1
LABPEM_clean,argon,273.0,5.0,14.0,LABPEM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.84121e-06,chunk_1
VIDWIQ_clean,argon,273.0,5.0,14.0,VIDWIQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.14525e-05,chunk_1
LAWGAS_clean,argon,273.0,5.0,14.0,LAWGAS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.22462e-06,chunk_1
RIWSUM_clean,argon,273.0,5.0,14.0,RIWSUM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.10712e-06,chunk_1
XEBHOC_clean,argon,273.0,5.0,14.0,XEBHOC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.98458e-06,chunk_1
CUSZEX_clean,argon,273.0,5.0,14.0,CUSZEX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.6006e-06,chunk_1
LEZWUK_clean,argon,273.0,5.0,14.0,LEZWUK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.39264e-07,chunk_1
WUNTOP_clean,argon,273.0,5.0,14.0,WUNTOP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.1129e-05,chunk_1
YIZJEY_clean,argon,273.0,5.0,14.0,YIZJEY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.47122e-06,chunk_1
QUSCAJ_clean,argon,273.0,5.0,14.0,QUSCAJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.07416e-06,chunk_1
ECIWOC_clean,argon,273.0,5.0,14.0,ECIWOC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.25048e-05,chunk_1
RIYBEI_clean,argon,273.0,5.0,14.0,RIYBEI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.80142e-06,chunk_1
HEFVAR_clean,argon,273.0,5.0,14.0,HEFVAR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.89719e-06,chunk_1
GUHMIH_clean,argon,273.0,5.0,14.0,GUHMIH_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.72013e-06,chunk_1
