Feature,Importance
0.01,57.58856630709776
ASA_m2_g,11.607158414953231
ASA_m2_cm3,6.454361351792267
AV_VF,5.54739924204111
AV_cm3_g,5.416595526185557
cm3_g,3.4668348738386054
LCD,2.4738821819606827
PLD,2.4077200099642218
LFPD,1.7317878239493534
Has_OMS,1.2589765478229873
NASA_m2_cm3,1.0151837583299606
NASA_m2_g,0.9219853244122803
NAV_cm3_g,0.1095486376520073
