iter	RMSE
0	0.9600971922
1	0.9219664706
2	0.8875388524
3	0.851282934
4	0.8172012468
5	0.7851947859
6	0.7558345306
7	0.7248511512
8	0.697445892
9	0.6714508235
10	0.6460828028
11	0.6227874534
12	0.5987932777
13	0.5759804841
14	0.5552313634
15	0.5352914347
16	0.5161152463
17	0.4970000941
18	0.4798335638
19	0.4635131033
20	0.4483362741
21	0.4341559341
22	0.4205208241
23	0.407314802
24	0.3951778273
25	0.3828048853
26	0.3707399155
27	0.3596798978
28	0.3500887314
29	0.3402845016
30	0.3310695571
31	0.3220965227
32	0.3135195315
33	0.3051066594
34	0.297558378
35	0.2902188746
36	0.2823647394
37	0.2745147539
38	0.2684534986
39	0.2622692645
40	0.2562936021
41	0.2502257808
42	0.2443152904
43	0.2388005872
44	0.2340357463
45	0.229522471
46	0.2255493032
47	0.2208902843
48	0.2164520596
49	0.2127647929
50	0.2091694572
51	0.2052036778
52	0.2013609148
53	0.1973730164
54	0.1937172902
55	0.1909123673
56	0.1879276661
57	0.1851604786
58	0.1828022668
59	0.1802854432
60	0.1780942191
61	0.1755646743
62	0.1735115636
63	0.1713191265
64	0.1692403402
65	0.1674822669
66	0.1653929331
67	0.1631802017
68	0.1616526388
69	0.1599300821
70	0.1581690873
71	0.1563619105
72	0.1550138214
73	0.1537284146
74	0.1523695223
75	0.1509288179
76	0.1492951594
77	0.14801172
78	0.1467974097
79	0.1454015803
80	0.1441673357
81	0.1429475219
82	0.142092821
83	0.1411749775
84	0.1400147152
85	0.1388288531
86	0.137866591
87	0.1368944032
88	0.1359613464
89	0.134810345
90	0.1338020648
91	0.1328324276
92	0.1316500734
93	0.1308037784
94	0.130058536
95	0.1290526794
96	0.1283690925
97	0.1276011551
98	0.1269303829
99	0.1263389935
100	0.1255482497
101	0.1248301891
102	0.1240700672
103	0.1234106219
104	0.1228517865
105	0.1221383513
106	0.1215069774
107	0.1209643288
108	0.1204793161
109	0.1200372576
110	0.1195153968
111	0.1190058971
112	0.1183132199
113	0.117844371
114	0.1171882701
115	0.1164948342
116	0.1158752827
117	0.1154337106
118	0.1147677155
119	0.114187145
120	0.1137304505
121	0.1131759239
122	0.1127493158
123	0.1122464522
124	0.1118061324
125	0.1113586827
126	0.1110097401
127	0.1106428708
128	0.1103135805
129	0.1098546269
130	0.1094143251
131	0.1091343792
132	0.1085986202
133	0.1083365824
134	0.1079407061
135	0.1074981903
136	0.1070007732
137	0.1067217075
138	0.1064152902
139	0.1058963379
140	0.1055702889
141	0.1054013957
142	0.1051346733
143	0.1047247522
144	0.1042412829
145	0.1038752399
146	0.1035243514
147	0.103249376
148	0.1028814268
149	0.1025279022
150	0.1019542486
151	0.1015546212
152	0.1012140637
153	0.1009838668
154	0.1007459561
155	0.1004115192
156	0.1000323728
157	0.0997189385
158	0.09933643651
159	0.0988873441
160	0.09866824633
161	0.09829362298
162	0.09804579565
163	0.09780968436
164	0.09738316289
165	0.09713946449
166	0.09691199178
167	0.09655413891
168	0.09620389953
169	0.0959736526
170	0.09569669218
171	0.09538740422
172	0.09511881979
173	0.09474751185
174	0.09457177997
175	0.09414067951
176	0.09389660661
177	0.09352550955
178	0.09329513393
179	0.09301868649
180	0.09275772384
181	0.09249480671
182	0.09232241547
183	0.09183994144
184	0.09166504746
185	0.09135559475
186	0.09103174976
187	0.09064888638
188	0.0902830391
189	0.09010676621
190	0.08983304915
191	0.08968729513
192	0.08956227137
193	0.08916752646
194	0.08869600016
195	0.08844934024
196	0.08834499582
197	0.08792223206
198	0.08776090781
199	0.08745600095
200	0.0871940924
201	0.08682825718
202	0.08666166793
203	0.08650030373
204	0.0862217203
205	0.08593155756
206	0.08577900121
207	0.08564480012
208	0.08536508421
209	0.08507411789
210	0.08478745383
211	0.08453533588
212	0.08433366936
213	0.08408193773
214	0.08383520913
215	0.08360934592
216	0.08334898492
217	0.08313023939
218	0.08290657898
219	0.08274293979
220	0.08272031192
221	0.08242132786
222	0.08217854008
223	0.0819639163
224	0.08174372564
225	0.08152033599
226	0.08130562285
227	0.08118557878
228	0.08091867442
229	0.08069478032
230	0.08051372324
231	0.08030951802
232	0.08017191459
233	0.07994430334
234	0.07982295115
235	0.07963863603
236	0.07948267273
237	0.07925631363
238	0.07909862101
239	0.07890282887
240	0.07877262149
241	0.07856366053
242	0.07824583501
243	0.07799281692
244	0.07763919013
245	0.07733255498
246	0.07725236741
247	0.07704034595
248	0.07691634494
249	0.07654987103
250	0.07634086048
251	0.07607434838
252	0.07585141464
253	0.075722102
254	0.07558232878
255	0.07540981089
256	0.07523137598
257	0.07499275181
258	0.07481466623
259	0.07461844602
260	0.07436567273
261	0.07417298692
262	0.07398383472
263	0.07364620657
264	0.07354248052
265	0.07335048229
266	0.07315107492
267	0.07291151356
268	0.07271760516
269	0.07256433363
270	0.07228454591
271	0.07211734353
