Feature,Importance
5,55.52697406888864
0.01_x,16.536975250217093
0.01_y,14.034004995439497
ASA_m2_cm3_y,1.5622639233581435
AV_cm3_g_y,1.3384814267431164
AV_VF_x,1.2981621121466638
ASA_m2_g_y,0.8763868544992476
LCD_y,0.8343392473956268
AV_cm3_g_x,0.8190721818447562
ASA_m2_cm3_x,0.7490574816832124
AV_VF_y,0.701724636752731
LFPD_y,0.6553079657959294
cm3_g_x,0.5919157581563304
cm3_g_y,0.5555010173089315
LCD_x,0.5252724005978642
PLD_x,0.5088204685051383
NASA_m2_cm3_y,0.498454729887521
PLD_y,0.420576067447194
LFPD_x,0.4044144981635087
Has_OMS_x,0.36379199687567715
ASA_m2_g_x,0.3527569686749018
NASA_m2_g_y,0.24202577908516595
NASA_m2_cm3_x,0.22392244397772954
NASA_m2_g_x,0.18858468409157267
Has_OMS_y,0.13287999168067155
NAV_cm3_g_y,0.040584489085382064
NAV_cm3_g_x,0.01774856169771572
