Feature,Importance
5,75.10387636887455
0.01_y,10.906063650532124
0.01_x,8.047936854128261
AV_cm3_g_y,0.9127427796705988
AV_VF_x,0.6753087639911691
ASA_m2_cm3_y,0.4585707040192767
PLD_x,0.37984677242504394
cm3_g_x,0.3490059559394748
LFPD_y,0.3039355994227033
PLD_y,0.29441437898507816
cm3_g_y,0.2823932234890651
LFPD_x,0.25907980608156683
ASA_m2_g_x,0.23984112390809753
LCD_x,0.23394237272465312
ASA_m2_g_y,0.227340025271007
LCD_y,0.2065690665444135
AV_cm3_g_x,0.20582254774965622
ASA_m2_cm3_x,0.18052832659126622
AV_VF_y,0.17244427187558636
NASA_m2_cm3_x,0.11227745235129312
NASA_m2_g_y,0.11195210400111405
NASA_m2_cm3_y,0.10315806164931457
NAV_cm3_g_y,0.07569331612290396
NASA_m2_g_x,0.06985723594544892
Has_OMS_x,0.044687133841196255
Has_OMS_y,0.030364141310772096
NAV_cm3_g_x,0.012347962554391244
