Feature,Importance
0.01,56.60920851928351
ASA_m2_g,15.556969189418064
AV_VF,5.79714741372082
ASA_m2_cm3,4.95008151974788
AV_cm3_g,4.1070544988439925
cm3_g,3.0909303466853326
PLD,2.767977276193744
LCD,2.3312702603995814
LFPD,2.1113093912554426
Has_OMS,1.375033310568287
NASA_m2_cm3,0.7440233701841356
NASA_m2_g,0.46172456789037686
NAV_cm3_g,0.09727033580882376
