Feature,Importance
5,47.840174892906376
0.01_x,19.669130587575804
0.01_y,17.86941760705935
AV_cm3_g_x,1.1646232078304652
ASA_m2_cm3_x,1.0561886274045258
ASA_m2_cm3_y,1.0414503469880427
AV_VF_x,1.0338655889044783
ASA_m2_g_x,1.0243657901889993
AV_cm3_g_y,0.9681821074662881
Has_OMS_x,0.9060573018268872
LFPD_x,0.8765651954542384
cm3_g_x,0.6501633727387085
cm3_g_y,0.6109728260731356
LCD_y,0.5962699574820218
AV_VF_y,0.5942739375715731
LFPD_y,0.5930097574035668
LCD_x,0.5652089971029939
PLD_y,0.5640782772955244
Has_OMS_y,0.510192475643014
ASA_m2_g_y,0.45795405523829535
PLD_x,0.4020171145121688
NASA_m2_g_y,0.3448345995599587
NASA_m2_cm3_x,0.21711171822520572
NASA_m2_cm3_y,0.19688302730687893
NASA_m2_g_x,0.12468968935033993
NAV_cm3_g_x,0.0644501067238534
NAV_cm3_g_y,0.057868834167276555
