Feature,Importance
5,40.89056381780983
0.01,5.443395105637532
cm3_g_x,4.534535702674507
ASA_m2_g_x,3.378857798979441
ASA_m2_cm3_y,3.3027436337302993
AV_VF_y,3.2849111032967935
LCD_x,3.219252818291001
cm3_g_y,3.194044841549295
Has_OMS_y,3.025246582808382
PLD_x,2.8234062317287374
ASA_m2_g_y,2.7472161997325553
PLD_y,2.72574354983768
LFPD_y,2.6836902720576967
AV_VF_x,2.6017941181662194
ASA_m2_cm3_x,2.559026991287699
Has_OMS_x,2.4932308751401444
AV_cm3_g_x,2.4291705417568314
LCD_y,2.400324267003456
AV_cm3_g_y,2.1877747848271043
LFPD_x,1.967739139255156
NASA_m2_g_y,0.6429366674104207
NASA_m2_cm3_x,0.4663079784131787
NASA_m2_g_x,0.44106777201371994
NASA_m2_cm3_y,0.4253542457038133
NAV_cm3_g_x,0.08976803827321342
NAV_cm3_g_y,0.04189692261529658
