Feature,Importance
5,20.28941960798608
0.01,7.198967641841954
cm3_g_y,6.947606949283807
PLD_y,5.365306185491181
PLD_x,5.016927285085906
Has_OMS_x,4.750263018473458
cm3_g_x,4.709152382690706
ASA_m2_cm3_x,4.607213274946317
ASA_m2_g_y,4.510339676910696
AV_VF_y,4.27203088680062
ASA_m2_g_x,4.184654015130153
AV_cm3_g_x,4.0876329143392045
Has_OMS_y,3.3988741298319263
AV_cm3_g_y,3.2393912200136703
ASA_m2_cm3_y,3.1311482835163544
LFPD_y,2.698846090916184
AV_VF_x,2.6912777975476847
LFPD_x,2.0774153999470615
LCD_y,2.066496820451465
LCD_x,1.7450295643489713
NASA_m2_cm3_y,1.0515375485061547
NASA_m2_cm3_x,0.6293577913649372
NASA_m2_g_x,0.5783279041085342
NASA_m2_g_y,0.5271764318680896
NAV_cm3_g_y,0.134549016629516
NAV_cm3_g_x,0.09105816196938303
