Feature,Importance
5,49.78735478189601
0.01_x,18.565112121545237
0.01_y,15.366360147532871
ASA_m2_cm3_x,1.5081390771206222
ASA_m2_cm3_y,1.3555593546049847
LCD_x,1.1655185815560227
LFPD_y,1.0131485162145937
LCD_y,0.966670128621791
cm3_g_x,0.9357058667974947
ASA_m2_g_y,0.8839696249079982
AV_cm3_g_x,0.8664994545637807
Has_OMS_y,0.8442596364804844
Has_OMS_x,0.7520027447169884
PLD_x,0.7402712912283348
LFPD_x,0.6947711886730638
AV_cm3_g_y,0.6047849588630877
PLD_y,0.6046311313632059
cm3_g_y,0.5980227678133557
AV_VF_y,0.5958741631499561
AV_VF_x,0.475706149883063
NASA_m2_g_x,0.4615868710549178
ASA_m2_g_x,0.43504185166856113
NASA_m2_cm3_x,0.28926715021526594
NASA_m2_cm3_y,0.2469064408255303
NASA_m2_g_y,0.1158514301036499
NAV_cm3_g_y,0.1041172874630701
NAV_cm3_g_x,0.022867281136020906
