Feature,Importance
5,39.80161718310718
0.01,5.887405304480286
cm3_g_y,4.475098047213815
ASA_m2_cm3_x,4.044695171450125
cm3_g_x,3.641386309776797
PLD_x,3.135962092602723
LFPD_y,3.124553218276418
PLD_y,3.0524130834855705
ASA_m2_g_x,3.0419083860935605
ASA_m2_g_y,2.9648530506535202
ASA_m2_cm3_y,2.9581585082002784
Has_OMS_x,2.897850136552395
Has_OMS_y,2.8022160865647074
AV_VF_x,2.744613579115474
AV_VF_y,2.664833878565657
LFPD_x,2.6580219900156288
LCD_y,2.0880133217920567
LCD_x,2.0048132350555776
AV_cm3_g_y,1.965321707868298
AV_cm3_g_x,1.880192392873908
NASA_m2_cm3_y,0.6278951308834757
NASA_m2_g_x,0.5946807981309091
NASA_m2_g_y,0.5310968114983131
NASA_m2_cm3_x,0.3208460407407396
NAV_cm3_g_y,0.04898196967463187
NAV_cm3_g_x,0.042572565327958174
