Feature,Importance
5,31.745218211005685
0.01,6.042413709829036
cm3_g_x,5.461687203732761
ASA_m2_g_x,4.235570480165448
ASA_m2_cm3_y,4.078255604723328
PLD_x,4.048068732674155
LCD_x,3.868737627460341
AV_VF_y,3.7437598371680685
ASA_m2_cm3_x,3.422332810154056
PLD_y,3.394577935212601
LCD_y,3.3848800896262894
cm3_g_y,3.3723283234011805
AV_VF_x,3.3426089449922656
Has_OMS_y,3.0985674343514074
ASA_m2_g_y,2.716602531798974
AV_cm3_g_y,2.4155863292640993
Has_OMS_x,2.407031348501749
LFPD_y,2.289362654432697
AV_cm3_g_x,2.2465326584430083
LFPD_x,1.736871933793198
NASA_m2_cm3_x,0.6621331751237766
NASA_m2_g_x,0.6078825328708729
NASA_m2_g_y,0.6018366284855571
NASA_m2_cm3_y,0.5996867525121314
NAV_cm3_g_x,0.2397472823143387
NAV_cm3_g_y,0.23771922796296374
