Feature,Importance
5,46.37716046075855
0.01_y,24.091201229681538
0.01_x,13.635920526445753
ASA_m2_g_y,2.2134021271114896
cm3_g_x,1.2892799225203853
AV_cm3_g_y,0.9403836852794546
LFPD_x,0.8815835976501377
LFPD_y,0.8707528501911102
LCD_x,0.8684579808790034
ASA_m2_g_x,0.8369740142030524
AV_VF_y,0.8334494362136059
ASA_m2_cm3_x,0.801746102381773
LCD_y,0.7604378082430048
cm3_g_y,0.7160096679635178
PLD_y,0.6785918912539586
NASA_m2_g_x,0.6090074366747941
ASA_m2_cm3_y,0.5477483123064959
NASA_m2_cm3_x,0.527776594533082
Has_OMS_x,0.45112931134726175
AV_VF_x,0.45059909910084217
PLD_x,0.4193491145627083
AV_cm3_g_x,0.399480385903911
NASA_m2_cm3_y,0.3508282917468805
NASA_m2_g_y,0.30845708303730573
Has_OMS_y,0.0894441122937444
NAV_cm3_g_x,0.04008770940032877
NAV_cm3_g_y,0.010741248316313675
