filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,HENRY,0.01,0.05,0.1,0.5,1,5,15
BABREE_clean,12.92538,6.29785,12.92538,0.898119,2356.63,2623.96,0.0,0.0,0.6828,0.760255,0.0,1,4.06404e-06,0.0040714361,0.0203061411,0.0403911125,0.1971025894999999,0.3861718284,1.7008150303,4.1157167735
BETFOX_clean,5.13144,3.67825,5.11456,1.3623,1196.21,878.085,0.0,0.0,0.5018,0.368349,0.0,0,4.84895e-06,0.0048802724,0.0239405465,0.0474619894,0.225036767,0.4251080708,1.4440322682,2.6688733703
BEWCUD_clean,11.43013,9.61646,11.40927,0.476468,2123.61,4456.97,0.0,0.0,0.8196,1.72016,0.0,1,3.32898e-06,0.0033644778,0.0162797311,0.0329935883999999,0.1655999788,0.3285824321,1.6249406141999998,4.6723402926
BEXTUV_clean,4.28323,3.79801,4.26635,1.30528,1237.19,947.835,0.0,0.0,0.5092,0.390108,0.0,1,9.83421e-06,0.0101853402,0.0486108726,0.0969616405,0.4557823151,0.8015421474,2.5296955317,4.1208598571
BEXVAD01_clean,3.87179,3.50198,3.85722,1.36931,1031.87,753.568,0.0,0.0,0.5022,0.366754,0.0,1,7.49531e-06,0.0074092924,0.0372120437,0.0745457802,0.3460023826,0.6231007402,2.0333061289,3.4465777757
BEXVAD_clean,4.05512,3.67488,4.05512,1.37514,1152.1,837.807,0.0,0.0,0.4946,0.359673,0.0,1,9.57231e-06,0.009699965,0.0465204838,0.094740101,0.4440541049,0.7860568669,2.4467222790000003,3.9432374942
BIHBEB_clean,18.34605,17.1599,18.34605,0.724278,1666.73,2301.23,0.0,0.0,0.776,1.07141,0.0,1,1.27059e-05,0.0118896108,0.0615612113999999,0.1193471557,0.508120741,0.8943075692,2.6859424702,5.4291589458
BIJFAD_clean,8.3585,6.26342,8.18439,0.855984,1774.61,2073.18,0.0,0.0,0.6172,0.721042,0.0,1,3.40377e-06,0.0034835817999999,0.0171950152,0.0336730925999999,0.1676140573,0.3239754099,1.4192218158,3.4807554606
BIRGIU_clean,6.67557,4.28336,6.67557,1.36929,1467.6,1071.8,0.0,0.0,0.553,0.403858,0.0,1,2.19085e-06,0.0021657836,0.010840745,0.0221929994,0.1093875968,0.2142543974,0.9692214443,2.3936299984
BIWSOQ_clean,15.33666,5.40917,6.36274,0.990293,1940.65,1959.67,0.0,0.0,0.6518,0.658189,0.0,1,8.75105e-06,0.0088095272,0.0438164718,0.0868599878999999,0.4161896607,0.7875948492,2.8239862329000003,5.4545565688
BORBEQ_clean,6.03525,3.97595,5.98504,1.10262,1309.44,1187.57,0.0,0.0,0.545,0.494276,0.0,0,4.6123e-06,0.0047412089,0.0232099825,0.0466679959999999,0.225889509,0.4383829564,1.7553133564,3.5739843366
BOSHIC_clean,11.35851,4.44127,11.35851,0.998372,1829.81,1832.79,0.0,0.0,0.6236,0.624617,0.0,1,1.36069e-05,0.0130392526,0.0671842146,0.1327064588,0.5663399853,0.9827677549,3.296469122,6.192355303899999
BOWSOW_clean,5.38919,4.13551,5.38919,1.62989,1386.73,850.81,0.0,0.0,0.5466,0.33536,0.0,1,9.46154e-06,0.0093948757,0.0462339976999999,0.0925960051,0.4354164189,0.7793076167,2.3982240783,3.6241645333
BUPDOH_clean,11.18608,5.4183,11.18608,0.930795,2344.47,2518.79,0.0,0.0,0.7156,0.768805,0.0,1,1.16135e-05,0.0114103114,0.056763154,0.1115229709,0.4985870584,0.87226266,3.0928370119,6.7328153928
BUVVIZ_clean,5.00001,3.6207,4.99072,1.72941,572.133,330.826,0.0,0.0,0.4138,0.239272,0.0,0,1.33111e-06,0.0013371012,0.006693554,0.0128904376,0.0635876133999999,0.1230179111,0.4651284226,0.9196658079
BUVVOF_clean,4.68198,3.57584,4.68198,1.98004,493.025,248.998,0.0,0.0,0.4188,0.211511,0.0,1,9.56024e-07,0.0009801819,0.0048431326,0.0095696976,0.04494646,0.0902527593,0.3529334054999999,0.7139910697
c5cc09935h_c5cc09935h2_clean,12.43011,5.54656,12.43011,1.34061,1862.24,1389.1,0.0,0.0,0.6814,0.508277,0.000596744,0,2.83284e-06,0.0028166955,0.0142487428,0.0286208358,0.1427461044,0.2780576656,1.293858422,3.29059734
c5ce00931f_c5ce00931f2_clean,5.29408,4.17227,5.29408,1.81161,1362.6,752.15,0.0,0.0,0.5006,0.276328,0.0,1,5.3915e-06,0.0054574206999999,0.027129732,0.0520776199,0.2540786242,0.4762771435,1.6790679404,2.8581417199
