name,HENRY,0.01,0.05,0.1,0.5,1,5,15
1499489-acs.cgd.6b01265_1499490_clean,5.04894e-06,0.0051180956,0.025238956,0.0502003944,0.2470124475,0.4831058426,2.0400429781,4.4846274331
ABAYIO_clean,3.32235e-06,0.0033231866,0.0165395643,0.0331549275,0.1590011727,0.3006990923,1.2415951857,2.8988121077
ABAYOU_clean,3.37426e-06,0.0033921016,0.0167039718,0.0336303122,0.1636571383,0.3032822227,1.2744561382,2.9443402437
ABESUX_clean,9.16964e-07,0.0008846257,0.0045748416,0.0090895286,0.0459368411,0.0891079002,0.3930108716,0.935285515
ABETAE_clean,9.12631e-07,0.00086251,0.0045102639,0.0090545859,0.0454348161,0.0888703782,0.3949840291,0.9404614598
ABETIN_clean,2.65597e-06,0.0026788497,0.0133682065,0.0262268586,0.1324320507,0.2626340415,1.2828981646,3.6982796011
ABEXEM_clean,1.4748e-06,0.001484373,0.0073064579,0.0145492429,0.072530324,0.1420113161,0.5843594388,1.2926859089
ABEXEN_clean,3.69134e-06,0.0035980259,0.0185732717,0.0368847245,0.1808216299,0.3532075352,1.4874505011,3.5944854322
ABEXOW_clean,1.45456e-06,0.0014274345,0.0071945468,0.0143841475,0.0705190224,0.1382227443,0.5678538142,1.2519055433
ABEXUC_clean,1.45128e-06,0.0013963872,0.007170081,0.014340162,0.0708502389,0.1401237851,0.5673340082,1.2296919234
ABEYAJ_clean,1.41811e-06,0.0014053906,0.0069518188,0.0141598637,0.0692715944,0.1354819612,0.5471621782,1.178750858
ABEYEN_clean,1.39063e-06,0.0013790486,0.0069853894,0.0137540437,0.069109706,0.1313654062,0.5296179506,1.1614888054
ABEYIR_clean,1.38669e-06,0.0013610887,0.0069670727,0.0138916114,0.0682009404,0.1331418844,0.5292895822,1.1427180752
ABIXOZ_clean,7.19414e-07,0.0007337235,0.0036363152,0.0070626655,0.0356998015,0.0703659297,0.3397808933,0.9289447143
ABIYIV_clean,1.38327e-06,0.0013808577,0.0069283225,0.0139440411,0.0675604306,0.1292980988,0.5249214842,1.1447419785
