name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
AKOXIJ_clean,argon,293.0,15.0,14.0,AKOXIJ_clean_argon_293.0K_15.0bar_14.0/Output/System_0,4.859403669100001,37.6936,194.1234577747,108.9185559878,155.49253005149998,chunk_1
ACODAZ_clean,argon,293.0,15.0,14.0,ACODAZ_clean_argon_293.0K_15.0bar_14.0/Output/System_0,5.4064421673,114.00405,215.97655170040002,121.17986361930001,41.5815661814,chunk_1
acs.inorgchem.6b00276_ic6b00276_si_006_clean,argon,293.0,15.0,14.0,acs.inorgchem.6b00276_ic6b00276_si_006_clean_argon_293.0K_15.0bar_14.0/Output/System_0,5.9825760362,150.264875,238.99194749560002,134.09331418440001,102.0883751375,chunk_1
AVETAY_clean,argon,293.0,15.0,14.0,AVETAY_clean_argon_293.0K_15.0bar_14.0/Output/System_0,5.9061049753,27.80325,235.9370815543,132.3792936797,134.1996318058,chunk_1
APEBII_clean,argon,293.0,15.0,14.0,APEBII_clean_argon_293.0K_15.0bar_14.0/Output/System_0,5.8226569089,49.133675,232.60349819810003,130.5088907434,159.66704580110002,chunk_1
am301365h_si_002_clean,argon,293.0,15.0,14.0,am301365h_si_002_clean_argon_293.0K_15.0bar_14.0/Output/System_0,2.8279463187,7.792125,112.9707995405,63.3855202035,57.4951807903,chunk_1
AWUPOZ_clean,argon,293.0,15.0,14.0,AWUPOZ_clean_argon_293.0K_15.0bar_14.0/Output/System_0,5.2022094759,19.54045,207.81786414150002,116.6021970257,41.2087338105,chunk_1
acs.chemmater.5b03723_cm5b03723_si_004_clean,argon,293.0,15.0,14.0,acs.chemmater.5b03723_cm5b03723_si_004_clean_argon_293.0K_15.0bar_14.0/Output/System_0,4.8746782302,54.981,194.733645941,109.26091962950001,84.41369876350001,chunk_1
ASEKAM_clean,argon,293.0,15.0,14.0,ASEKAM_clean_argon_293.0K_15.0bar_14.0/Output/System_0,2.6659329151,5.22504375,106.49868809110001,59.754155703,103.1728922744,chunk_1
AXIGAR_clean,argon,293.0,15.0,14.0,AXIGAR_clean_argon_293.0K_15.0bar_14.0/Output/System_0,2.7132857908999997,5.01503125,108.39034077379999,60.8155219129,46.971201720500005,chunk_1
BABREE_clean,argon,293.0,15.0,14.0,BABREE_clean_argon_293.0K_15.0bar_14.0/Output/System_0,4.1157167735,24.191525,164.4146536689,92.2495759458,82.851050237,chunk_1
BAKYIY_clean,argon,293.0,15.0,14.0,BAKYIY_clean_argon_293.0K_15.0bar_14.0/Output/System_0,5.1305349427,10.3213208333,204.9546098906,114.9956857777,119.41668346280001,chunk_1
