Feature,Importance
5,68.74289271064933
0.01_x,16.579216784048654
0.01_y,6.336619186101779
ASA_m2_g_y,0.8726576961481859
cm3_g_y,0.8435391757931768
AV_cm3_g_y,0.6668954492103284
Has_OMS_y,0.5990996967686245
LCD_x,0.5891825159954415
AV_VF_x,0.5797741816018018
AV_cm3_g_x,0.442018858727019
PLD_y,0.4375884420074873
LFPD_x,0.4181753153488039
ASA_m2_cm3_x,0.3977171964449861
AV_VF_y,0.36744345636054915
NASA_m2_cm3_x,0.31425847580611815
cm3_g_x,0.3057200421142109
LCD_y,0.28287545514463525
ASA_m2_cm3_y,0.27947960166108177
PLD_x,0.2391782412040591
ASA_m2_g_x,0.2363943619521437
NASA_m2_g_x,0.12844520261983927
LFPD_y,0.12545097185832116
NAV_cm3_g_x,0.08377326316023644
NASA_m2_cm3_y,0.06171658784900711
NAV_cm3_g_y,0.03731473874509447
Has_OMS_x,0.01878170974556456
NASA_m2_g_y,0.013790682933530857
